   Z  A  El   I0    Bn       D0        Derr    Nlow  Ulow   Ntop  Utop      dW      gamma      ainf     aerr    pairing   Ematch      E0         T
  41  94 Nb  4.5   7.228  8.000E+01  1.000E+01   8   0.334   19   0.933   0.58504   0.09525  11.93925   0.170   0.00000   3.93113  -1.20649   0.72029
  42  93 Mo  0.0   8.070  2.700E+03  5.000E+02   8   2.146   16   2.425  -1.84327   0.09559  11.94132   0.225   1.24434   7.89607  -0.76984   0.93106
  42  95 Mo  0.0   7.369  1.320E+03  1.800E+02   8   1.074   20   1.660   0.09697   0.09492  12.42608   0.190   1.23117   6.87798  -0.92494   0.81923
  42  96 Mo  2.5   9.154  1.050E+02  1.000E+01   6   1.628   15   2.441   1.02534   0.09458  12.21654   0.135   2.44949   7.65464   0.37849   0.78284
  42  97 Mo  0.0   6.821  1.050E+03  2.000E+02   6   0.753   20   1.321   1.69945   0.09426  12.47764   0.295   1.21842   6.77406  -1.25659   0.78148
  42  98 Mo  2.5   8.643  7.500E+01  2.000E+01   4   1.510   18   2.344   2.45331   0.09394  12.42602   0.410   2.42437   7.59438   0.08036   0.74571
  42  99 Mo  0.0   5.925  1.000E+03  2.000E+02   3   0.351   15   0.905   3.37697   0.09362  13.00207   0.380   1.20605   6.24845  -1.26302   0.70176
  42 101 Mo  0.0   5.398  8.000E+02  1.500E+02   2   0.057   22   0.626   4.67338   0.09300  13.43288   0.430   1.19404   6.67560  -1.86377   0.69599
  43 100 Tc  4.5   6.764  1.200E+01  1.300E+00   8   0.300   17   0.457   3.02519   0.09331  13.36550   0.170   0.00000   4.44104  -2.00355   0.65725
  44 100 Ru  2.5   9.673  2.500E+01  4.000E+00   6   1.865   28   2.517   1.29006   0.09331  13.15609   0.220   2.40000   8.48088  -0.39956   0.79438
  44 102 Ru  2.5   9.220  1.800E+01  3.000E+00   7   1.603   19   2.303   2.64795   0.09269  13.28761   0.250   2.37635   7.00737   0.31685   0.67871
  44 103 Ru  0.0   6.232  5.500E+02  1.500E+02   7   0.298   16   0.555   3.54210   0.09239  13.20420   0.530   1.18240   7.15208  -2.02229   0.75020
  44 105 Ru  0.0   5.910  3.000E+02  7.500E+01   8   0.246   21   0.671   4.24424   0.09180  14.35082   0.515   1.17108   6.12420  -1.44650   0.64309
  45 104 Rh -0.5   6.999  3.200E+01  4.000E+00   8   0.213   15   0.359   2.97194   0.09209  13.34838   0.190   0.00000   4.50136  -2.00748   0.66286
  46 105 Pd  0.0   7.094  2.400E+02  3.000E+01   4   0.345   17   0.808   2.06640   0.09180  13.96899   0.200   1.17108   6.93503  -1.64067   0.73622
  46 106 Pd  2.5   9.561  1.030E+01  5.000E-01   6   1.562   28   2.500   2.34052   0.09151  13.74214   0.075   2.33109   7.10647   0.20272   0.67951
  46 107 Pd  0.0   6.536  2.700E+02  9.000E+01   8   0.392   19   0.809   3.19274   0.09123  14.05485   0.595   1.16008   6.20636  -1.32556   0.67310
  46 108 Pd  2.5   9.228  1.100E+01  9.000E-01   8   1.540   22   2.391   3.17786   0.09094  13.60102   0.125   2.30940   6.42007   0.55276   0.62628
  46 109 Pd  0.0   6.154  1.820E+02  3.300E+01   8   0.291   16   0.434   3.82628   0.09066  14.89139   0.375   1.14939   7.01832  -2.15754   0.68921
  46 111 Pd  0.0   5.726  1.500E+02  5.000E+01   7   0.275   15   0.585   4.15085   0.09012  16.09133   0.715   1.13899   5.47098  -1.07817   0.56522
  47 108 Ag -0.5   7.271  2.200E+01  4.000E+00   3   0.156   28   0.534   2.52108   0.09094  13.84985   0.265   0.00000   4.89091  -2.23547   0.68045
  47 110 Ag -0.5   6.809  1.510E+01  1.400E+00   6   0.199   18   0.381   3.37599   0.09039  14.48143   0.150   0.00000   4.27326  -1.96058   0.61020
  48 107 Cd  0.0   7.924  1.350E+02  3.500E+01   6   0.702   16   1.060   0.34826   0.09123  14.77363   0.385   1.16008   6.98366  -1.36717   0.74305
  48 109 Cd  0.0   7.327  1.200E+02  3.000E+01   5   0.463   17   1.106   1.59715   0.09066  14.98124   0.405   1.14939   5.67637  -0.78555   0.64267
