   Z  A  El   I0    Bn       D0        Derr    Nlow  Ulow   Ntop  Utop      dW      gamma      ainf     aerr    pairing
  50 117 Sn  0.0   6.943  3.800E+02  1.300E+02   7   1.304   15   1.589   1.44119   0.08389  13.60341   0.525   0.60245
  50 118 Sn  0.5   9.327  5.500E+01  5.000E+00   2   1.758   15   2.575   1.18009   0.08365  12.98584   0.120   1.29957
  50 119 Sn  0.0   6.484  4.800E+02  9.000E+01   8   1.089   15   1.379   1.46645   0.08341  13.32398   0.280   0.16677
  50 120 Sn  0.5   9.108  9.000E+01  2.000E+01   6   2.194   21   2.750   0.88142   0.08318  12.83458   0.290   1.28242
  50 121 Sn  0.0   6.170  1.640E+03  2.000E+02   3   0.664   19   1.441   0.96766   0.08295  12.05842   0.170  -0.15230
  50 125 Sn  0.0   5.733  5.000E+03  1.200E+03   8   1.072   16   1.892  -1.44208   0.08206  14.21583   0.370   0.54060
  51 122 Sb  2.5   6.806  1.300E+01  2.000E+00   2   0.078   17   0.334   1.67533   0.08272  13.39671   0.205  -1.15687
  51 124 Sb  3.5   6.468  2.400E+01  3.000E+00   8   0.132   15   0.248   0.76078   0.08228  13.24109   0.170  -1.36644
  52 123 Te  0.0   6.929  1.320E+02  1.500E+01   7   0.533   16   0.887   1.99282   0.08250  13.57062   0.165  -0.17653
  52 124 Te  0.5   9.424  1.700E+01  3.000E+00   7   1.958   15   2.282   1.30731   0.08228  14.28540   0.240   1.26345
  52 125 Te  0.0   6.569  1.900E+02  2.000E+01   2   0.145   15   0.805   1.24816   0.08206  13.86499   0.150  -0.40108
  52 126 Te  0.5   9.114  3.800E+01  5.000E+00   3   1.420   16   2.386   0.36342   0.08184  14.35344   0.180   1.19327
  52 127 Te  0.0   6.288  5.500E+02  1.000E+02   2   0.088   16   0.984   0.10162   0.08162  13.70600   0.255  -0.36589
  52 129 Te  0.0   6.082  7.400E+02  1.500E+02   3   0.244   16   0.967  -1.46133   0.08120  15.12782   0.290  -0.30336
  52 131 Te  0.0   5.929  1.500E+03  5.000E+02   7   0.943   16   1.470  -3.42307   0.08079  17.15166   0.505   0.12022
  53 128 I   2.5   6.826  1.500E+01  3.000E+00   8   0.161   18   0.296   0.63753   0.08141  13.83430   0.265  -1.30197
  53 130 I   3.5   6.500  3.000E+01  3.000E+00   8   0.080   22   0.265  -0.68021   0.08099  13.59121   0.125  -1.59057
  54 129 Xe  0.0   6.909  2.500E+02  1.000E+02   5   0.322   21   0.909   0.96432   0.08120  12.98226   0.560  -0.52188
  54 130 Xe  0.5   9.256  3.800E+01  5.000E+00   8   1.944   21   2.362   0.15310   0.08099  14.10637   0.170   0.98541
  54 131 Xe  0.0   6.605  2.300E+02  6.000E+01   5   0.405   17   1.034  -0.17704   0.08079  15.15663   0.385  -0.14941
  54 132 Xe  1.5   8.937  4.900E+01  1.500E+01   5   1.850   17   2.353  -1.15114   0.08058  14.16455   0.395   0.82348
  54 133 Xe  0.0   6.434  7.500E+02  2.360E+02   8   0.911   16   1.386  -1.76799   0.08038  15.52900   0.465   0.07710
  54 135 Xe  0.0   6.364  1.600E+03  6.000E+02   8   1.565   17   2.093  -3.80469   0.07998  18.24497   0.590   0.77348
  54 137 Xe  0.0   4.026  1.300E+04  6.000E+03   6   1.461   15   1.809  -3.89606   0.07959  21.08640   1.010   0.66511
  55 134 Cs  3.5   6.892  2.100E+01  2.000E+00   8   0.194   15   0.291  -0.89501   0.08018  14.18619   0.125  -1.41105
  56 131 Ba  0.0   7.494  5.800E+01  1.000E+01   6   0.365   18   0.895   1.69359   0.08079  14.12673   0.240  -0.24195
  56 133 Ba  0.0   7.190  1.100E+02  3.500E+01   4   0.302   17   1.022   0.80672   0.08038  14.64276   0.460  -0.17422
  56 135 Ba  0.0   6.972  3.710E+02  3.600E+01   2   0.268   15   1.214  -0.46966   0.07998  14.33119   0.135  -0.08963
  56 136 Ba  1.5   9.108  4.000E+01  6.000E+00   4   1.867   19   2.391  -1.40178   0.07978  14.58809   0.185   0.86330
  56 137 Ba  0.0   6.906  1.210E+03  1.190E+02   7   1.464   15   2.047  -2.24398   0.07959  15.89987   0.145   0.82437
  56 138 Ba  1.5   8.612  2.600E+02  5.000E+01   8   2.340   21   2.991  -3.13522   0.07940  14.98507   0.245   1.36674
  56 139 Ba  0.0   4.723  1.870E+04  2.900E+03   5   1.421   15   1.877  -2.22903   0.07920  15.20892   0.260   0.47246
  57 139 La  5.0   8.778  3.200E+01  6.000E+00   4   1.257   21   1.856  -2.22290   0.07920  14.05081   0.225   0.06849
  57 140 La  3.5   5.161  2.200E+02  4.000E+01   8   0.163   25   0.831  -1.41655   0.07902  15.56652   0.280  -0.63227
  58 137 Ce  0.0   7.482  5.000E+01  2.000E+01   8   0.867   17   1.337   0.50146   0.07959  16.30059   0.625   0.32830
  58 141 Ce  0.0   5.428  3.100E+03  5.000E+02   6   1.497   19   2.044  -1.07756   0.07883  16.66777   0.285   0.83772
  58 142 Ce -3.5   7.170  6.500E+01  2.000E+01   2   1.219   21   2.384  -0.31566   0.07864  15.39056   0.490   1.02881
  58 143 Ce  0.0   5.145  1.100E+03  5.000E+02   2   0.042   17   1.298   0.40921   0.07846  15.23682   0.835   0.12716
  59 142 Pr  2.5   5.843  1.100E+02  2.000E+01   8   0.145   24   0.911  -0.43843   0.07864  14.79832   0.265  -0.57905
  60 143 Nd  0.0   6.124  8.600E+02  8.000E+01   8   1.556   23   2.005  -0.41815   0.07846  16.40934   0.160   0.74926
  60 144 Nd -3.5   7.817  3.500E+01  5.000E+00   8   2.093   29   2.593   0.34170   0.07828  15.41578   0.220   1.25980
  60 145 Nd  0.0   5.755  4.500E+02  5.000E+01   8   0.937   21   1.339   1.10949   0.07810  15.92600   0.190   0.25625
  60 146 Nd -3.5   7.565  1.700E+01  3.000E+00   6   1.377   15   1.777   1.67836   0.07792  15.17825   0.275   0.82186
  60 147 Nd  0.0   5.292  2.900E+02  5.000E+01   4   0.215   20   0.957   2.48818   0.07774  15.70108   0.310  -0.10923
  60 148 Nd -2.5   7.333  3.500E+00  1.700E+00   5   1.023   17   1.600   2.86341   0.07757  17.07689   0.905   0.79140
  60 149 Nd  0.0   5.039  1.550E+02  2.000E+01   2   0.138   15   0.404   3.51912   0.07739  15.51703   0.235  -0.61891
  60 151 Nd  0.0   5.335  1.650E+02  1.500E+01   8   0.250   28   0.766   3.40400   0.07705  15.33387   0.160  -0.43569
  61 148 Pm  3.5   5.895  5.200E+00  1.200E+00   8   0.305   18   0.462   2.86178   0.07757  16.36258   0.395  -0.64963
  62 145 Sm  0.0   6.757  6.700E+02  6.000E+01   4   1.436   17   1.877  -0.22344   0.07810  15.12174   0.135   0.61910
  62 148 Sm -3.5   8.141  5.100E+00  5.000E-01   8   1.465   29   2.205   2.03332   0.07757  15.97661   0.155   1.04499
  62 149 Sm  0.0   5.871  1.000E+02  2.000E+01   7   0.558   19   0.836   2.90239   0.07739  15.82410   0.345  -0.15562
  62 150 Sm -3.5   7.987  2.100E+00  3.000E-01   3   0.773   21   1.765   3.24528   0.07722  15.62959   0.225   0.74246
  62 151 Sm  0.0   5.596  4.600E+01  8.000E+00   5   0.105   16   0.307   3.97282   0.07705  15.82271   0.305  -0.63706
  62 152 Sm -2.5   8.258  1.040E+00  1.500E-01   5   0.810   17   1.310   3.62388   0.07688  16.08100   0.225   0.42955
  62 153 Sm  0.0   5.868  4.800E+01  5.000E+00   4   0.065   17   0.266   3.67784   0.07671  15.10448   0.170  -0.87780
  62 155 Sm  0.0   5.807  1.140E+02  1.500E+01   7   0.251   15   0.618   2.94129   0.07638  15.65200   0.225  -0.28725
  63 152 Eu  2.5   6.307  7.300E-01  7.000E-02   2   0.065   17   0.149   4.21396   0.07688  17.03459   0.165  -0.98252
  63 153 Eu -3.0   8.550  5.600E-01  1.000E-01   6   0.193   15   0.478   3.88018   0.07671  14.83379   0.250  -0.47395
  63 154 Eu  2.5   6.442  1.100E+00  2.000E-01   8   0.101   19   0.181   3.67151   0.07654  16.65314   0.300  -1.00600
  63 155 Eu -3.0   8.151  9.200E-01  1.200E-01   8   0.307   16   0.627   3.32567   0.07638  15.38311   0.190  -0.32143
