 68 ;  8.477000 ; -1.0;  0;           ;  2;  ;    ;           ; 3+,4+,5+  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;   5;      3.976;  0.000E+00; ; 0.000E+00  0.000E+00
    ;           ;     ;   ;           ;   ;  ;   4;      3.976;  0.000E+00; ; 0.000E+00  0.000E+00
 69 ;  8.517900 ; -1.0;  0;           ;  1;  ;    ;           ;           ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;   1;      8.517;  1.000E+00; ; 1.000E+00  0.000E+00
 70 ;  8.522000 ;  3.0; -1;           ;  2;  ;    ;           ;       3-  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;   5;      4.015;  0.000E+00; ; 0.000E+00  1.120E-03
    ;           ;     ;   ;           ;   ;  ;   4;      4.015;  0.000E+00; ; 0.000E+00  1.680E-03
 71 ;  8.531000 ; -1.0;  0;           ;  3;  ;    ;           ;           ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;   3;      4.247;  1.950E-01; ; 1.950E-01  0.000E+00
    ;           ;     ;   ;           ;   ;  ;   2;      4.699;  5.000E-01; ; 5.000E-01  0.000E+00
    ;           ;     ;   ;           ;   ;  ;   1;      8.530;  3.050E-01; ; 3.050E-01  0.000E+00
 72 ;  8.564000 ;  6.0; -1;           ;  0;  ;    ;           ;     (6-)  ;0;                                                                                                                                                                                                                              0.000000       
 73 ;  8.572000 ;  3.0;  0;           ;  0;  ;    ;           ;      (3)  ;0;                                                                                                                                                                                                                              0.000000       
 74 ;  8.608000 ;  3.0; -1;           ;  2;  ;    ;           ;       3-  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;   5;      4.073;  0.000E+00; ; 0.000E+00  1.140E-03
    ;           ;     ;   ;           ;   ;  ;   4;      4.073;  0.000E+00; ; 0.000E+00  1.700E-03
 75 ;  8.663800 ; -1.0;  0;           ;  1;  ;    ;           ;           ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;  61;      0.386;  1.000E+00; ; 1.000E+00  0.000E+00
