id,num_round,max_depth,l2,max_bin,objective,mt_strategy,normalizer,train_mae,train_mse,train_evs,train_mae_m,train_r2,val_mae,val_mse,val_evs,val_mae_m,val_r2,test_mae,test_mse,test_evs,test_mae_m,test_r2,model_path,training_time,scaler_path
1,10,10,2,300,rmse,one_hot,none,0.2022066476358683,0.1094906748726886,0.8346554485023646,0.113987892695082,0.8346554534429174,0.202614610657951,0.1103358938955283,0.8313404571875075,0.1141208357870051,0.831339895282807,0.20280151952498,0.1097133170086434,0.8333737200870459,0.1144409025936199,0.8333713927763812,E:\ML_Models_EXFOR\XGB_B1\XGB10_L2_MB300_none_rmse_B1_v1\xgboost_model.joblib,2.7873237133026123,none
2,10,10,2,10000,rmse,one_hot,none,0.2008638721840981,0.1089229235258871,0.8343201482979813,0.1119508703722893,0.834320200715071,0.2016022314719105,0.109912239067893,0.8306837873853012,0.1121552898611749,0.8306829972520516,0.2013171430743388,0.1087071455283917,0.8341066161390753,0.1122073725154624,0.8341051238044809,E:\ML_Models_EXFOR\XGB_B1\XGB10_L2_MB10000_none_rmse_B1_v1\xgboost_model.joblib,4.146750688552856,none
3,10,10,2,20000,rmse,one_hot,none,0.1968701909458404,0.1048682615983192,0.8422394431851761,0.1102567532341527,0.8422394264337795,0.1973850115969824,0.1058932413529182,0.838801545518132,0.1102722321339447,0.8388007173184631,0.1975922845176418,0.1048882048977032,0.8415215851131734,0.1105748058475375,0.8415196953677292,E:\ML_Models_EXFOR\XGB_B1\XGB10_L2_MB20000_none_rmse_B1_v1\xgboost_model.joblib,5.752673625946045,none
4,10,10,2,30000,rmse,one_hot,none,0.2017969401822379,0.1105207164213799,0.8319473033324802,0.1117048533018949,0.8319472224404336,0.2027195646541392,0.1122809750268004,0.8268878350209693,0.1120833904794687,0.8268868528676715,0.2026294101527699,0.110780175970051,0.830959734844431,0.1122184537228237,0.8309581193514796,E:\ML_Models_EXFOR\XGB_B1\XGB10_L2_MB30000_none_rmse_B1_v1\xgboost_model.joblib,6.42772650718689,none
5,10,10,2,40000,rmse,one_hot,none,0.1966342842766948,0.1049760664602119,0.8423450244091104,0.1096471807160532,0.842345007280924,0.1970232846732946,0.1058047795265862,0.8390019826389478,0.1097654096422004,0.839001620193877,0.1970881198716559,0.1048738144037588,0.8418791585942828,0.109944321768574,0.8418776044280962,E:\ML_Models_EXFOR\XGB_B1\XGB10_L2_MB40000_none_rmse_B1_v1\xgboost_model.joblib,7.819551467895508,none
6,10,10,2,50000,rmse,one_hot,none,0.193817103478028,0.1023481115025116,0.8460757007241004,0.1072926749259057,0.846075627878661,0.1946731342782414,0.1036221516823784,0.8422932903643434,0.1072361220142138,0.8422926991631077,0.1948120739453651,0.1027528173908446,0.8449253147032613,0.1077174698065181,0.844923821363311,E:\ML_Models_EXFOR\XGB_B1\XGB10_L2_MB50000_none_rmse_B1_v1\xgboost_model.joblib,9.70325255393982,none
7,10,20,2,300,rmse,one_hot,none,0.1607613624159694,0.0788095359999572,0.8877267275352738,0.0770209188941379,0.8877267564085092,0.1635723076421577,0.0826382783872997,0.880703021861843,0.0783186526715542,0.8807028973790008,0.1632981765919204,0.0811789741215568,0.8838220898062688,0.0783213162152026,0.8838207614777519,E:\ML_Models_EXFOR\XGB_B1\XGB20_L2_MB300_none_rmse_B1_v1\xgboost_model.joblib,21.90751075744629,none
8,10,20,2,10000,rmse,one_hot,none,0.1134183431532073,0.0459117461538978,0.9366336129888622,0.0511775057102152,0.9366336170282256,0.124641793233331,0.0569629739416015,0.9204717014073636,0.0557415145179133,0.9204716650904594,0.1243650072764641,0.0555553415693599,0.9227162153249292,0.0557403044955738,0.9227162168395742,E:\ML_Models_EXFOR\XGB_B1\XGB20_L2_MB10000_none_rmse_B1_v1\xgboost_model.joblib,107.98032999038696,none
9,10,20,2,20000,rmse,one_hot,none,0.1131404467627606,0.0451793335491859,0.9376751030304096,0.0513105566662192,0.9376751001843427,0.1258092561523387,0.0574920010203331,0.91962932420029,0.0563056135559402,0.9196292405118917,0.1250906639115397,0.0554862708419918,0.9227994122739016,0.0563522501830748,0.9227992176047568,E:\ML_Models_EXFOR\XGB_B1\XGB20_L2_MB20000_none_rmse_B1_v1\xgboost_model.joblib,173.33481979370117,none
10,10,20,2,30000,rmse,one_hot,none,0.112120728866241,0.0443157515646338,0.9388641020991724,0.0512076483562666,0.9388640939175864,0.1258205257167265,0.0575913752567784,0.9195215055000548,0.0565776229877834,0.9195211804937632,0.1253333442336565,0.0559021478428351,0.922186848685964,0.0566553281965075,0.9221863544220964,E:\ML_Models_EXFOR\XGB_B1\XGB20_L2_MB30000_none_rmse_B1_v1\xgboost_model.joblib,254.60573959350583,none
