S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)",Element_w_A
6878.43,8.9,5021.3,2.47,-16183.12,6.53,14787.33,3.3,8350.36,4.62,10143.22,2.45,194Au
9193.08,15.77,6068.09,9.14,-21179.29,13.23,11298.98,16.09,6478.01,5.71,9160.69,5.04,194Hg
7531.6,15.5,3164.28,20.87,-26217.33,28.58,15784.87,20.9,8518.46,26.3,12506.81,14.82,194Tl
10084.77,52.55,4019.7,18.68,-29931.43,24.26,12375.11,36.15,6939.06,18.92,12030.36,28.26,194Pb
8215.57,9.78,1123.29,49.96,,,17238.01,14.66,9066.36,37.77,15900.54,9.6,194Bi
10750.65,19.43,2409.07,14.97,,,13240.69,32.76,7098.75,14.92,14872.86,39.43,194Po
8724.16,33.01,-316.18,28.86,,,18061.3,27.29,9212.63,25.92,18165.58,26.03,194At
11390.73,30.27,1498.16,27.45,,,13508.45,32.6,6723.63,23.34,16438.63,18.33,194Rn
4555.0,422.0,10999.0,585.0,11784.0,298.0,10571.0,499.0,6918.0,499.0,,,195W
6413.0,357.0,8342.0,422.0,6988.0,298.0,11419.0,357.0,8935.0,357.0,3131.0,499.0,195Re
5147.8,55.94,9564.0,203.0,1501.8,60.49,11430.85,68.22,6941.29,90.2,5784.0,203.0,195Os
7231.86,0.06,6546.11,2.0,-3537.0,11.17,12412.84,2.4,9053.99,2.4,5542.98,70.81,195Ir
6105.1,0.12,7551.11,1.26,-9086.16,17.97,12453.19,1.26,6905.77,1.24,8734.74,2.28,195Pt
8426.41,2.34,5095.93,1.01,-14541.47,5.4,12623.38,1.63,8585.48,2.72,7914.93,1.6,195Au
6900.76,23.32,6090.43,23.24,-19957.13,43.95,13102.23,24.71,6622.78,28.03,10921.47,23.28,195Hg
9289.07,17.84,3260.27,11.46,-24684.95,14.65,13617.74,19.06,8720.36,19.08,10263.27,19.33,195Tl
7571.07,25.01,4059.17,22.75,-28757.97,53.6,14480.33,19.17,7028.61,36.41,13950.26,23.73,195Pb
10068.07,8.13,1106.59,18.22,,,14879.73,49.86,9394.51,14.31,13493.09,32.11,195Bi
8122.92,39.53,2316.42,37.87,,,15539.11,38.12,7342.33,47.99,17146.16,39.66,195Po
10821.45,26.71,-245.39,16.07,,,15565.83,17.4,9464.42,14.66,15710.64,31.6,195At
8744.53,53.25,1518.53,56.32,,,15828.41,54.94,6988.48,57.68,18767.34,51.71,195Rn
5942.0,499.0,,,13764.0,401.0,9130.0,643.0,6854.0,566.0,,,196W
5035.0,422.0,8821.0,422.0,8597.0,298.0,12695.0,422.0,8609.0,357.0,3974.0,499.0,196Re
6836.83,68.76,9987.0,301.0,3548.84,40.16,9671.0,200.0,6818.59,55.99,3656.0,200.0,196Os
5814.56,38.43,7212.87,67.82,-1938.9,40.28,13710.42,38.48,8822.85,38.48,6442.55,54.83,196Ir
7921.98,0.13,8241.23,1.27,-7296.2,7.72,10598.0,1.27,6755.78,1.26,6396.18,2.28,196Pt
6642.99,3.13,5633.83,2.96,-13129.68,24.61,14332.17,2.96,8204.96,3.22,9043.93,3.21,196Au
8883.87,23.33,6547.88,3.12,-18352.9,13.83,11096.8,3.58,6442.93,9.14,8300.07,3.22,196Hg
7412.66,16.42,3772.17,26.12,-23581.92,32.62,15398.16,12.45,8429.64,19.67,11554.63,14.9,196Tl
9711.94,19.52,4482.03,13.49,-27319.3,16.31,12299.99,15.96,6992.96,10.22,11360.27,17.29,196Pb
8054.79,24.99,1590.31,30.32,,,16909.72,30.01,9049.51,55.27,15114.58,25.33,196Bi
10488.1,39.73,2736.45,14.51,,,13266.58,14.86,7275.57,15.49,14367.85,51.39,196Po
8515.7,31.76,147.39,48.1,,,17800.78,32.92,9274.7,33.59,17616.28,31.22,196At
11150.61,52.52,1847.69,17.31,,,13401.96,28.8,6902.37,26.0,15942.71,20.46,196Rn
4330.0,566.0,,,15280.0,401.0,,,7024.0,643.0,,,197W
6031.0,422.0,8911.0,499.0,10638.0,298.0,11218.0,422.0,8888.0,422.0,2444.0,585.0,197Re
5103.0,200.0,10056.0,357.0,5232.0,196.0,10981.0,357.0,6792.0,277.0,4864.0,357.0,197Os
6899.93,43.36,7275.97,44.72,77.54,25.9,11958.29,59.4,9035.06,20.25,4619.0,197.0,197Ir
5846.56,0.26,8273.23,38.41,-5674.35,4.83,11983.31,1.29,6976.01,1.29,7661.76,2.38,197Pt
8072.35,2.94,5784.2,0.53,-11452.55,8.35,12364.92,0.53,8484.39,0.54,7038.37,1.36,197Au
6785.61,1.48,6690.49,3.4,-17182.24,49.78,12737.61,3.37,6535.76,3.8,9866.24,3.22,197Hg
8916.37,20.33,3804.68,16.59,-21986.4,18.17,13382.55,28.31,8706.35,16.58,9516.69,16.46,197Tl
7468.41,9.05,4537.78,13.03,-26255.75,16.89,14120.65,12.08,7056.15,14.78,13084.95,5.61,197Pb
9749.48,25.81,1627.85,11.35,-29941.16,55.04,14731.31,19.8,9384.8,19.32,12896.7,16.27,197Bi
7956.27,51.48,2637.93,55.36,,,15378.38,49.96,7534.88,50.06,16496.35,52.65,197Po
10511.89,31.32,171.18,15.69,,,15411.81,38.21,9513.46,15.18,15319.96,10.09,197At
8531.96,21.67,1863.94,34.34,,,15691.45,18.81,7094.57,29.73,18161.41,20.7,197Rn
,,-994.01,56.28,,,15914.5,74.23,9394.53,56.97,16620.54,59.84,197Fr
4709.0,499.0,9289.0,566.0,12441.0,401.0,12452.0,566.0,8734.0,499.0,,,198Re
6600.0,277.0,10624.0,357.0,7117.0,196.0,9416.0,357.0,6606.0,357.0,2819.0,357.0,198Os
5628.0,197.0,7801.0,277.0,1708.0,196.0,13167.0,200.0,8555.0,203.0,5404.0,357.0,198Ir
7555.57,2.06,8928.86,20.0,-3836.51,9.0,10242.3,38.47,6652.31,2.43,5254.0,55.93,198Pt
6512.36,0.09,6450.0,0.51,-10211.29,27.95,13774.54,0.53,8077.12,0.54,7757.87,1.36,198Au
8485.4,3.19,7103.54,0.5,-15480.96,17.43,10895.2,2.95,6476.78,1.16,7485.94,0.59,198Hg
7258.41,17.98,4277.49,8.2,-20814.23,9.56,15008.0,8.1,8348.7,24.34,10684.69,7.63,198Tl
9393.41,9.96,5014.81,18.51,-24837.13,15.99,12139.91,14.94,6951.81,14.12,10592.3,24.72,198Pb
7753.61,29.16,1913.06,28.35,-28943.51,42.65,16689.63,28.99,9202.26,33.22,14432.16,30.07,198Bi
10186.68,52.65,3075.13,19.31,,,13246.48,30.01,7416.26,18.21,13880.74,25.0,198Po
8430.58,9.91,645.49,50.02,,,17469.33,14.73,9205.8,37.82,16957.45,7.9,198At
10812.03,21.02,2164.08,15.61,,,13395.12,33.12,7103.99,16.48,15472.3,39.7,198Rn
8751.26,63.23,-774.7,36.06,,,18313.84,35.3,9387.8,59.91,18690.72,33.61,198Fr
5792.0,566.0,,,14234.0,401.0,10990.0,566.0,8884.0,566.0,,,199Re
4718.0,277.0,10633.0,446.0,9063.0,196.0,10729.0,357.0,6923.0,357.0,4043.0,446.0,199Os
6649.0,200.0,7851.0,200.0,3660.88,49.66,11621.0,200.0,8742.65,57.28,3790.0,301.0,199Ir
5556.0,0.5,8857.0,196.0,-2156.88,10.23,11586.23,20.01,6910.87,38.47,6534.82,40.0,199Pt
7584.28,0.06,6478.71,2.06,-8296.18,10.58,12036.81,0.51,8414.82,0.53,5988.15,38.41,199Au
6663.07,0.58,7254.26,0.61,-14337.59,18.06,12304.48,0.62,6456.69,2.98,8744.84,0.66,199Hg
8601.96,28.95,4394.05,27.95,-19236.02,28.46,13191.64,28.13,8630.6,28.1,8725.71,28.1,199Tl
7235.63,13.28,4992.03,12.52,-23732.35,38.89,13820.65,19.14,7128.84,15.7,12240.54,10.42,199Pb
9499.4,29.88,2019.05,13.71,-27568.96,17.32,14658.64,11.6,9414.8,13.06,12345.43,16.07,199Bi
7806.45,25.08,3127.97,33.27,,,15189.51,19.89,7664.6,30.38,15786.23,19.61,199Po
10180.18,7.96,638.99,18.24,,,15245.42,49.97,9513.72,14.55,14832.06,25.01,199At
8340.41,39.91,2073.91,38.04,,,15566.61,38.43,7279.28,48.27,17619.99,39.94,199Rn
10873.95,35.02,-712.78,19.2,,,15971.85,21.23,9664.46,19.91,16332.47,33.25,199Fr
6367.0,357.0,11208.0,499.0,10724.0,298.0,9071.0,499.0,6587.0,422.0,2007.0,499.0,200Os
5283.0,200.0,8416.0,277.0,5437.0,196.0,12937.0,277.0,8562.0,277.0,4538.0,357.0,200Ir
7281.79,20.01,9489.62,45.62,-348.11,22.89,9933.0,197.0,6529.0,28.28,4356.0,197.0,200Pt
6217.67,26.72,7140.38,26.8,-6869.34,34.81,13374.71,26.8,8043.71,26.72,6670.41,33.44,200Au
8028.52,0.11,7698.5,0.62,-12561.51,7.58,10788.32,0.62,6500.52,0.62,6562.88,0.67,200Hg
7059.15,28.53,4790.13,5.74,-18059.34,25.13,14617.89,5.76,8357.05,6.57,9738.91,5.77,200Tl
9090.57,14.81,5480.63,30.01,-22246.29,17.47,11988.5,13.28,6954.65,19.63,9935.58,11.38,200Pb
7644.51,24.7,2427.92,24.46,-26503.25,37.88,16407.54,23.97,9238.7,22.83,13617.3,27.65,200Bi
9804.6,19.56,3433.17,12.98,,,13138.53,28.95,7609.49,11.26,13450.04,8.94,200Po
8235.84,25.05,1068.38,30.41,,,17196.27,30.04,9234.15,55.38,16345.7,25.85,200At
10576.63,40.0,2470.36,14.7,,,13420.55,14.89,7214.54,15.84,14999.63,51.53,200Rn
8710.21,33.55,-342.98,48.48,,,18073.66,33.42,9486.2,34.63,18134.15,31.63,200Fr
4532.0,422.0,,,12423.0,298.0,10332.0,499.0,6764.0,499.0,,,201Os
6357.0,277.0,8407.0,357.0,7284.0,196.0,11298.0,277.0,8804.0,277.0,2889.0,446.0,201Ir
5212.87,53.99,9419.0,202.0,1530.32,51.95,11368.61,64.77,6944.0,202.0,5743.0,202.0,201Pt
7231.94,26.91,7090.52,20.36,-4984.28,15.52,11698.77,3.86,8367.34,3.83,5067.0,196.0,201Au
6230.59,0.59,7711.42,26.72,-11141.36,4.97,12142.01,0.8,6782.29,0.8,7887.86,2.19,201Hg
8204.93,15.3,4966.54,14.19,-16391.4,16.38,13076.04,14.19,8637.53,14.19,8046.34,14.19,201Tl
7091.3,17.55,5512.78,14.9,-21198.71,51.6,13499.16,31.14,7121.77,15.68,11329.68,13.75,201Pb
9117.0,27.0,2454.35,18.69,-25005.01,17.69,14526.18,18.18,9515.11,17.51,11758.71,16.95,201Bi
7650.74,9.01,3439.4,22.86,-28457.99,20.89,14987.19,11.66,7712.36,28.38,15192.71,10.03,201Po
9872.86,25.8,1136.65,11.15,,,15129.85,19.83,9547.97,19.25,14226.45,29.12,201At
8138.88,51.58,2373.4,55.42,,,15461.85,50.02,7506.24,50.08,17047.43,52.7,201Rn
10615.24,31.93,-304.37,16.42,,,15798.83,38.67,9682.99,16.2,15949.49,10.81,201Fr
,,1484.67,36.73,,,15876.21,24.51,7226.83,38.08,18813.56,24.33,201Ra
5920.0,499.0,,,14258.0,401.0,,,6637.0,566.0,,,202Os
4951.0,357.0,8826.0,422.0,9204.0,298.0,12714.0,422.0,8571.0,357.0,3730.0,499.0,202Ir
7022.73,56.06,10084.0,197.0,3248.49,25.44,9629.0,197.0,6570.44,48.15,3438.0,197.0,202Pt
6023.58,23.51,7901.24,55.25,-3611.5,27.92,12956.99,30.77,7899.76,23.39,5691.94,47.2,202Au
7754.1,0.2,8233.58,3.14,-9403.71,8.67,10605.57,26.72,6612.47,0.8,5689.76,2.24,202Hg
6870.7,14.23,5606.64,1.64,-15389.48,28.02,14233.86,1.64,8429.91,1.64,8759.93,1.67,202Tl
8740.89,14.26,6048.75,14.67,-19665.98,17.92,11817.42,6.89,6982.84,28.2,9251.86,3.83,202Pb
7396.37,21.56,2759.42,20.64,-23837.72,16.93,16220.38,18.87,9354.38,18.36,12964.31,31.91,202Bi
9491.75,9.96,3814.15,17.47,-27016.48,17.32,13139.95,23.95,7720.0,13.66,12936.59,13.23,202Po
7872.61,29.15,1358.52,28.41,,,17061.84,28.99,9481.81,33.3,15853.24,29.91,202At
10273.63,52.73,2774.17,19.34,,,13424.06,30.09,7412.79,18.33,14580.25,25.14,202Rn
8563.66,11.49,120.41,50.23,,,17811.81,15.39,9459.74,38.24,17566.01,8.86,202Fr
10933.26,25.25,1802.69,17.55,,,13653.17,34.1,7167.52,20.34,16220.71,40.48,202Ra
2624.0,566.0,,,17629.0,401.0,,,,,,,203Os
5985.0,499.0,8891.0,566.0,11072.0,401.0,11260.0,499.0,8953.0,499.0,,,203Ir
5006.0,197.0,10139.0,357.0,5160.0,196.0,10981.0,277.0,6848.0,277.0,4799.0,357.0,203Pt
6861.77,23.49,7740.28,25.34,-1618.61,13.14,11308.08,50.19,8319.78,20.34,4114.0,196.0,203Au
5995.26,1.57,8205.26,23.34,-7958.38,8.81,11842.26,3.5,6834.88,26.76,6976.3,20.17,203Hg
7852.48,1.55,5705.02,1.08,-13598.82,10.62,12611.97,1.09,8605.95,1.16,7125.12,26.74,203Tl
6917.26,7.55,6095.31,6.64,-18632.86,19.3,13105.09,15.55,7124.73,8.71,10363.11,6.55,203Pb
8854.66,19.99,2873.18,13.33,-22401.24,14.22,14457.01,18.77,9590.28,16.81,11168.8,14.02,203Bi
7440.59,12.25,3858.38,17.66,-25972.61,39.09,14816.35,17.48,7923.92,23.94,14586.57,13.94,203Po
9643.14,29.91,1509.91,13.66,,,15069.43,11.67,9643.26,12.99,13854.6,24.7,203At
7950.38,25.23,2851.94,33.36,,,15346.54,19.94,7698.25,30.48,16434.46,19.67,203Rn
10291.14,9.4,137.92,18.6,,,15659.55,50.12,9745.24,15.03,15510.71,25.25,203Fr
8484.45,40.98,1723.48,38.77,,,15783.95,39.19,7393.28,48.89,18312.89,40.5,203Ra
3069.0,566.0,9336.0,566.0,14659.0,401.0,14111.0,566.0,10416.0,499.0,,,204Ir
6367.0,277.0,10521.0,446.0,7188.0,196.0,9565.0,357.0,6839.0,277.0,2964.0,357.0,204Pt
5578.0,200.0,8313.0,280.0,-4.0,200.0,12753.0,202.0,7955.0,206.0,4893.0,280.0,204Au
7492.2,1.65,8835.68,3.04,-6348.9,11.02,10373.64,23.29,6574.62,3.22,4696.97,50.1,204Hg
6656.08,0.29,6365.85,1.25,-12470.71,22.32,13709.99,1.06,8180.45,1.07,7700.97,3.31,204Tl
8394.65,6.46,6637.49,0.34,-17139.7,7.36,11581.13,1.57,6935.0,14.15,8199.05,1.06,204Pb
7192.39,15.73,3148.31,11.28,-21253.21,26.24,16005.52,9.93,9489.2,16.53,12181.34,16.89,204Bi
9101.67,14.01,4105.39,16.86,-24398.03,18.79,13111.05,18.92,7939.24,18.74,12576.19,17.61,204Po
7784.19,24.67,1853.51,23.91,,,16776.99,23.91,9509.81,22.83,15187.4,26.97,204At
9887.81,19.62,3096.61,12.91,,,13331.34,28.95,7683.3,11.06,14197.39,8.89,204Rn
8340.42,25.36,527.96,30.57,,,17592.75,30.19,9543.69,55.48,17043.15,25.91,204Fr
10676.26,41.07,2108.6,16.5,,,13671.36,16.82,7332.26,17.77,15775.51,52.02,204Ra
4343.0,643.0,,,17861.0,503.0,12391.0,643.0,11992.0,643.0,,,205Ir
3116.0,357.0,10568.0,499.0,10804.0,298.0,12434.0,499.0,8674.0,422.0,5767.0,499.0,205Pt
6191.0,280.0,8137.0,277.0,2295.0,196.0,11568.0,277.0,8787.0,197.0,3653.0,357.0,205Au
5668.91,3.62,8927.0,200.0,-4766.34,10.7,11566.5,4.73,6929.29,23.57,6050.79,25.41,205Hg
7546.05,0.48,6419.7,1.27,-10848.93,15.12,12159.2,1.33,8388.5,1.15,6178.51,23.32,205Tl
6731.66,0.11,6713.06,0.21,-16060.45,5.13,12701.94,0.35,7074.03,1.57,9221.49,1.05,205Pb
8489.93,10.51,3243.58,5.11,-19754.69,9.35,14432.86,8.23,9740.16,6.35,10562.11,5.29,205Bi
7251.47,14.91,4164.47,13.62,-23360.39,71.23,14714.24,16.26,8084.14,18.39,14065.62,10.75,205Po
9167.83,26.91,1919.67,18.66,-27078.64,53.01,15049.75,17.39,9833.72,17.39,13415.94,21.49,205At
7810.91,8.97,3123.32,22.86,,,15163.58,11.73,7745.0,28.43,15878.23,10.02,205Rn
9988.44,25.8,628.59,10.8,,,15554.69,19.79,9828.88,19.19,14927.32,29.05,205Fr
8289.11,72.16,2057.29,74.68,,,15673.38,70.8,7606.81,70.87,17760.03,72.66,205Ra
,,-760.94,53.06,,,16155.77,63.53,9895.89,52.99,16656.86,51.3,205Ac
4737.0,422.0,10961.0,585.0,14154.0,298.0,10767.0,499.0,9922.0,499.0,3655.0,499.0,206Pt
3516.0,357.0,8537.0,422.0,5814.0,298.0,14418.0,357.0,10276.0,357.0,6121.0,499.0,206Au
6729.38,20.74,9465.0,197.0,-2757.13,20.82,10415.0,201.0,7061.69,20.66,4327.0,197.0,206Hg
6503.81,0.39,7254.6,3.74,-9823.65,15.1,13147.58,1.32,7879.95,1.38,6536.47,3.25,206Tl
8086.66,0.06,7253.68,0.5,-14652.62,8.58,11271.37,0.21,6839.85,0.36,7130.08,1.27,206Pb
7035.09,9.11,3547.01,7.55,-18785.86,29.21,15792.42,7.55,9622.33,9.93,11379.5,7.55,206Bi
8738.59,10.83,4413.14,6.48,-21754.21,18.44,13168.03,10.02,8200.21,13.39,12244.28,7.66,206Po
7529.09,21.25,2197.29,18.11,-25909.17,52.69,16622.33,18.65,9745.23,17.37,14741.51,19.73,206At
9494.5,9.96,3449.99,17.35,,,13453.27,23.89,7893.65,13.61,13824.33,12.2,206Rn
8003.92,29.26,821.6,28.65,,,17438.58,29.16,9775.34,33.55,16566.54,30.11,206Fr
10344.77,72.78,2413.62,19.63,,,13669.04,30.47,7553.18,19.06,15365.64,25.57,206Ra
8698.56,71.64,-351.49,86.73,,,18133.47,52.75,9681.78,63.27,18249.44,50.88,206Ac
2980.0,499.0,,,17912.0,401.0,12130.0,643.0,10011.0,566.0,,,207Pt
4667.0,423.0,8467.0,423.0,9245.0,300.0,12867.0,423.0,11976.0,358.0,4524.0,500.0,207Au
3612.96,36.14,9562.0,300.0,658.33,30.54,12993.0,198.0,9027.0,202.0,7081.0,198.0,207Hg
6852.4,5.43,7377.62,21.11,-7807.04,13.53,11964.09,6.5,8519.75,5.45,5262.0,200.0,207Tl
6737.78,0.1,7487.65,0.62,-13817.28,8.57,12079.63,0.51,6758.15,0.23,7884.5,1.18,207Pb
8097.67,7.84,3558.01,2.12,-17210.29,17.67,14426.42,2.12,9919.32,2.12,9937.92,2.12,207Bi
7028.42,7.75,4406.47,10.0,-20690.26,53.61,14629.54,8.31,8364.18,11.34,13610.52,6.56,207Po
8869.02,19.49,2327.71,13.04,-24373.65,51.89,15004.79,15.97,9977.88,16.58,13064.88,15.43,207At
7573.11,12.08,3494.01,17.29,,,15047.99,17.31,8104.73,23.85,15352.88,13.91,207Rn
9673.24,33.19,1000.35,19.5,,,15576.25,18.23,9989.91,19.02,14677.49,28.34,207Fr
8092.37,56.16,2502.07,60.21,,,15565.1,53.77,7801.23,58.61,17161.08,53.71,207Ra
10404.54,71.33,-291.72,53.51,,,16018.05,86.67,9953.5,52.65,16185.32,56.06,207Ac
4521.0,566.0,,,20758.0,400.0,,,9834.0,642.0,,,208Pt
3363.0,423.0,8850.0,499.0,12769.0,298.0,14241.0,422.0,11729.0,422.0,5505.0,585.0,208Au
4849.28,42.82,9744.0,302.0,4204.19,30.79,11660.0,300.0,10368.0,198.0,5347.0,300.0,208Hg
3787.0,5.6,7551.66,29.87,-4280.26,9.1,14906.47,20.48,10401.66,4.01,7666.0,196.0,208Tl
7367.87,0.05,8003.12,5.4,-12093.01,11.08,11215.58,0.62,6936.33,0.52,6185.54,3.7,208Pb
6886.91,2.71,3707.15,2.01,-16204.3,12.06,15626.17,2.01,9764.07,2.01,10597.05,2.01,208Bi
8395.14,6.69,4703.94,2.49,-19197.45,9.05,13269.49,7.66,8458.96,5.27,11947.04,1.31,208Po
7313.77,15.27,2613.07,11.13,-23223.11,56.43,16429.61,9.78,9915.58,13.44,14241.04,10.28,208At
9092.15,14.01,3717.15,16.67,-26339.32,35.94,13484.93,18.72,8180.41,18.74,13512.21,15.0,208Rn
7892.89,21.13,1320.13,14.57,,,17177.85,14.62,9907.92,12.88,15952.43,19.17,208Fr
9887.95,53.95,2716.77,19.69,,,13681.08,29.6,7901.72,11.94,15084.04,10.32,208Ra
8464.31,75.12,80.22,77.04,,,17898.5,58.55,9778.3,89.87,17709.45,56.26,208Ac
,,1751.47,60.89,,,13915.08,60.98,7441.09,61.25,16491.14,78.37,208Th
4510.0,499.0,8839.0,565.0,15718.0,400.0,12711.0,566.0,11956.0,499.0,,,209Au
3450.0,152.0,9832.0,333.0,7722.0,149.0,12877.0,335.0,10434.0,333.0,6634.0,333.0,209Hg
4965.94,6.27,7668.32,31.34,-762.14,7.93,13553.49,30.43,12165.1,21.31,6216.0,298.0,209Tl
3937.37,1.34,8153.48,2.13,-8673.6,10.11,14130.61,5.56,9502.78,1.36,8977.56,20.43,209Pb
7459.76,1.86,3799.03,0.78,-14489.09,14.69,14904.19,0.77,10390.98,0.77,9641.11,0.78,209Bi
6967.81,1.89,4784.84,2.43,-18224.31,5.95,14399.34,2.52,8526.24,7.67,13065.89,1.36,209Po
8484.06,10.28,2701.99,5.27,-21726.42,50.87,14973.97,8.32,10170.12,6.48,12792.07,9.11,209At
7356.78,14.94,3760.15,13.37,-25308.0,140.0,14997.17,15.91,8352.72,18.05,14894.03,10.74,209Rn
9174.97,18.83,1402.95,18.39,,,15576.0,16.93,10227.45,16.97,14306.55,20.94,209Fr
7940.95,10.66,2764.83,13.16,,,15413.37,18.42,7964.69,28.77,16637.59,10.31,209Ra
9980.74,75.27,173.02,51.41,,,16010.13,73.43,10142.33,53.72,15732.63,57.93,209Ac
8388.0,144.0,1675.0,150.0,,,15932.0,148.0,7752.0,148.0,18448.0,141.0,209Th
3202.0,566.0,,,17121.0,401.0,14030.0,566.0,11733.0,566.0,,,210Au
4792.0,246.0,10114.0,445.0,10588.0,196.0,11447.0,357.0,10309.0,358.0,4821.0,446.0,210Hg
3673.53,13.06,7892.0,149.0,2725.21,13.85,14729.24,32.86,12104.53,31.99,7209.0,300.0,210Tl
5185.17,1.25,8372.72,6.18,-5123.73,4.74,12732.44,1.9,11170.0,5.47,7405.34,29.84,210Pb
4604.63,0.08,4466.3,1.15,-11458.77,15.21,17667.43,0.77,12524.12,0.77,11888.87,5.45,210Bi
7658.36,1.36,4983.45,0.77,-16395.93,9.18,13627.89,2.01,8965.54,2.12,12145.31,0.12,210Po
7160.88,9.17,2895.06,7.73,-20761.88,57.92,16208.22,7.72,10037.65,10.05,13728.85,7.9,210At
8735.04,10.95,4011.13,6.83,-23664.22,19.44,13575.91,10.02,8486.7,13.22,13187.41,8.05,210Rn
7634.95,21.01,1681.13,18.13,,,17033.19,18.8,10165.61,17.37,15540.61,19.56,210Fr
9486.74,10.82,3076.61,17.28,,,13819.52,14.98,8151.19,19.77,14723.96,12.52,210Ra
8125.43,76.53,357.49,57.69,,,17772.65,58.11,10109.27,78.27,17280.44,60.01,210Ac
10379.0,141.0,2073.33,54.03,,,14017.02,58.84,7777.27,53.82,16161.36,56.45,210Th
3330.0,277.0,10242.0,446.0,11808.0,196.0,12627.0,445.0,10341.0,357.0,6012.0,445.0,211Hg
4902.35,43.49,8002.0,200.0,5569.27,42.01,13277.0,155.0,12051.46,51.98,5670.0,301.0,211Tl
3835.76,2.57,8534.95,11.77,-1737.54,7.14,13862.61,6.19,11121.24,2.68,8418.86,30.82,211Pb
5138.47,5.45,4419.6,5.48,-7718.88,13.16,16466.32,5.56,14753.52,5.41,10537.4,5.6,211Bi
4550.75,0.52,4929.56,0.92,-13264.59,8.02,16536.9,0.93,11301.71,2.08,14962.43,0.51,211Po
7746.4,8.01,2983.1,2.49,-18849.48,53.05,15429.63,2.83,10686.39,2.81,12869.36,3.01,211At
7221.95,8.17,4072.2,10.15,-22665.58,73.32,14838.02,8.44,8578.52,11.22,14360.59,6.84,211Rn
8878.36,19.3,1824.45,12.83,-26220.0,103.0,15511.61,15.59,10379.4,16.36,13976.02,14.94,211Fr
7682.09,12.13,3123.74,17.1,,,15312.4,16.65,8362.0,14.24,16134.02,13.67,211Ra
9658.8,78.11,529.55,53.77,,,16054.8,53.29,10338.41,53.74,15514.53,54.28,211Ac
8220.59,75.41,2168.5,92.87,,,15777.17,88.84,8020.99,91.84,17828.72,73.56,211Th
,,-732.0,104.0,,,16424.0,173.0,10260.0,108.0,16973.0,117.0,211Pa
4690.0,357.0,,,13127.0,298.0,11139.0,499.0,10161.0,499.0,,,212Hg
3544.0,205.0,8216.0,280.0,7077.0,200.0,14525.0,280.0,11957.0,250.0,6636.0,447.0,212Tl
5127.22,2.46,8759.82,41.96,1110.76,3.5,12408.92,11.67,10959.96,6.21,6742.0,149.0,212Pb
4330.14,5.6,4913.98,2.68,-4601.99,8.96,17321.35,1.9,14360.75,2.13,11173.2,6.27,212Bi
6008.23,0.52,5799.33,5.41,-10170.52,11.21,15133.3,0.78,12753.23,0.78,12891.56,1.35,212Po
5052.27,3.07,3484.62,2.16,-15905.52,51.44,18035.72,2.1,12601.93,2.5,15276.84,1.96,212At
7975.52,7.33,4301.31,3.84,-20770.42,10.47,14023.38,8.15,9087.06,5.89,13352.89,3.23,212Rn
7447.04,14.85,2049.53,11.11,-25109.33,75.37,16799.61,9.89,10289.14,13.27,15013.05,10.15,212Fr
9102.31,13.77,3347.69,16.45,,,13845.04,18.88,8434.66,18.46,14388.48,15.03,212Ra
7996.23,73.8,843.7,51.99,,,17545.31,52.2,10283.13,51.7,16693.27,53.43,212Ac
9870.68,73.7,2380.38,53.93,,,14031.91,58.29,8131.05,51.61,15898.99,11.59,212Th
8558.0,127.0,-394.22,104.57,,,18244.72,77.21,10090.0,158.0,18395.95,90.36,212Pa
3162.0,422.0,,,14320.0,298.0,,,10202.0,499.0,,,213Hg
4737.0,202.0,8262.0,299.0,8363.41,27.45,13119.0,197.0,12013.0,197.0,5101.0,401.0,213Tl
3726.0,7.04,8942.0,200.0,2492.49,7.7,13585.27,42.49,10907.49,13.49,7808.0,196.0,213Pb
5185.0,5.27,4971.76,5.2,-1678.79,7.16,15972.12,5.18,14360.92,5.17,9661.74,12.61,213Bi
4355.41,2.86,5824.6,3.29,-6999.14,10.28,15916.35,6.1,13002.45,2.78,13721.32,2.83,213Po
6022.69,5.09,3499.08,4.77,-12734.29,16.02,16563.78,4.79,14237.6,4.77,13858.79,4.7,213At
5107.74,4.32,4356.78,3.8,-17816.11,9.77,16662.04,4.03,11140.21,8.24,15903.51,3.17,213Rn
8108.2,10.14,2182.21,5.88,-23215.47,71.32,15913.36,8.43,10915.98,6.82,14065.73,9.16,213Fr
7526.79,14.94,3427.45,13.17,,,15196.61,15.5,8542.82,18.06,15596.73,10.82,213Ra
9193.92,53.6,935.31,18.96,,,16033.47,17.2,10575.95,17.82,15134.3,21.45,213Ac
8062.04,13.65,2446.18,52.2,,,15628.68,53.77,8194.44,58.14,17323.7,13.0,213Th
10002.05,103.27,-262.85,71.86,,,16463.26,101.94,10467.23,73.61,16519.33,91.41,213Pa
4560.0,499.0,,,15648.0,401.0,,,,,,,214Hg
3391.0,197.0,8491.0,357.0,9844.0,196.0,14418.0,357.0,11953.0,277.0,,,214Tl
5050.55,7.07,9255.55,27.09,4136.97,9.37,12079.0,200.0,10759.28,41.96,6088.0,196.0,214Pb
