S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)",Element_w_A
1538.43,247.27,21167.0,631.0,36946.31,207.78,4972.04,310.42,4215.1,229.9,-22359.04,564.96,22N
6850.32,58.17,23237.85,145.63,9682.97,56.92,-1772.66,97.28,-1709.19,59.24,-17484.32,113.67,22O
5230.34,12.53,12557.63,17.26,-15408.0,401.0,9708.01,12.43,4324.57,12.68,-7416.51,20.56,22F
10364.26,0.04,15266.08,1.8,-41363.0,503.0,2703.55,0.03,-1673.22,0.02,-5711.17,2.64,22Ne
11068.2,0.2,6738.71,0.18,,,12571.23,0.17,-2069.51,0.23,1952.33,0.17,22Na
19375.1,0.82,5504.27,0.33,,,3460.27,1.16,-8465.27,10.54,3494.42,0.35,22Mg
16860.0,718.0,-9.0,401.0,,,11435.0,401.0,-8763.0,404.0,10918.0,401.0,22Al
,,941.0,780.0,,,,,,,7156.0,505.0,22Si
-2488.0,1023.0,,,69325.0,997.0,-2448.0,1343.0,585.0,1278.0,,,23C
3115.69,469.1,24179.74,480.07,46250.28,420.57,1788.0,730.0,4080.92,479.65,-26083.0,904.0,23N
2732.98,134.36,24432.4,240.8,20094.88,121.71,100.26,181.06,-2281.07,145.05,-17235.79,260.77,23O
7579.43,35.55,13286.74,65.96,-3462.81,33.32,5934.03,35.42,4353.15,33.33,-12834.83,85.64,23F
5200.65,0.1,15236.39,12.4,-28851.0,503.0,5604.36,1.8,-272.53,0.11,-3303.82,0.89,23Ne
12419.66,0.17,8794.1,0.02,,,6912.73,0.04,2376.13,0.0,-3865.99,0.03,23Na
13144.9,0.35,7580.97,0.23,,,7421.92,0.19,-7460.06,1.13,7214.82,0.16,23Mg
19525.0,401.0,140.97,0.47,,,6555.03,0.83,-5865.57,1.89,5543.87,1.17,23Al
17712.0,711.0,1793.0,643.0,,,7418.0,780.0,,,11866.0,503.0,23Si
