N,Z,A,EL,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,Element_w_A,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
20,21,41,Sc,Other,-28642.412,0.083,8369.198,0.002,-12944.875,27.945,40969251.104,0.08800000000000001,41Sc,30612.34,24.0,9413.16,0.08,-6267.13,0.13,-28963.0,200.0,-2395.89,0.1,-27863.34,160.0,16190.39,2.83,1085.0,0.08,,,9351.1,0.6,-1719.86,0.21,5804.74,0.21,-1085.0,-16190.39,-16719.9939,-14495.4279,-21533.7249,-14772.8794,-9413.16,-30612.34,-6267.13,-13727.2215,-1085.0,-16190.39,-13965.824,-28645.6865,-22130.5451,-9001.953500000001,-1613.5434999999998,-1085.0,1139.5659999999998,-16190.39,-8238.198900000001,-1695.1196,-9933.161,4408.4744,-12963.467,4387.2294,18728.8649
19,22,41,Ti,x,-15697.537,27.945,8034.388000000001,0.682,-16018.0,202.0,40983148.0,30.0,41Ti,34040.0,202.0,2992.78,27.95,-4986.39,27.95,,,11859.88,27.94,-35939.0,301.0,14918.47,162.42,2463.17,28.09,,,9185.98,36.84,-6584.0,202.0,12007.36,27.95,-2463.17,-14918.47,-16885.1139,-14660.547900000001,-26397.8649,-8570.259399999999,-2992.78,-34040.0,-4986.39,-16800.3465,-2463.17,-14918.47,-12693.903999999999,-36721.3465,-25558.2051,-9167.073500000002,12642.226499999999,-2463.17,-238.60400000000027,-14918.47,-8403.318900000002,4725.260399999999,-8661.240999999998,3030.3044,-16036.592,5659.1494,17350.694900000002
18,23,41,V,x,320.0,200.0,7625.0,5.0,,,41000344.0,215.0,41V,,,85.0,202.0,-5625.0,361.0,,,13555.0,200.0,,,19921.0,361.0,-1882.0,256.0,,,8831.0,283.0,-5685.0,361.0,10216.0,283.0,1882.0,-19921.0,-17240.0939,-15015.527900000001,-25498.8649,-10361.6194,-85.0,,-5625.0,,1882.0,-19921.0,-17696.434,,,-9522.053500000002,14337.3465,1882.0,4106.566,-19921.0,-8758.298900000002,7633.0404,-13663.771,7375.4744,,656.6193999999996,21695.8649
29,13,42,Al,x,40100.0,600.0,6874.0,14.0,23630.0,781.0,42043049.0,644.0,42Al,3633.0,721.0,,,,,39090.0,677.0,,,19909.0,817.0,1392.0,781.0,,,64932.0,603.0,2461.0,781.0,2689.0,789.0,,,,-1392.0,-23610.0939,-21385.5279,-17124.8649,,,-3633.0,,22847.6535,,-1392.0,832.5659999999998,19126.6535,4848.794900000001,-15892.053500000002,,,,-1392.0,-15128.298900000002,,4865.229,,23611.408,19185.6194,
28,14,42,Si,x,16470.0,500.0,7418.0,12.0,15460.0,591.0,42017681.0,537.0,42Si,5103.0,608.0,46458.0,707.0,-20029.0,709.0,34107.0,500.0,,,13378.0,514.0,3721.0,747.0,24239.0,707.0,50892.0,500.0,-409.0,640.0,684.0,640.0,-20159.0,716.0,-24239.0,-3721.0,-26480.0939,-24255.5279,-19129.8649,-40736.619399999996,-46458.0,-5103.0,-20029.0,14677.6535,-24239.0,-3721.0,-1496.4340000000002,12595.6535,3378.794900000001,-18762.0535,,-24239.0,-22014.434,-3721.0,-17998.2989,-38739.9596,2536.2290000000003,-18745.5256,15441.408,16856.6194,-4425.1350999999995
27,15,42,P,x,1009.74,314.379,7767.866,7.485,18647.485,314.392,42001084.0,337.5,42P,7018.52,349.89,41158.0,508.0,-17625.03,488.93,25841.51,319.98,-39699.0,591.0,11947.0,314.41,2081.81,336.56,18398.9,637.6,36031.77,314.38,6290.87,466.84,3553.44,342.35,-13994.0,508.0,-18398.9,-2081.81,-19780.2239,-17555.657900000002,-16260.4249,-34571.619399999996,-41158.0,-7018.52,-17625.03,17865.1385,-18398.9,-2081.81,142.75599999999986,11164.6535,1463.2749000000003,-12062.183500000003,-38916.6535,-18398.9,-16174.334000000003,-2081.81,-11298.428900000003,-33439.9596,4175.419,-12905.425600000002,18628.893,18495.8094,1414.964899999999
26,16,42,S,x,-17637.746,2.7939999999999996,8193.226999999999,0.067,7194.021,59.681000000000004,41981065.1,3.0,42S,10942.53,4.86,37645.37,345.13,-15892.36,104.83,16784.93,6.42,-37046.38,554.71,1598.13,68.78,6700.49,4.96,19946.95,120.2,20909.5,2.8,1187.43,153.61,0.94,112.68,-14311.7,135.56,-19946.95,-6700.49,-24883.6639,-22659.0979,-19812.9249,-34889.3194,-37645.37,-10942.53,-15892.36,6411.6745,-19946.95,-6700.49,-4475.924,815.7835000000001,-2460.7351,-17165.6235,-36264.0335,-19946.95,-17722.384000000002,-6700.49,-16401.8689,-29927.329600000005,-443.2609999999995,-14453.475600000002,7175.429,13877.1294,-133.08510000000024
25,17,42,Cl,x,-24831.767000000003,59.61600000000001,8345.886,1.419,9590.908000000001,59.895,41973342.0,64.0,42Cl,13416.59,67.69,31295.34,164.75,-12635.12,93.93,10190.26,59.62,-27140.97,134.14,164.42,59.62,5595.9,90.98,13112.16,59.76,7289.39,59.62,8716.88,59.75,3194.95,77.81,-6410.73,127.45,-13112.16,-5595.9,-17354.213900000002,-15129.647900000002,-16618.9149,-26988.3494,-31295.34,-13416.59,-12635.12,8808.561500000002,-13112.16,-5595.9,-3371.334,-617.9265,-4934.795099999999,-9636.173500000003,-26358.6235,-13112.16,-10887.594000000001,-5595.9,-8872.418900000002,-23577.2996,661.3290000000006,-7618.6856,9572.316,14981.7194,6701.704900000001
24,18,42,Ar,x,-34422.675,5.775,8555.613000000001,0.138,599.351,5.776,41963045.736,6.2,42Ar,15525.41,5.78,26162.77,7.02,-9986.39,9.21,4124.57,5.78,-22703.07,7.08,-6934.45,5.78,9426.49,5.79,14404.46,68.97,-9318.0,5.78,3845.94,32.58,241.58,6.03,-5613.61,50.33,-14404.46,-9426.49,-22225.1539,-20000.587900000002,-19572.2849,-26191.2294,-26162.77,-15525.41,-9986.39,-182.9955,-14404.46,-9426.49,-7201.924,-7716.7964999999995,-7043.615099999999,-14507.113500000001,-21920.7235,-14404.46,-12179.894,-9426.49,-13743.358900000001,-18444.7296,-3169.2609999999995,-8910.9856,580.759,11151.1294,5409.404900000001
23,19,42,K,-n,-35022.026,0.106,8551.256,0.003,3525.219,0.183,41962402.306,0.113,42K,17629.17,0.12,22042.15,32.07,-7648.84,0.14,-2900.87,0.2,-15003.81,68.72,-7955.45,0.17,7533.8,0.11,9243.49,0.36,-27402.0,196.0,10728.67,0.11,3084.22,5.0,424.58,1.74,-9243.49,-7533.8,-15342.4239,-13117.8579,-16729.6449,-20153.039399999998,-22042.15,-17629.17,-7648.84,2742.8725,-9243.49,-7533.8,-5309.234,-8737.7965,-9147.375099999997,-7624.383500000002,-14221.4635,-9243.49,-7018.924,-7533.8,-6860.6289000000015,-14324.109600000002,-1276.571,-3750.0155999999997,3506.627,13043.8194,10570.3749
22,20,42,Ca,Other,-38547.245,0.149,8616.563,0.004,-6426.092,0.09699999999999999,41958617.828,0.159,42Ca,19843.49,0.15,18085.29,0.15,-6257.34,0.25,-13442.57,0.24,-12768.71,0.38,-17976.15,0.16,11480.67,0.06,10276.67,0.15,-45277.0,400.0,5699.05,0.16,124.0,0.15,341.35,5.0,-10276.67,-11480.67,-20372.0439,-18147.4779,-19689.8649,-20236.2694,-18085.29,-19843.49,-6257.34,-7208.438499999999,-10276.67,-11480.67,-9256.104,-18758.4965,-11361.6951,-12654.003500000003,-11986.3635,-10276.67,-8052.104,-11480.67,-11890.248900000002,-10367.249600000001,-5223.441,-4783.1956,-6444.683999999999,9096.9494,9537.1949
21,21,42,Sc,Other,-32121.153,0.16899999999999998,8444.933,0.004,-7016.479,0.22399999999999998,41965516.522,0.18100000000000002,42Sc,27740.45,2.83,13163.6,0.18,-5745.31,0.26,-24502.0,196.0,-3850.58,0.17,-24494.93,27.95,11550.06,0.16,4272.23,0.1,,,13436.04,0.17,25.6,0.62,7332.44,0.17,-4272.23,-11550.06,-12635.053899999999,-10410.4879,-19788.264900000002,-13245.1794,-13163.6,-27740.45,-5745.31,-7798.8255,-4272.23,-11550.06,-9325.493999999999,-25277.2765,-19258.6551,-4917.013500000001,-3068.2335,-4272.23,-2047.6639999999998,-11550.06,-4153.258900000001,-5445.5596000000005,-5292.830999999999,1221.2444000000005,-7035.071,9027.5594,15541.634900000001
20,22,42,Ti,Other,-25104.674,0.27699999999999997,8259.247,0.006999999999999999,-17485.0,196.0,41973049.022,0.297,42Ti,32396.92,160.0,4836.23,0.28,-5471.09,0.34,-31835.0,400.0,2744.25,0.24,-33496.0,200.0,17478.45,27.95,3751.23,0.27,,,6129.47,2.84,-6067.91,24.0,7824.43,0.66,-3751.23,-17478.45,-19941.6239,-17717.0579,-25881.7749,-12753.1894,-4836.23,-32396.92,-5471.09,-18267.3465,-3751.23,-17478.45,-15253.884000000002,-34278.3465,-23915.125099999997,-12223.5835,3526.5965,-3751.23,-1526.6640000000002,-17478.45,-11459.8289,2881.8104000000003,-11221.221000000001,1742.2444,-17503.592,3099.169399999999,16062.634900000001
19,23,42,V,x,-7620.0,196.0,7824.0,5.0,-14350.0,445.0,41991820.0,210.0,42V,35932.0,358.0,1674.0,196.0,-5795.0,280.0,,,13734.0,196.0,,,16011.0,280.0,-789.0,198.0,,,11942.0,253.0,-4956.0,280.0,12199.0,197.0,789.0,-16011.0,-14129.0939,-11904.527900000001,-24769.8649,-8378.6194,-1674.0,-35932.0,-5795.0,-15132.3465,789.0,-16011.0,-13786.434000000001,,-27450.2051,-6411.053500000002,14516.3465,789.0,3013.566,-16011.0,-5647.298900000002,6044.0404,-9753.771,6282.4744,-14368.592,4566.6194,20602.8649
18,24,42,Cr,x,6730.0,400.0,7464.0,10.0,,,42007225.0,429.0,42Cr,,,-1002.0,430.0,-6564.0,500.0,,,15139.0,401.0,,,,,879.0,447.0,,,5271.0,500.0,,,10176.0,447.0,-879.0,,-20800.0939,-18575.5279,,-10401.6194,1002.0,,-6564.0,,-879.0,,,,,-13082.053500000002,15921.3465,-879.0,1345.5659999999998,,-12318.298900000002,8720.0404,,4614.4744,,,18934.8649
30,13,43,Al,x,47020.0,800.0,6741.0,19.0,23919.0,998.0,43050478.0,859.0,43Al,2543.0,944.0,,,,,42340.0,974.0,,,22479.0,944.0,1151.0,1000.0,,,71179.0,803.0,,,3534.0,944.0,,,,-1151.0,,,-16279.8649,,,-2543.0,,23136.6535,,-1151.0,1073.5659999999998,21696.6535,5938.794900000001,,,,,-1151.0,,,5106.229,,23900.408,19426.6194,
29,14,43,Si,x,23101.0,596.0,7279.0,14.0,18421.0,814.0,43024800.0,640.0,43Si,5161.0,814.0,,,-21599.0,786.0,35297.0,596.0,,,14020.0,674.0,1440.0,778.0,24288.0,846.0,55111.0,596.0,392.0,778.0,375.0,718.0,-19603.0,778.0,-24288.0,-1440.0,-25679.0939,-23454.5279,-19438.8649,-40180.619399999996,,-5161.0,-21599.0,17638.6535,-24288.0,-1440.0,784.5659999999998,13237.6535,3320.794900000001,-17961.0535,,-24288.0,-22063.434,-1440.0,-17197.2989,,4817.229,-18794.5256,18402.408,19137.6194,-4474.1350999999995
28,15,43,P,x,4679.826,554.705,7689.571999999999,12.9,16875.285,554.727,43005024.0,595.5,43P,6483.04,567.57,43318.0,747.0,-18395.0,684.0,28839.33,558.14,-42709.0,817.0,14246.25,554.71,4401.23,637.6,19079.0,747.0,41255.21,554.7,3270.96,784.47,4114.2,653.3,-17264.0,684.0,-19079.0,-4401.23,-22800.1339,-20575.567900000002,-15699.6649,-37841.619399999996,-43318.0,-6483.04,-18395.0,16092.9385,-19079.0,-4401.23,-2176.6639999999998,13463.9035,1998.7549000000008,-15082.093500000003,-41926.6535,-19079.0,-16854.434,-4401.23,-14318.338900000002,-35599.9596,1855.9990000000007,-13585.5256,16856.693,16176.3894,734.8649000000005
27,16,43,S,x,-12195.458999999999,4.97,8063.826999999999,0.11599999999999999,11964.048999999999,62.058,42986907.635,5.335,43S,9329.52,6.44,38893.07,554.73,-16940.73,135.62,19814.35,7.27,-35954.0,500.0,4564.99,59.82,2629.03,5.7,20494.17,314.42,26213.36,4.98,3495.11,120.27,782.97,153.66,-11978.74,345.15,-20494.17,-2629.03,-22575.9839,-20351.4179,-19030.8949,-32556.3594,-38893.07,-9329.52,-16940.73,11181.7025,-20494.17,-2629.03,-404.4640000000004,3782.6434999999997,-847.7250999999997,-14857.943500000001,-35171.6535,-20494.17,-18269.604,-2629.03,-14094.188900000001,-31175.0296,3628.199,-15000.6956,11945.456999999999,17948.5894,-680.3050999999978
26,17,43,Cl,x,-24159.507999999998,61.858000000000004,8323.866,1.439,7850.3,62.086000000000006,42974063.7,66.407,43Cl,12994.95,92.46,33757.68,135.15,-13809.79,128.51,12415.88,61.86,-32458.22,320.41,2191.85,62.13,7399.06,85.91,13810.73,61.92,12028.59,61.89,5559.88,61.99,3542.39,61.99,-10398.74,165.57,-13810.73,-7399.06,-20511.2139,-18286.6479,-16271.474900000001,-30976.3594,-33757.68,-12994.95,-13809.79,7067.9535000000005,-13810.73,-7399.06,-5174.494000000001,1409.5034999999998,-4513.1551,-12793.1735,-31675.8735,-13810.73,-11586.164,-7399.06,-12029.4189,-26039.639600000002,-1141.8310000000001,-8317.2556,7831.7080000000005,13178.559399999998,6003.134900000001
25,18,43,Ar,x,-32009.807999999997,5.31,8488.237,0.12300000000000001,4565.581,5.325,42965636.055,5.7,43Ar,15084.94,5.32,27579.17,6.71,-11272.06,50.28,6399.01,5.31,-21661.03,6.0,-5059.1,5.31,5658.45,7.85,14467.01,59.85,-2688.73,8.98,6008.19,68.93,412.06,32.5,-3525.56,6.64,-14467.01,-5658.45,-20062.9039,-17838.337900000002,-19401.8049,-24103.1794,-27579.17,-15084.94,-11272.06,3783.2345,-14467.01,-5658.45,-3433.884,-5841.4465,-6603.1451,-12344.863500000003,-20878.6835,-14467.01,-12242.444,-5658.45,-11581.108900000003,-19861.1296,598.7790000000005,-8973.5356,4546.9890000000005,14919.169399999999,5346.8549
24,19,43,K,-4n,-36575.388999999996,0.41,8576.22,0.01,1833.434,0.469,42960734.703,0.44,43K,17158.48,0.41,23846.14,68.72,-9200.1,1.78,-387.29,1.91,-19032.59,59.62,-6099.46,0.44,9624.68,0.42,9441.68,5.79,-18659.03,42.85,7202.92,0.54,3328.56,0.41,-3371.17,32.07,-9441.68,-9624.68,-18868.1739,-16643.607900000003,-16485.3049,-23948.7894,-23846.14,-17158.48,-9200.1,1051.0875,-9441.68,-9624.68,-7400.1140000000005,-6881.8065,-8676.685099999999,-11150.133500000002,-18250.2435,-9441.68,-7217.1140000000005,-9624.68,-10386.378900000002,-16128.0996,-3367.451,-3948.2056000000002,1814.8419999999999,10952.9394,10372.1849
23,20,43,Ca,Other,-38408.822,0.228,8600.663,0.005,-2220.72,1.865,42958766.43,0.244,43Ca,19413.57,0.18,19919.26,0.42,-7591.55,5.01,-9087.74,7.25,-11275.12,5.78,-14358.99,0.2,7932.89,0.17,10675.77,0.25,-36439.0,400.0,7861.53,0.23,-9.28,0.23,2277.47,0.23,-10675.77,-7932.89,-18209.5639,-15984.997900000002,-19823.1449,-18300.1494,-19919.26,-19413.57,-7591.55,-3003.0665,-10675.77,-7932.89,-5708.3240000000005,-15141.3365,-10931.775099999999,-10491.523500000003,-10492.773500000001,-10675.77,-8451.204000000002,-7932.89,-9727.768900000003,-12201.219599999999,-1675.661,-5182.2956,-2239.312,12644.7294,9138.0949
22,21,43,Sc,-p,-36188.102,1.8630000000000002,8530.825,0.043,-6867.02,7.481,42961150.471999995,1.999,43Sc,23688.32,1.86,15206.5,1.86,-4805.83,1.86,-18271.75,42.89,-8455.05,1.87,-19154.75,1.87,12138.27,1.86,4929.83,1.86,,,9660.59,1.86,3522.34,1.86,2993.79,1.86,-4929.83,-12138.27,-16410.5039,-14185.9379,-16291.5249,-17583.8294,-15206.5,-23688.32,-4805.83,-7649.3665,-4929.83,-12138.27,-9913.704000000002,-19937.0965,-15206.525099999999,-8692.463500000002,-7672.7035,-4929.83,-2705.264,-12138.27,-7928.708900000001,-7488.4596,-5881.041,563.6444000000001,-6885.612,8439.3494,14884.0349
21,22,43,Ti,-n2p,-29321.082000000002,7.245,8352.931999999999,0.168,-11404.726,43.457,42968522.521000005,7.777,43Ti,29766.18,28.87,8761.13,7.25,-4463.3,7.27,-27351.0,400.0,1937.19,7.25,-29773.0,196.0,12287.73,7.25,4488.9,7.25,,,10032.14,7.25,-3933.69,7.78,11171.7,7.25,-4488.9,-12287.73,-16038.9539,-13814.387900000002,-23747.5549,-9405.919399999999,-8761.13,-29766.18,-4463.3,-12187.0725,-4488.9,-12287.73,-10063.164,-30555.3465,-21284.3851,-8320.913500000002,2719.5365,-4488.9,-2264.334,-12287.73,-7557.158900000002,-1043.0895999999993,-6030.500999999999,1004.5744000000004,-11423.318000000001,8289.8894,15324.9649
20,23,43,V,x,-17916.356,42.849,8069.512,0.996,-15946.0,402.0,42980766.0,46.0,43V,34379.0,205.0,3851.88,42.85,-6168.56,49.11,,,6915.83,42.85,-32718.0,402.0,18368.0,200.0,100.65,42.85,,,8491.99,51.16,-4201.92,165.64,8253.38,42.94,-100.65,-18368.0,-17579.103900000002,-15354.537900000001,-24015.7849,-12324.2394,-3851.88,-34379.0,-6168.56,-16728.3465,-100.65,-18368.0,-16143.434000000001,-33500.3465,-25897.2051,-9861.063500000002,7698.1765,-100.65,2123.9159999999997,-18368.0,-9097.308900000002,3866.1603999999998,-12110.771,5392.8244,-15964.592,2209.6193999999996,19713.2149
19,24,43,Cr,x,-1970.0,400.0,7680.0,9.0,,,42997885.0,429.0,43Cr,,,851.0,401.0,-6595.0,447.0,,,15846.0,400.0,,,16771.0,565.0,1639.0,445.0,,,8420.0,447.0,-9276.0,500.0,12527.0,430.0,-1639.0,-16771.0,-17651.0939,-15426.527900000001,-29089.8649,-8050.6194,-851.0,,-6595.0,,-1639.0,-16771.0,-14546.434000000001,,,-9933.053500000002,16628.3465,-1639.0,585.5659999999998,-16771.0,-9169.298900000002,6867.0404,-10513.771,3854.4744,,3806.6193999999996,18174.8649
30,14,44,Si,x,28513.0,596.0,7174.0,14.0,18063.0,778.0,44030610.0,640.0,44Si,4099.0,778.0,,,-22262.0,778.0,37717.0,596.0,,,15762.0,814.0,2659.0,843.0,25796.0,998.0,61186.0,596.0,-876.0,846.0,-43.0,778.0,,,-25796.0,-2659.0,-26947.0939,-24722.5279,-19856.8649,,,-4099.0,-22262.0,17280.6535,-25796.0,-2659.0,-434.4340000000002,14979.6535,4382.794900000001,-19229.0535,,-25796.0,-23571.434,-2659.0,-18465.2989,,3598.2290000000003,-20302.5256,18044.408,17918.6194,-5982.1350999999995
29,15,44,P,x,10450.0,500.0,7567.0,11.0,19655.0,500.0,44011219.0,537.0,44P,6702.0,591.0,44227.0,781.0,-19564.0,640.0,30835.0,518.0,-43858.0,944.0,14575.0,500.0,2301.0,747.0,19940.0,778.0,46232.0,500.0,4691.0,707.0,3195.0,747.0,-17323.0,707.0,-19940.0,-2301.0,-21380.0939,-19155.5279,-16618.8649,-37900.619399999996,-44227.0,-6702.0,-19564.0,18872.6535,-19940.0,-2301.0,-76.4340000000002,13792.6535,1779.7949000000008,-13662.053500000002,-43075.6535,-19940.0,-17715.434,-2301.0,-12898.298900000002,-36508.9596,3956.2290000000003,-14446.5256,19636.408,18276.6194,-126.13509999999951
28,16,44,S,x,-9204.233,5.216,7996.015,0.11900000000000001,11180.29,136.421,43990118.848000005,5.6,44S,7709.12,5.92,40252.0,500.0,-17058.83,345.16,23469.02,5.45,-39594.0,596.0,6883.96,62.08,5080.09,7.21,21173.03,554.73,32264.44,5.23,496.83,314.42,639.59,120.28,-15677.5,554.73,-21173.03,-5080.09,-25574.263899999998,-23349.6979,-19174.2749,-36255.119399999996,-40252.0,-7709.12,-17058.83,10397.943500000001,-21173.03,-5080.09,-2855.5240000000003,6101.6135,772.6749000000009,-17856.2235,-38811.6535,-21173.03,-18948.464,-5080.09,-17092.4689,-32533.959600000002,1177.1390000000001,-15679.5556,11161.698,15497.5294,-1359.1650999999983
27,17,44,Cl,x,-20384.523,136.321,8232.332,3.0980000000000003,12288.731000000002,136.33,43978116.312,146.346,44Cl,11695.39,148.79,35972.2,342.66,-14695.07,205.36,15396.97,136.32,-32353.32,571.21,3553.97,136.42,4296.33,149.7,15478.03,136.41,17431.46,136.33,7964.03,136.35,3488.11,136.38,-9758.35,181.72,-15478.03,-4296.33,-18107.0639,-15882.497900000002,-16325.7549,-30335.9694,-35972.2,-11695.39,-14695.07,11506.384500000002,-15478.03,-4296.33,-2071.764,2771.6234999999997,-3213.5950999999986,-10389.023500000003,-31570.9735,-15478.03,-13253.464,-4296.33,-9625.268900000003,-28254.1596,1960.8990000000003,-9984.5556,12270.139000000001,16281.2894,4335.8349
26,18,44,Ar,x,-32673.255,1.584,8493.84,0.036000000000000004,3108.237,1.6380000000000001,43964923.81600001,1.7,44Ar,14393.21,5.99,29613.45,3.21,-12260.32,4.29,8795.42,1.62,-27766.77,5.22,-4169.18,1.64,8734.76,5.54,15802.72,61.88,4875.31,1.73,2869.32,59.64,-502.01,68.74,-8018.28,4.39,-15802.72,-8734.76,-23201.7739,-20977.2079,-20315.8749,-28595.8994,-29613.45,-14393.21,-12260.32,2325.8905,-15802.72,-8734.76,-6510.194,-4951.5265,-5911.415099999998,-15483.733500000002,-26984.4235,-15802.72,-13578.153999999999,-8734.76,-14719.978900000002,-21895.4096,-2477.531,-10309.245599999998,3089.645,11842.8594,4011.144900000001
25,19,44,K,x,-35781.492,0.419,8546.701,0.01,5687.183000000001,0.53,43961586.986,0.45,44K,16902.1,0.43,25527.67,59.62,-10648.59,32.07,2034.49,1.8,-18910.95,61.86,-5443.99,0.48,7277.42,0.59,11060.65,5.33,-11665.11,181.64,9351.99,5.79,2150.07,0.54,-2827.9,68.72,-11060.65,-7277.42,-16719.103900000002,-14494.537900000001,-17663.7949,-23405.5194,-25527.67,-16902.1,-10648.59,4904.836500000001,-11060.65,-7277.42,-5052.854,-6226.336499999999,-8420.305099999998,-9001.063500000002,-18128.6035,-11060.65,-8836.083999999999,-7277.42,-8237.308900000002,-17809.6296,-1020.1909999999998,-5567.1756,5668.591000000001,13300.1994,8753.2149
24,20,44,Ca,Other,-41468.675,0.325,8658.175,0.006999999999999999,-3652.69,1.757,43955481.543000005,0.348,44Ca,19064.06,0.29,21623.94,5.78,-8853.7,0.32,-3920.11,0.77,-16747.84,5.32,-13351.89,1.88,11131.17,0.23,12182.26,0.52,-28108.0,300.0,4264.16,0.34,-1045.08,0.33,-2754.77,0.48,-12182.26,-11131.17,-21806.9339,-19582.3679,-20858.944900000002,-23332.3894,-21623.94,-19064.06,-8853.7,-4435.0365,-12182.26,-11131.17,-8906.604,-14134.236499999999,-10582.2651,-14088.893500000002,-15965.4935,-12182.26,-9957.694,-11131.17,-13325.138900000002,-13905.899599999999,-4873.941,-6688.7856,-3671.282,9446.4494,7631.6049
23,21,44,Sc,-p,-37815.985,1.756,8557.379,0.04,-267.416,1.89,43959402.867,1.8840000000000001,44Sc,21837.47,1.75,17371.9,1.76,-6705.41,1.76,-13699.61,181.65,-8529.57,1.8,-16566.22,7.45,9699.2,2.55,6696.13,1.74,-44846.0,500.0,11442.07,1.75,2185.96,1.75,3389.96,1.76,-6696.13,-9699.2,-14629.0239,-12404.457900000001,-17627.9049,-17187.6594,-17371.9,-21837.47,-6705.41,-1049.7625,-6696.13,-9699.2,-7474.634000000001,-17348.5665,-13355.6751,-6910.983500000002,-7747.2235,-6696.13,-4471.564,-9699.2,-6147.228900000002,-9653.859600000002,-3441.9710000000005,-1202.6556,-286.008,10878.419399999999,13117.7349
22,22,44,Ti,-a,-37548.568999999996,0.7,8533.52,0.016,-13432.188999999998,181.643,43959689.951000005,0.7509999999999999,44Ti,28586.53,0.75,13579.27,0.72,-5127.1,0.7,-24188.0,300.0,-6428.72,0.74,-27703.53,42.85,16298.8,7.28,8649.44,1.99,,,5283.39,0.72,-4042.1,0.7,3235.72,0.71,-8649.44,-16298.8,-20787.7039,-18563.1379,-23855.9649,-17341.8994,-13579.27,-28586.53,-5127.1,-14214.535499999998,-8649.44,-16298.8,-14074.234,-28485.8765,-20104.735099999998,-13069.663500000002,-5646.373500000001,-8649.44,-6424.874000000001,-16298.8,-12305.908900000002,-5861.229600000001,-10041.571,-3155.9656000000004,-13450.780999999999,4278.8194,11164.4249
21,23,44,V,x,-24116.38,181.641,8210.463,4.128,-10756.0,351.0,43974110.0,195.0,44V,32639.0,267.0,6573.17,181.64,-6017.96,181.66,-31146.0,532.0,4782.75,181.65,-30218.0,439.0,14271.34,186.63,2084.27,181.79,,,11699.1,181.64,-3554.79,183.78,10172.43,181.64,-2084.27,-14271.34,-14371.9939,-12147.4279,-23368.6549,-10405.1894,-6573.17,-32639.0,-6017.96,-11538.3465,-2084.27,-14271.34,-12046.774000000001,-31000.3465,-24157.2051,-6653.953500000001,5565.0965,-2084.27,140.29599999999982,-14271.34,-5890.198900000001,1144.8703999999998,-8014.111,3409.2044,-10774.592,6306.279399999999,17729.5949
20,24,44,Cr,x,-13360.0,300.0,7948.0,7.0,-20390.0,583.0,43985657.0,322.0,44Cr,36233.0,500.0,2834.0,300.0,-6935.0,340.0,,,8672.0,300.0,,,19462.0,500.0,2733.0,303.0,,,4970.0,358.0,-8817.0,361.0,7984.0,301.0,-2733.0,-19462.0,-21101.0939,-18876.5279,-28630.8649,-12593.6194,-2834.0,-36233.0,-6935.0,-21172.3465,-2733.0,-19462.0,-17237.434,,-27751.2051,-13383.053500000002,9454.3465,-2733.0,-508.4340000000002,-19462.0,-12619.298900000002,4884.0404,-13204.771,2760.4744,-20408.592,1115.6193999999996,17080.8649
19,25,44,Mn,x,7030.0,500.0,7467.0,11.0,,,44007547.0,537.0,44Mn,,,-72.0,537.0,-7565.0,583.0,,,17657.0,502.0,,,,,-1711.0,640.0,,,11011.0,640.0,,,12356.0,539.0,1711.0,,-15060.0939,-12835.527900000001,,-8221.6194,72.0,,-7565.0,,1711.0,,,,,-7342.053500000002,18439.3465,1711.0,3935.566,,-6578.298900000002,7790.0404,,7204.4744,,,21524.8649
31,14,45,Si,x,37490.0,700.0,6995.0,16.0,21890.0,860.0,45040247.0,751.0,45Si,1754.0,919.0,,,,,41479.0,1250.0,,,18968.0,860.0,-905.0,919.0,,,67261.0,700.0,1181.0,1063.0,2254.0,922.0,,,,905.0,-24890.0939,-22665.5279,-17559.8649,,,-1754.0,,21107.6535,,905.0,3129.566,18185.6535,6727.794900000001,-17172.0535,,,,905.0,-16408.2989,,7162.229,,21871.408,21482.6194,
