   Z  A  El   I0    Bn       D0        Derr    Nlow  Ulow   Ntop  Utop    ctable    deltac    ptable 
  46 106 Pd  2.5   9.561  1.030E+01  5.000E-01   6   1.562   28   2.500  -0.09017   0.01700   0.79052
  46 107 Pd  0.0   6.536  2.700E+02  9.000E+01   8   0.392   19   0.809  -0.20011   0.13200  -0.39642
  46 108 Pd  2.5   9.228  1.100E+01  9.000E-01   8   1.540   22   2.391  -0.14879   0.02850   0.78134
  46 109 Pd  0.0   6.154  1.820E+02  3.300E+01   8   0.291   16   0.434  -0.27427   0.06900  -0.97745
  46 111 Pd  0.0   5.726  1.500E+02  5.000E+01   7   0.275   15   0.585   0.46278   0.14850  -0.36332
  47 108 Ag -0.5   7.271  2.200E+01  4.000E+00   3   0.156   28   0.534   0.95509   0.22650  -0.15153
  47 110 Ag -0.5   6.809  1.510E+01  1.400E+00   6   0.199   18   0.381  -0.08629   0.03650   0.10822
  48 107 Cd  0.0   7.924  1.350E+02  3.500E+01   6   0.702   16   1.060   0.09179   0.09200  -0.46805
  48 109 Cd  0.0   7.327  1.200E+02  3.000E+01   5   0.463   17   1.106   0.28760   0.09550   0.07761
  48 111 Cd  0.0   6.976  1.550E+02  2.000E+01   4   0.417   27   1.151  -0.05927   0.05150   0.43514
  48 112 Cd  0.5   9.394  2.000E+01  4.000E+00   6   1.469   27   2.507   0.15899   0.06950   0.66873
  48 113 Cd  0.0   6.540  1.900E+02  2.500E+01   6   0.530   15   0.870   0.11202   0.05250   0.00798
  48 114 Cd  0.5   9.043  2.480E+01  2.600E+00   6   1.364   23   2.392   0.34472   0.05600   0.54440
  48 115 Cd  0.0   6.141  2.350E+02  3.500E+01   8   0.474   16   0.896   0.39649   0.08200  -0.13967
  48 117 Cd  0.0   5.777  3.900E+02  9.000E+01   6   0.338   15   0.691  -0.23305   0.09300  -0.69895
  49 114 In  4.5   7.274  1.300E+01  3.000E+00   6   0.536   15   0.729  -0.17491   0.08450  -0.52129
  49 116 In  4.5   6.785  9.500E+00  5.000E-01   8   0.373   15   0.557  -0.00783   0.02000  -0.50422
  50 113 Sn  0.0   7.743  1.570E+02  5.200E+01   4   0.738   17   1.540   0.49609   0.14800   0.22380
  50 115 Sn  0.0   7.546  2.860E+02  1.060E+02   4   0.987   21   2.077   0.34691   0.14750   0.52533
  50 117 Sn  0.0   6.943  3.800E+02  1.300E+02   7   1.304   15   1.589   0.44039   0.14250   0.37527
  50 118 Sn  0.5   9.327  5.500E+01  5.000E+00   2   1.758   15   2.575   0.21161   0.03150   0.66861
  50 119 Sn  0.0   6.484  4.800E+02  9.000E+01   8   1.089   15   1.379   0.47050   0.10950   0.07020
  50 120 Sn  0.5   9.108  9.000E+01  2.000E+01   6   2.194   21   2.750   0.03782   0.07650   0.33158
  50 121 Sn  0.0   6.170  1.640E+03  2.000E+02   3   0.664   19   1.441  -0.02223   0.04900  -0.15523
  50 125 Sn  0.0   5.733  5.000E+03  1.200E+03   8   1.072   16   1.892   3.35027   0.85400   1.37000
  51 122 Sb  2.5   6.806  1.300E+01  2.000E+00   2   0.078   17   0.334  -0.28941   0.05650  -0.91747
  51 124 Sb  3.5   6.468  2.400E+01  3.000E+00   8   0.132   15   0.248  -0.40276   0.07250  -1.21139
  52 123 Te  0.0   6.929  1.320E+02  1.500E+01   7   0.533   16   0.887  -0.11598   0.04550   0.57560
  52 124 Te  0.5   9.424  1.700E+01  3.000E+00   7   1.958   15   2.282   0.33763   0.06800   0.66204
  52 125 Te  0.0   6.569  1.900E+02  2.000E+01   2   0.145   15   0.805   0.11362   0.04000  -0.45936
  52 126 Te  0.5   9.114  3.800E+01  5.000E+00   3   1.420   16   2.386   0.30443   0.05100   0.58341
  52 127 Te  0.0   6.288  5.500E+02  1.000E+02   2   0.088   16   0.984   0.09002   0.07450   0.13397
  52 129 Te  0.0   6.082  7.400E+02  1.500E+02   3   0.244   16   0.967   0.37030   0.08900  -0.05522
  52 131 Te  0.0   5.929  1.500E+03  5.000E+02   7   0.943   16   1.470   0.80753   0.23950   0.50826
  53 128 I   2.5   6.826  1.500E+01  3.000E+00   8   0.161   18   0.296  -0.37367   0.07700  -0.80005
  53 130 I   3.5   6.500  3.000E+01  3.000E+00   8   0.080   22   0.265   1.25987   0.29000   1.71869
  54 129 Xe  0.0   6.909  2.500E+02  1.000E+02   5   0.322   21   0.909  -0.02511   0.15900  -0.26797
  54 130 Xe  0.5   9.256  3.800E+01  5.000E+00   8   1.944   21   2.362   0.02713   0.04650   0.95999
  54 131 Xe  0.0   6.605  2.300E+02  6.000E+01   5   0.405   17   1.034   0.32927   0.10350  -0.08815
  54 132 Xe  1.5   8.937  4.900E+01  1.500E+01   5   1.850   17   2.353   0.22282   0.10950   0.50874
  54 133 Xe  0.0   6.434  7.500E+02  2.360E+02   8   0.911   16   1.386   0.45292   0.13950   0.16290
  54 135 Xe  0.0   6.364  1.600E+03  6.000E+02   8   1.565   17   2.093   0.59230   0.20000   0.96951
  54 137 Xe  0.0   4.026  1.300E+04  6.000E+03   6   1.461   15   1.809   2.96189   0.87200   1.09479
  55 134 Cs  3.5   6.892  2.100E+01  2.000E+00   8   0.194   15   0.291   0.00000   0.03700   0.00000
  56 131 Ba  0.0   7.494  5.800E+01  1.000E+01   6   0.365   18   0.895   0.05703   0.06450   0.10242
  56 133 Ba  0.0   7.190  1.100E+02  3.500E+01   4   0.302   17   1.022   0.35662   0.12400   0.04797
  56 135 Ba  0.0   6.972  3.710E+02  3.600E+01   2   0.268   15   1.214   0.16102   0.03700  -0.17548
  56 136 Ba  1.5   9.108  4.000E+01  6.000E+00   4   1.867   19   2.391   0.03417   0.05300   0.71992
  56 137 Ba  0.0   6.906  1.210E+03  1.190E+02   7   1.464   15   2.047   0.35920   0.06150   0.72460
  56 138 Ba  1.5   8.612  2.600E+02  5.000E+01   8   2.340   21   2.991   0.47836   0.10950   1.17687
  56 139 Ba  0.0   4.723  1.870E+04  2.900E+03   5   1.421   15   1.877   0.26746   0.07650   0.44906
  57 139 La  5.0   8.778  3.200E+01  6.000E+00   4   1.257   21   1.856   0.16947   0.06400  -0.19032
  57 140 La  3.5   5.161  2.200E+02  4.000E+01   8   0.163   25   0.831  -0.09326   0.08050  -0.16100
  58 137 Ce  0.0   7.482  5.000E+01  2.000E+01   8   0.867   17   1.337   0.53061   0.17800   0.20314
  58 141 Ce  0.0   5.428  3.100E+03  5.000E+02   6   1.497   19   2.044   0.29683   0.07550   0.77043
  58 142 Ce -3.5   7.170  6.500E+01  2.000E+01   2   1.219   21   2.384   0.31059   0.12350   0.51640
  58 143 Ce  0.0   5.145  1.100E+03  5.000E+02   2   0.042   17   1.298   0.14447   0.22150   0.21045
  59 142 Pr  2.5   5.843  1.100E+02  2.000E+01   8   0.145   24   0.911  -0.24107   0.07500  -0.25515
  60 143 Nd  0.0   6.124  8.600E+02  8.000E+01   8   1.556   23   2.005   0.25098   0.03950   0.44041
  60 144 Nd -3.5   7.817  3.500E+01  5.000E+00   8   2.093   29   2.593  -0.05632   0.05450   0.65061
  60 145 Nd  0.0   5.755  4.500E+02  5.000E+01   8   0.937   21   1.339   0.28780   0.04850   0.32893
  60 146 Nd -3.5   7.565  1.700E+01  3.000E+00   6   1.377   15   1.777  -0.13477   0.06750   0.55321
  60 147 Nd  0.0   5.292  2.900E+02  5.000E+01   4   0.215   20   0.957   0.09056   0.07550  -0.09981
  60 148 Nd -2.5   7.333  3.500E+00  1.700E+00   5   1.023   17   1.600   0.44957   0.20850   0.82426
  60 149 Nd  0.0   5.039  1.550E+02  2.000E+01   2   0.138   15   0.404   0.07680   0.05550  -0.52976
  60 151 Nd  0.0   5.335  1.650E+02  1.500E+01   8   0.250   28   0.766   0.67505   0.14000   0.00301
  61 148 Pm  3.5   5.895  5.200E+00  1.200E+00   8   0.305   18   0.462   0.04300   0.09550  -0.21435
  62 145 Sm  0.0   6.757  6.700E+02  6.000E+01   4   1.436   17   1.877  -0.19899   0.03600   0.23718
  62 148 Sm -3.5   8.141  5.100E+00  5.000E-01   8   1.465   29   2.205  -0.02476   0.03650   0.68377
  62 149 Sm  0.0   5.871  1.000E+02  2.000E+01   7   0.558   19   0.836   0.04588   0.08200  -0.35490
  62 150 Sm -3.5   7.987  2.100E+00  3.000E-01   3   0.773   21   1.765   0.27490   0.05350   0.68532
  62 151 Sm  0.0   5.596  4.600E+01  8.000E+00   5   0.105   16   0.307  -0.07253   0.07450  -0.02339
  62 152 Sm -2.5   8.258  1.040E+00  1.500E-01   5   0.810   17   1.310   0.23722   0.05150   0.24323
  62 153 Sm  0.0   5.868  4.800E+01  5.000E+00   4   0.065   17   0.266  -0.12153   0.04250  -0.34948
  62 155 Sm  0.0   5.807  1.140E+02  1.500E+01   7   0.251   15   0.618   0.14821   0.05600   0.14524
  63 152 Eu  2.5   6.307  7.300E-01  7.000E-02   2   0.065   17   0.149   0.23598   0.03750  -0.52157
  63 153 Eu -3.0   8.550  5.600E-01  1.000E-01   6   0.193   15   0.478  -0.29413   0.06250  -0.02996
  63 154 Eu  2.5   6.442  1.100E+00  2.000E-01   8   0.101   19   0.181   0.13891   0.07100  -0.27956
  63 155 Eu -3.0   8.151  9.200E-01  1.200E-01   8   0.307   16   0.627  -0.08946   0.04700   0.13320
  63 156 Eu  2.5   6.340  4.300E+00  1.500E+00   2   0.048   15   0.260  -0.28458   0.14450  -0.06921
  64 153 Gd  0.0   6.247  1.400E+01  3.000E+00   6   0.135   19   0.321   0.11394   0.08500  -0.45333
  64 155 Gd  0.0   6.435  1.450E+01  1.500E+00   8   0.214   16   0.326  -0.14613   0.04100  -0.07262
  64 156 Gd -1.5   8.536  1.700E+00  2.000E-01   4   0.965   16   1.366  -0.05154   0.04250   0.57500
  64 157 Gd  0.0   6.360  3.000E+01  6.000E+00   5   0.180   15   0.479  -0.28151   0.08150   0.15484
  64 158 Gd -1.5   7.937  4.900E+00  5.000E-01   2   0.261   17   1.372  -0.08187   0.03800   0.31140
  64 159 Gd  0.0   5.943  8.200E+01  6.000E+00   8   0.227   19   0.642  -0.11480   0.03100   0.11628
  64 161 Gd  0.0   5.635  2.000E+02  2.000E+01   8   0.438   23   0.925  -0.04212   0.04400   0.36487
  65 160 Tb  1.5   6.375  4.200E+00  3.000E-01   4   0.079   22   0.279  -0.54696   0.10100   0.05496
  66 157 Dy  0.0   6.969  4.800E+00  1.600E+00   8   0.239   16   0.401   0.41630   0.13150  -0.02188
  66 159 Dy  0.0   6.833  2.200E+01  1.100E+01   6   0.239   27   0.635  -0.01179   0.20850  -0.13323
  66 161 Dy  0.0   6.454  2.700E+01  5.000E+00   8   0.201   20   0.508  -0.38045   0.08000   0.24929
  66 162 Dy  2.5   8.197  2.400E+00  2.000E-01   3   0.549   18   1.391   0.31921   0.04600   0.36681
  66 163 Dy  0.0   6.271  6.200E+01  5.000E+00   3   0.251   16   0.515  -0.16124   0.03150  -0.41713
  66 164 Dy -2.5   7.658  6.800E+00  6.000E-01   3   0.501   15   1.261  -0.07075   0.03300   0.10610
  66 165 Dy  0.0   5.716  1.500E+02  1.000E+01   6   0.186   19   0.605   0.19926   0.02850  -0.07568
  67 166 Ho -3.5   6.244  4.200E+00  5.000E-01   2   0.054   16   0.373  -0.20406   0.04850   0.04796
  68 163 Er  0.0   6.903  8.000E+00  2.000E+00   8   0.199   18   0.462  -0.11384   0.09850   0.10894
  68 165 Er  0.0   6.650  2.100E+01  4.000E+00   3   0.077   19   0.467  -0.25803   0.07400  -0.21073
  68 167 Er  0.0   6.436  3.800E+01  3.000E+00   6   0.295   28   0.763  -0.00979   0.03150  -0.03408
  68 168 Er  3.5   7.771  4.200E+00  3.000E-01   3   0.549   15   1.311   0.12833   0.02700   0.46689
  68 169 Er  0.0   6.003  1.000E+02  1.000E+01   8   0.285   16   0.599   0.07053   0.04150   0.09739
  68 171 Er  0.0   5.682  1.470E+02  2.000E+01   8   0.378   19   0.737   0.20309   0.05850   0.12276
  69 170 Tm  0.5   6.592  8.500E+00  7.000E-01   2   0.115   21   0.440  -0.09459   0.03300   0.04103
  69 171 Tm -1.0   7.486  3.900E+00  1.000E+00   7   0.520   15   0.750   0.06441   0.09800   0.23024
  70 169 Yb  0.0   6.867  8.000E+00  3.000E+00   8   0.264   25   0.722   0.43582   0.15300   0.17697
  70 170 Yb  3.5   8.470  1.600E+00  4.000E-01   6   1.139   19   1.438   0.17579   0.09000   0.27712
  70 171 Yb  0.0   6.614  3.300E+01  6.000E+00   8   0.247   15   0.509   0.00088   0.07300   0.24268
  70 172 Yb -0.5   8.019  5.800E+00  5.000E-01   5   1.043   16   1.376   0.39761   0.06650   0.57450
  70 173 Yb  0.0   6.367  7.000E+01  3.000E+00   2   0.179   16   0.659   0.11763   0.01750   0.02415
  70 174 Yb -2.5   7.465  7.800E+00  9.000E-01   8   1.382   15   1.624   0.58478   0.12050   0.61962
  70 175 Yb  0.0   5.822  1.620E+02  1.800E+01   3   0.268   15   0.742   0.26408   0.04700   0.08936
  70 177 Yb  0.0   5.566  1.850E+02  2.000E+01   3   0.150   16   0.622   0.30740   0.05200   0.12224
  71 176 Lu  3.5   6.288  3.000E+00  4.000E-01   7   0.299   20   0.488  -0.03483   0.05450   0.16044
  71 177 Lu -7.0   7.073  2.750E+00  8.500E-01   7   0.458   20   0.817   0.13272   0.12350   0.35139
  72 175 Hf  0.0   6.709  1.800E+01  5.000E+00   6   0.213   15   0.475  -0.03298   0.11100  -0.00384
  72 177 Hf  0.0   6.383  3.000E+01  7.000E+00   3   0.321   23   0.746   0.11697   0.09450   0.02201
  72 178 Hf -3.5   7.626  2.400E+00  3.000E-01   7   1.199   18   1.434   0.77046   0.16850   0.44798
  72 179 Hf  0.0   6.099  5.700E+01  6.000E+00   3   0.269   21   0.743   0.09352   0.04400   0.25117
  72 180 Hf  4.5   7.388  4.600E+00  3.000E-01   6   1.107   19   1.381   0.11853   0.02500   0.45590
  72 181 Hf  0.0   5.695  9.400E+01  1.500E+01   8   0.329   15   0.762   0.38066   0.08350   0.36001
  73 181 Ta  1.0   7.577  1.200E+00  2.000E-01   8   0.543   20   1.403   0.39274   0.08450   0.98124
  73 182 Ta  3.5   6.063  4.200E+00  3.000E-01   5   0.163   17   0.396  -0.15404   0.03000   0.13355
  73 183 Ta -3.0   6.934  3.500E+00  7.000E-01   2   0.143   15   1.030  -0.16961   0.08050   0.48449
  74 181 W   0.0   6.681  2.000E+01  7.000E+00   2   0.251   18   0.675  -0.01490   0.14400   0.18507
  74 183 W   0.0   6.191  6.000E+01  6.000E+00   7   0.309   16   0.631  -0.12225   0.04200   0.27360
  74 184 W  -0.5   7.412  1.200E+01  1.000E+00   8   1.130   24   1.502   0.29622   0.04150   0.81565
  74 185 W   0.0   5.754  7.000E+01  7.000E+00   8   0.302   29   0.921   0.32084   0.05350   0.31054
  74 187 W   0.0   5.467  8.500E+01  8.000E+00   8   0.366   20   0.852   0.54817   0.11000   0.44832
  75 186 Re  2.5   6.179  3.100E+00  3.000E-01   2   0.099   26   0.501   0.22902   0.03950   0.01853
  75 188 Re  2.5   5.872  4.100E+00  3.000E-01   2   0.064   20   0.343   0.19289   0.03050  -0.00159
  76 187 Os  0.0   6.290  2.900E+01  3.000E+00   7   0.191   16   0.460   0.42092   0.07800   0.05789
  76 188 Os -0.5   7.990  4.000E+00  6.000E-01   8   1.181   29   1.771  -0.59713   0.12600   0.72225
  76 189 Os  0.0   5.920  4.700E+01  6.000E+00   8   0.234   25   0.631  -1.11562   0.25400  -0.08053
  76 190 Os -1.5   7.792  3.400E+00  4.000E-01   8   1.115   25   1.616  -0.49290   0.09500   0.69347
  76 191 Os  0.0   5.759  7.000E+01  1.000E+01   2   0.084   15   0.437  -0.94714   0.21450  -0.40264
  76 193 Os  0.0   5.583  1.150E+02  1.000E+01   8   0.435   15   0.952  -0.10889   0.03900   0.39068
  77 192 Ir  1.5   6.198  2.500E+00  5.000E-01   5   0.072   25   0.226  -0.44311   0.09700  -0.42793
