Energy,Data
3.35E-06,35.5816
3.35E-06,35.5746
3.35E-06,35.5797
3.36E-06,35.6036
3.36E-06,35.6422
3.37E-06,35.8
3.37E-06,35.8375
3.38E-06,36.0616
3.38E-06,36.2789
3.39E-06,36.4006
3.39E-06,36.8384
3.40E-06,36.9328
3.40E-06,37.3921
3.41E-06,37.82
3.41E-06,38.0355
3.42E-06,38.7951
3.42E-06,38.8274
3.43E-06,39.8417
3.43E-06,39.9952
3.43E-06,40.6556
3.44E-06,41.4047
3.44E-06,41.5365
3.44E-06,42.354
3.44E-06,42.4332
3.45E-06,42.599
3.45E-06,43.77
3.45E-06,43.9598
3.46E-06,44.8852
3.46E-06,45.3004
3.46E-06,45.5158
3.46E-06,46.4536
3.47E-06,47.3035
3.47E-06,47.7007
3.47E-06,49.0717
3.47E-06,49.3565
3.48E-06,50.598
3.48E-06,51.7259
3.48E-06,52.2542
3.49E-06,54.0822
3.49E-06,54.4629
3.49E-06,56.126
3.50E-06,57.641
3.50E-06,58.3405
3.50E-06,60.0403
3.50E-06,60.814
3.51E-06,62.6953
3.51E-06,63.5515
3.51E-06,65.6343
3.51E-06,66.5815
3.52E-06,68.8742
3.52E-06,69.0478
3.52E-06,71.735
3.52E-06,72.4754
3.52E-06,74.6279
3.52E-06,76.4463
3.53E-06,77.7258
3.53E-06,80.8059
3.53E-06,81.0376
3.53E-06,81.7539
3.53E-06,84.6234
3.53E-06,85.6096
3.54E-06,88.4515
3.54E-06,90.8458
3.54E-06,91.9562
3.54E-06,92.5126
3.54E-06,96.5349
3.55E-06,98.3388
3.55E-06,104.558
3.55E-06,105.842
3.56E-06,111.205
3.56E-06,117.399
3.56E-06,118.089
3.56E-06,119.506
3.57E-06,128.84
3.57E-06,137.59
3.57E-06,137.59
3.58E-06,148.143
3.58E-06,148.831
3.59E-06,156.525
3.59E-06,157.117
3.59E-06,158.24
3.59E-06,161.624
3.59E-06,163.655
3.60E-06,166.481
3.60E-06,168.09
3.60E-06,170.256
3.60E-06,171.299
3.60E-06,172.28
3.61E-06,173.01
3.61E-06,173.245
3.61E-06,173.574
3.61E-06,174.029
3.61E-06,174.078
3.61E-06,173.774
3.62E-06,173.546
3.62E-06,172.879
3.62E-06,171.833
3.62E-06,171.145
3.62E-06,169.546
3.62E-06,168.606
3.63E-06,166.511
3.63E-06,166.037
3.63E-06,165.324
3.63E-06,162.098
3.63E-06,161.381
3.64E-06,155.374
3.64E-06,155.21
3.64E-06,148.845
3.64E-06,148.667
3.64E-06,147.181
3.65E-06,141.331
3.65E-06,134.469
3.65E-06,129.721
3.66E-06,113.893
3.67E-06,103.691
3.67E-06,100.658
3.67E-06,97.1915
