#  Theoretical Giant Dipole Resonance parameters
#  Z   A El    Eta    E1     W1     E2     W2
#                   [MeV]  [MeV]  [MeV]  [MeV] 
#--------------------------------------------------
  26  75 Fe  1.000  17.44   5.35  17.44   5.35
  26  76 Fe  1.000  17.34   4.93  17.34   4.93
  26  77 Fe  1.103  17.24   4.98  17.24   4.98
  26  78 Fe  1.140  15.80   3.93  17.82   5.78
  26  79 Fe  1.128  15.82   4.07  17.67   6.06
  26  80 Fe  1.134  15.68   4.20  17.60   6.50
  26  81 Fe  1.115  15.77   4.32  17.42   6.60
  26  82 Fe  1.102  16.77   5.48  16.77   5.48
  26  83 Fe  1.041  16.68   5.31  16.68   5.31
  26  84 Fe  1.005  16.59   5.17  16.59   5.17
  26  85 Fe  1.020  16.50   5.14  16.50   5.14
  27  51 Co  1.208  17.20   4.64  20.47   7.82
  27  52 Co  1.242  16.85   4.41  20.56   7.58
  27  53 Co  1.189  17.29   4.46  20.26   7.13
  27  54 Co  1.155  17.56   4.47  20.04   6.82
  27  55 Co  1.122  17.83   4.44  19.82   6.41
  27  56 Co  1.134  17.65   4.42  19.80   6.52
  27  57 Co  1.155  17.38   4.36  19.83   6.56
  27  58 Co  1.128  17.58   4.49  19.63   6.66
  27  59 Co  1.128  17.51   4.51  19.55   6.74
  27  60 Co  1.122  17.50   4.60  19.45   6.88
  27  61 Co  1.134  17.31   4.57  19.42   7.00
  27  62 Co  1.143  17.15   4.62  19.38   7.25
  27  63 Co  1.128  17.22   4.76  19.23   7.45
  27  64 Co  1.128  17.14   4.82  19.15   7.61
  27  65 Co  1.000  18.40   6.97  18.40   6.97
  27  66 Co  1.056  18.32   6.88  18.32   6.88
  27  67 Co  1.000  18.23   7.02  18.23   7.02
  27  68 Co  1.000  18.15   7.42  18.15   7.42
  27  69 Co  1.000  18.06   7.53  18.06   7.53
  27  70 Co  1.140  16.56   4.92  18.67   8.12
  27  71 Co  1.172  16.18   4.69  18.72   7.89
  27  72 Co  1.191  15.94   4.42  18.71   7.40
  27  73 Co  1.149  16.23   4.33  18.44   6.77
  27  74 Co  1.161  16.04   4.11  18.40   6.36
  27  75 Co  1.128  16.26   4.06  18.16   5.93
  27  76 Co  1.101  17.44   4.93  17.44   4.93
  27  77 Co  1.000  17.35   4.70  17.35   4.70
  27  78 Co  1.108  17.26   4.80  17.26   4.80
  27  79 Co  1.122  15.98   3.91  17.76   5.57
  27  80 Co  1.122  15.89   3.99  17.67   5.78
