 Z=  97 A= 208  Bk beta2= 0.41 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
  11.200   8.157976E-06   1.167741E-05
  11.300   6.710400E-06   1.003500E-05
  11.400   5.505944E-06   8.632280E-06
  11.500   4.507412E-06   7.426506E-06
  11.600   3.686323E-06   6.389482E-06
  11.700   3.007331E-06   5.497508E-06
  11.800   2.473939E-06   4.747309E-06
  11.900   2.042652E-06   4.106072E-06
  12.000   1.686552E-06   3.551449E-06
  12.100   1.392532E-06   3.071741E-06
  12.200   1.149769E-06   2.656829E-06
  12.300   9.493271E-07   2.297960E-06
  12.400   7.838289E-07   1.987566E-06
  12.500   6.471823E-07   1.719098E-06
  12.600   5.344365E-07   1.487094E-06
  12.700   4.463029E-07   1.299714E-06
  12.800   3.727035E-07   1.135944E-06
  12.900   3.112412E-07   9.928106E-07
  13.000   2.599147E-07   8.677122E-07
  13.100   2.170523E-07   7.583768E-07
  13.200   1.812584E-07   6.628181E-07
  13.300   1.513672E-07   5.793002E-07
  13.400   1.264054E-07   5.063059E-07
  13.500   1.055600E-07   4.425092E-07
  13.600   8.815214E-08   3.867512E-07
  13.700   7.368702E-08   3.396078E-07
  13.800   6.186310E-08   3.044778E-07
  13.900   5.193647E-08   2.729818E-07
  14.000   4.360267E-08   2.447438E-07
  14.100   3.660612E-08   2.194268E-07
  14.200   3.073226E-08   1.967287E-07
  14.300   2.580092E-08   1.763786E-07
  14.400   2.166087E-08   1.581335E-07
  14.500   1.818513E-08   1.417757E-07
  14.600   1.526712E-08   1.271101E-07
  14.700   1.281734E-08   1.139614E-07
  14.800   1.078463E-08   1.024443E-07
  14.900   9.148322E-09   9.298732E-08
  15.000   7.760287E-09   8.440333E-08
  15.100   6.582852E-09   7.661176E-08
  15.200   5.584065E-09   6.953946E-08
  15.300   4.736819E-09   6.312003E-08
  15.400   4.018122E-09   5.729319E-08
  15.500   3.408470E-09   5.200426E-08
  15.600   2.891318E-09   4.720356E-08
  15.700   2.452631E-09   4.284603E-08
  15.800   2.080504E-09   3.889076E-08
  15.900   1.769599E-09   3.538286E-08
  16.000   1.540497E-09   3.284330E-08
  16.100   1.341055E-09   3.048602E-08
  16.200   1.167435E-09   2.829792E-08
  16.300   1.016292E-09   2.626688E-08
  16.400   8.847175E-10   2.438160E-08
  16.500   7.701771E-10   2.263165E-08
  16.600   6.704657E-10   2.100729E-08
  16.700   5.836635E-10   1.949952E-08
  16.800   5.080992E-10   1.809996E-08
  16.900   4.423178E-10   1.680086E-08
  17.000   3.850529E-10   1.559500E-08
  17.100   3.613366E-10   1.450734E-08
  17.200   3.453441E-10   1.350271E-08
  17.300   3.300594E-10   1.256766E-08
  17.400   3.154513E-10   1.169736E-08
  17.500   3.014896E-10   1.088732E-08
  17.600   2.881460E-10   1.013339E-08
  17.700   2.753928E-10   9.431656E-09
  17.800   2.632042E-10   8.778521E-09
  17.900   2.515550E-10   8.170614E-09
  18.000   2.404213E-10   7.604805E-09
  18.100   2.297805E-10   7.078178E-09
  18.200   2.207855E-10   6.600510E-09
  18.300   2.155844E-10   6.190342E-09
  18.400   2.105059E-10   5.805662E-09
  18.500   2.055469E-10   5.444887E-09
  18.600   2.007048E-10   5.106531E-09
  18.700   1.959768E-10   4.789202E-09
  18.800   1.913601E-10   4.491591E-09
  18.900   1.868522E-10   4.212475E-09
  19.000   1.824505E-10   3.950704E-09
  19.100   1.781524E-10   3.705200E-09
  19.200   1.739557E-10   3.474952E-09
  19.300   1.698577E-10   3.259011E-09
  19.400   1.719750E-10   3.070686E-09
  19.500   1.861812E-10   2.918140E-09
  19.600   2.015609E-10   2.773172E-09
  19.700   2.182111E-10   2.635406E-09
  19.800   2.362367E-10   2.504484E-09
  19.900   2.557513E-10   2.380066E-09
 Z=  97 A= 210  Bk beta2= 0.38 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.800959E-02   6.525965E-02
   0.100   7.794686E-02   6.509012E-02
   0.200   7.788417E-02   6.492103E-02
   0.300   7.782154E-02   6.475238E-02
   0.400   7.772588E-02   6.449775E-02
   0.500   7.760601E-02   6.418083E-02
   0.600   7.745596E-02   6.378714E-02
   0.700   7.729561E-02   6.336868E-02
   0.800   7.713135E-02   6.294303E-02
   0.900   7.695362E-02   6.248793E-02
   1.000   7.678480E-02   6.205463E-02
   1.100   7.662912E-02   6.165203E-02
   1.200   7.647376E-02   6.125204E-02
   1.300   7.637480E-02   6.096836E-02
   1.400   7.628886E-02   6.071088E-02
   1.500   7.630402E-02   6.063862E-02
   1.600   7.631918E-02   6.056645E-02
   1.700   7.640713E-02   6.061301E-02
   1.800   7.655485E-02   6.075692E-02
   1.900   7.679684E-02   6.103611E-02
   2.000   7.707722E-02   6.137070E-02
   2.100   7.737993E-02   6.173366E-02
   2.200   7.776536E-02   6.220050E-02
   2.300   7.817098E-02   6.268673E-02
   2.400   7.860961E-02   6.320365E-02
   2.500   7.905071E-02   6.372484E-02
   2.600   7.948701E-02   6.422520E-02
   2.700   7.992254E-02   6.472284E-02
   2.800   8.029583E-02   6.513854E-02
   2.900   8.067087E-02   6.555691E-02
   3.000   8.099161E-02   6.591728E-02
   3.100   8.126255E-02   6.622424E-02
   3.200   8.144304E-02   6.645048E-02
   3.300   8.158263E-02   6.664031E-02
   3.400   8.169829E-02   6.681324E-02
   3.500   8.170537E-02   6.690803E-02
   3.600   8.167506E-02   6.698605E-02
   3.700   8.157445E-02   6.703233E-02
   3.800   8.147397E-02   6.707863E-02
   3.900   8.131899E-02   6.712861E-02
   4.000   8.115395E-02   6.717962E-02
   4.100   8.097976E-02   6.728361E-02
   4.200   8.080594E-02   6.738776E-02
   4.300   8.064413E-02   6.752633E-02
   4.400   8.049428E-02   6.769966E-02
   4.500   8.035700E-02   6.789613E-02
   4.600   8.022614E-02   6.810469E-02
   4.700   8.009190E-02   6.830950E-02
   4.800   7.993854E-02   6.849133E-02
   4.900   7.973295E-02   6.861160E-02
   5.000   7.944840E-02   6.864345E-02
   5.100   7.911403E-02   6.861874E-02
   5.200   7.861789E-02   6.841869E-02
   5.300   7.801218E-02   6.810064E-02
   5.400   7.717634E-02   6.754536E-02
   5.500   7.612914E-02   6.677591E-02
   5.600   7.495879E-02   6.587883E-02
   5.700   7.345822E-02   6.465522E-02
   5.800   7.177365E-02   6.324857E-02
   5.900   6.972632E-02   6.149189E-02
   6.000   6.739921E-02   5.946627E-02
   6.100   6.494486E-02   5.731495E-02
   6.200   6.209808E-02   5.479368E-02
   6.300   5.909624E-02   5.212573E-02
   6.400   5.574805E-02   4.913580E-02
   6.500   5.220257E-02   4.596534E-02
   6.600   4.865646E-02   4.279422E-02
   6.700   4.486147E-02   3.939936E-02
   6.800   4.109696E-02   3.603576E-02
   6.900   3.721522E-02   3.257189E-02
   7.000   3.339075E-02   2.916653E-02
   7.100   2.978721E-02   2.596496E-02
   7.200   2.623646E-02   2.281863E-02
   7.300   2.294100E-02   1.990691E-02
   7.400   1.981240E-02   1.715147E-02
   7.500   1.695351E-02   1.464266E-02
   7.600   1.442436E-02   1.242999E-02
   7.700   1.213096E-02   1.043092E-02
   7.800   1.013886E-02   8.699979E-03
   7.900   8.391306E-03   7.187531E-03
   8.000   6.900965E-03   5.902138E-03
   8.100   5.653268E-03   4.828702E-03
   8.200   4.600318E-03   3.926320E-03
   8.300   3.731818E-03   3.183836E-03
   8.400   3.015292E-03   2.573388E-03
   8.500   2.432148E-03   2.077695E-03
   8.600   1.959814E-03   1.676458E-03
   8.700   1.578116E-03   1.353063E-03
   8.800   1.270687E-03   1.092516E-03
   8.900   1.023835E-03   8.836100E-04
   9.000   8.255174E-04   7.156805E-04
   9.100   6.659039E-04   5.801809E-04
   9.200   5.376189E-04   4.711980E-04
   9.300   4.341706E-04   3.830003E-04
   9.400   3.507534E-04   3.117161E-04
   9.500   2.833508E-04   2.538833E-04
   9.600   2.288893E-04   2.068694E-04
   9.700   1.848449E-04   1.687177E-04
   9.800   1.492585E-04   1.376760E-04
   9.900   1.205507E-04   1.125410E-04
  10.000   9.743597E-05   9.217750E-05
