 Z=  96 A= 206  Cm beta2= 0.39 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   8.300   3.541654E-03   3.008587E-03
   8.400   2.859799E-03   2.429935E-03
   8.500   2.304811E-03   1.960305E-03
   8.600   1.856512E-03   1.581045E-03
   8.700   1.494349E-03   1.275498E-03
   8.800   1.202981E-03   1.029887E-03
   8.900   9.690959E-04   8.326953E-04
   9.000   7.813428E-04   6.744638E-04
   9.100   6.301563E-04   5.466524E-04
   9.200   5.086520E-04   4.438637E-04
   9.300   4.106830E-04   3.607419E-04
   9.400   3.316752E-04   2.934930E-04
   9.500   2.678369E-04   2.389788E-04
   9.600   2.162747E-04   1.946513E-04
   9.700   1.746046E-04   1.586986E-04
   9.800   1.409477E-04   1.294958E-04
   9.900   1.138175E-04   1.058247E-04
  10.000   9.200097E-05   8.670469E-05
  10.100   7.440328E-05   7.111888E-05
  10.200   6.030329E-05   5.858091E-05
  10.300   4.897370E-05   4.842658E-05
  10.400   3.988942E-05   4.023150E-05
  10.500   3.260503E-05   3.362384E-05
  10.600   2.668535E-05   2.816435E-05
  10.700   2.192205E-05   2.375024E-05
  10.800   1.804332E-05   2.010920E-05
  10.900   1.487906E-05   1.710265E-05
  11.000   1.227764E-05   1.459913E-05
  11.100   1.013153E-05   1.247687E-05
  11.200   8.352765E-06   1.069018E-05
  11.300   6.876079E-06   9.166885E-06
  11.400   5.649118E-06   7.865730E-06
  11.500   4.629646E-06   6.750020E-06
  11.600   3.790996E-06   5.792781E-06
  11.700   3.098076E-06   4.971710E-06
  11.800   2.556158E-06   4.287394E-06
  11.900   2.114023E-06   3.701619E-06
  12.000   1.748363E-06   3.195877E-06
  12.100   1.445951E-06   2.759234E-06
  12.200   1.195847E-06   2.382247E-06
  12.300   9.890026E-07   2.056768E-06
  12.400   8.179361E-07   1.775757E-06
  12.500   6.764588E-07   1.533141E-06
  12.600   5.602207E-07   1.325374E-06
  12.700   4.683525E-07   1.155929E-06
