 Z=  57 A= 112  La beta2= 0.27 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
  12.800   2.049693E-08   2.953620E-07
  12.900   1.730025E-08   2.478430E-07
  13.000   1.460212E-08   2.079690E-07
  13.100   1.232479E-08   1.745101E-07
  13.200   1.040263E-08   1.464342E-07
  13.300   8.610359E-09   1.196281E-07
  13.400   7.064299E-09   9.655472E-08
  13.500   5.795846E-09   7.793165E-08
  13.600   4.755155E-09   6.290052E-08
  13.700   3.901328E-09   5.076854E-08
  13.800   3.200813E-09   4.097652E-08
  13.900   2.626080E-09   3.307314E-08
  14.000   2.154546E-09   2.669413E-08
  14.100   1.767680E-09   2.154548E-08
  14.200   1.450279E-09   1.738988E-08
  14.300   1.246203E-09   1.684277E-08
  14.400   1.096669E-09   1.791919E-08
  14.500   9.650782E-10   1.906441E-08
  14.600   8.492769E-10   2.028281E-08
  14.700   7.473707E-10   2.157909E-08
  14.800   6.576925E-10   2.295821E-08
  14.900   5.787749E-10   2.442547E-08
  15.000   5.093267E-10   2.598650E-08
  15.100   4.482117E-10   2.764729E-08
  15.200   3.944301E-10   2.941423E-08
  15.300   3.297373E-10   3.114566E-08
  15.400   2.596010E-10   3.279619E-08
  15.500   2.043829E-10   3.453418E-08
  15.600   1.609099E-10   3.636427E-08
  15.700   1.266837E-10   3.829135E-08
  15.800   9.973763E-11   4.032055E-08
  15.900   7.852307E-11   4.245729E-08
  16.000   6.182092E-11   4.470726E-08
  16.100   4.867138E-11   4.707646E-08
  16.200   3.831879E-11   4.957122E-08
  16.300   3.043072E-11   5.211812E-08
  16.400   3.140661E-11   5.230976E-08
  16.500   3.241379E-11   5.250210E-08
  16.600   3.345327E-11   5.269515E-08
  16.700   3.452609E-11   5.288891E-08
  16.800   3.563331E-11   5.308338E-08
  16.900   3.677604E-11   5.327857E-08
  17.000   3.795541E-11   5.347448E-08
  17.100   3.917261E-11   5.367110E-08
  17.200   4.042884E-11   5.386845E-08
  17.300   4.172535E-11   5.406652E-08
  17.400   4.298041E-11   5.333323E-08
  17.500   4.406750E-11   5.045579E-08
  17.600   4.518209E-11   4.773359E-08
  17.700   4.632487E-11   4.515826E-08
  17.800   4.749655E-11   4.272187E-08
  17.900   4.869787E-11   4.041693E-08
  18.000   4.992957E-11   3.823635E-08
  18.100   5.119243E-11   3.617342E-08
  18.200   5.248722E-11   3.422178E-08
  18.300   5.381477E-11   3.237544E-08
  18.400   5.517589E-11   3.062872E-08
  18.500   5.683649E-11   2.858010E-08
  18.600   6.032706E-11   2.441714E-08
  18.700   6.403200E-11   2.086056E-08
  18.800   6.796448E-11   1.782202E-08
  18.900   7.213847E-11   1.522608E-08
  19.000   7.656880E-11   1.300826E-08
  19.100   8.127122E-11   1.111348E-08
  19.200   8.626243E-11   9.494699E-09
  19.300   9.156017E-11   8.111707E-09
  19.400   9.718327E-11   6.930161E-09
  19.500   1.031517E-10   5.920718E-09
  19.600   1.094867E-10   5.058310E-09
  19.700   1.061772E-10   4.129854E-09
  19.800   8.971981E-11   3.146397E-09
  19.900   7.581330E-11   2.397134E-09
 Z=  57 A= 114  La beta2= 0.30 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.214841E-02   6.582445E-02
   0.100   7.238097E-02   6.603924E-02
   0.200   7.261428E-02   6.625472E-02
   0.300   7.294758E-02   6.656402E-02
   0.400   7.341381E-02   6.699817E-02
   0.500   7.403239E-02   6.757631E-02
   0.600   7.468580E-02   6.818873E-02
   0.700   7.542832E-02   6.888920E-02
   0.800   7.621942E-02   6.964356E-02
   0.900   7.702201E-02   7.041070E-02
   1.000   7.781601E-02   7.118180E-02
   1.100   7.856279E-02   7.191892E-02
   1.200   7.929290E-02   7.264540E-02
   1.300   7.992328E-02   7.329268E-02
   1.400   8.046243E-02   7.386487E-02
   1.500   8.092590E-02   7.437429E-02
   1.600   8.128157E-02   7.479385E-02
   1.700   8.152865E-02   7.512185E-02
   1.800   8.165606E-02   7.534746E-02
   1.900   8.171545E-02   7.551584E-02
   2.000   8.167621E-02   7.560073E-02
   2.100   8.151843E-02   7.558507E-02
   2.200   8.133842E-02   7.555101E-02
   2.300   8.108311E-02   7.545508E-02
   2.400   8.077724E-02   7.531782E-02
   2.500   8.046464E-02   7.517454E-02
   2.600   8.013085E-02   7.501729E-02
   2.700   7.980737E-02   7.487053E-02
   2.800   7.948964E-02   7.472913E-02
   2.900   7.920102E-02   7.461635E-02
   3.000   7.893948E-02   7.452893E-02
   3.100   7.870193E-02   7.446359E-02
   3.200   7.848234E-02   7.441601E-02
   3.300   7.827182E-02   7.437820E-02
   3.400   7.805412E-02   7.433554E-02
   3.500   7.781512E-02   7.427439E-02
   3.600   7.751085E-02   7.415598E-02
   3.700   7.713956E-02   7.397697E-02
   3.800   7.660855E-02   7.365305E-02
   3.900   7.599049E-02   7.324824E-02
   4.000   7.521310E-02   7.269597E-02
   4.100   7.417653E-02   7.190068E-02
   4.200   7.298348E-02   7.095534E-02
   4.300   7.145344E-02   6.968850E-02
   4.400   6.979165E-02   6.829053E-02
   4.500   6.787902E-02   6.664798E-02
   4.600   6.560508E-02   6.465358E-02
   4.700   6.316225E-02   6.248581E-02
   4.800   6.033063E-02   5.993282E-02
   4.900   5.741923E-02   5.728695E-02
   5.000   5.429387E-02   5.441823E-02
   5.100   5.086285E-02   5.123521E-02
   5.200   4.737996E-02   4.797912E-02
   5.300   4.364158E-02   4.445185E-02
   5.400   4.000114E-02   4.099311E-02
   5.500   3.634056E-02   3.748793E-02
   5.600   3.261732E-02   3.389316E-02
   5.700   2.906667E-02   3.043825E-02
   5.800   2.555432E-02   2.699323E-02
   5.900   2.234195E-02   2.381585E-02
   6.000   1.933934E-02   2.081996E-02
   6.100   1.652942E-02   1.799124E-02
   6.200   1.402753E-02   1.544792E-02
   6.300   1.175721E-02   1.311741E-02
   6.400   9.808819E-03   1.109340E-02
   6.500   8.115993E-03   9.314187E-03
   6.600   6.653653E-03   7.759766E-03
   6.700   5.428702E-03   6.439150E-03
   6.800   4.397438E-03   5.313072E-03
   6.900   3.554240E-03   4.376988E-03
   7.000   2.861629E-03   3.595896E-03
   7.100   2.296596E-03   2.948779E-03
   7.200   1.840418E-03   2.416461E-03
   7.300   1.472981E-03   1.980514E-03
   7.400   1.178735E-03   1.623905E-03
   7.500   9.430612E-04   1.332578E-03
   7.600   7.546500E-04   1.095274E-03
   7.700   6.038606E-04   9.009732E-04
   7.800   4.834575E-04   7.427613E-04
   7.900   3.871153E-04   6.128688E-04
   8.000   3.100541E-04   5.064985E-04
   8.100   2.484352E-04   4.195060E-04
   8.200   1.990742E-04   3.478357E-04
   8.300   1.596716E-04   2.892021E-04
   8.400   1.281380E-04   2.407422E-04
   8.500   1.029385E-04   2.008429E-04
   8.600   8.286466E-05   1.680925E-04
   8.700   6.677769E-05   1.409306E-04
   8.800   5.397307E-05   1.186141E-04
   8.900   4.367582E-05   9.998446E-05
   9.000   3.541924E-05   8.451455E-05
   9.100   2.879408E-05   7.169145E-05
   9.200   2.342857E-05   6.091850E-05
   9.300   1.909346E-05   5.194612E-05
   9.400   1.556333E-05   4.435242E-05
   9.500   1.268974E-05   3.795694E-05
   9.600   1.034399E-05   3.257766E-05
   9.700   8.428126E-06   2.800116E-05
   9.800   6.864387E-06   2.414352E-05
   9.900   5.591054E-06   2.084290E-05
  10.000   4.554610E-06   1.803336E-05
  10.100   3.715307E-06   1.564544E-05
  10.200   3.033744E-06   1.359102E-05
  10.300   2.485754E-06   1.183356E-05
  10.400   2.040325E-06   1.030878E-05
  10.500   1.680585E-06   8.985155E-06
  10.600   1.394495E-06   7.794518E-06
  10.700   1.157106E-06   6.761654E-06
  10.800   9.601292E-07   5.865657E-06
  10.900   7.966839E-07   5.088390E-06
  11.000   6.610624E-07   4.414119E-06
  11.100   5.485280E-07   3.829198E-06
  11.200   4.551507E-07   3.321785E-06
  11.300   3.771831E-07   2.874469E-06
  11.400   3.108599E-07   2.461219E-06
  11.500   2.561988E-07   2.107380E-06
  11.600   2.111492E-07   1.804411E-06
  11.700   1.740211E-07   1.544999E-06
  11.800   1.434215E-07   1.322881E-06
  11.900   1.182026E-07   1.132696E-06
  12.000   9.741802E-08   9.698533E-07
  12.100   8.028820E-08   8.304217E-07
  12.200   6.617046E-08   7.110356E-07
  12.300   5.508481E-08   6.030807E-07
  12.400   4.654557E-08   5.043684E-07
  12.500   3.933008E-08   4.218133E-07
  12.600   3.323313E-08   3.527709E-07
  12.700   2.808133E-08   2.950293E-07
  12.800   2.372816E-08   2.467389E-07
  12.900   2.004982E-08   2.063526E-07
  13.000   1.694170E-08   1.725768E-07
  13.100   1.431540E-08   1.443294E-07
  13.200   1.209623E-08   1.207056E-07
  13.300   1.007474E-08   9.992272E-08
  13.400   8.264084E-09   8.182954E-08
  13.500   6.778841E-09   6.701253E-08
  13.600   5.560531E-09   5.487845E-08
  13.700   4.561178E-09   4.494152E-08
  13.800   3.741431E-09   3.680388E-08
  13.900   3.069012E-09   3.013974E-08
  14.000   2.517441E-09   2.468229E-08
  14.100   2.065000E-09   2.021302E-08
  14.200   1.693873E-09   1.655301E-08
  14.300   1.434325E-09   1.524363E-08
  14.400   1.264076E-09   1.626973E-08
  14.500   1.114035E-09   1.736489E-08
  14.600   9.818026E-10   1.853378E-08
  14.700   8.652662E-10   1.978135E-08
  14.800   7.625622E-10   2.111289E-08
  14.900   6.720488E-10   2.253407E-08
  15.000   5.922790E-10   2.405090E-08
  15.100   5.219776E-10   2.566985E-08
  15.200   4.600207E-10   2.739777E-08
  15.300   3.945605E-10   2.910680E-08
  15.400   3.088571E-10   3.044372E-08
  15.500   2.417695E-10   3.184204E-08
  15.600   1.892542E-10   3.330460E-08
  15.700   1.481458E-10   3.483433E-08
  15.800   1.159667E-10   3.643432E-08
  15.900   9.077728E-11   3.810781E-08
  16.000   7.105933E-11   3.985816E-08
  16.100   5.562436E-11   4.168891E-08
  16.200   4.354206E-11   4.360374E-08
  16.300   3.408418E-11   4.560653E-08
  16.400   3.318665E-11   4.605483E-08
  16.500   3.430278E-11   4.606227E-08
  16.600   3.545643E-11   4.606970E-08
  16.700   3.664889E-11   4.607714E-08
  16.800   3.788146E-11   4.608458E-08
  16.900   3.915547E-11   4.609201E-08
  17.000   4.047234E-11   4.609945E-08
  17.100   4.183349E-11   4.610689E-08
  17.200   4.324042E-11   4.611434E-08
  17.300   4.469467E-11   4.612178E-08
  17.400   4.618897E-11   4.604971E-08
  17.500   4.743830E-11   4.348333E-08
  17.600   4.872142E-11   4.105998E-08
  17.700   5.003925E-11   3.877168E-08
  17.800   5.139272E-11   3.661091E-08
  17.900   5.278280E-11   3.457056E-08
  18.000   5.421049E-11   3.264392E-08
  18.100   5.567678E-11   3.082465E-08
  18.200   5.718274E-11   2.910678E-08
  18.300   5.872944E-11   2.748464E-08
  18.400   6.031796E-11   2.595290E-08
  18.500   6.194946E-11   2.450653E-08
  18.600   6.514918E-11   2.124497E-08
  18.700   6.878755E-11   1.815456E-08
  18.800   7.262911E-11   1.551369E-08
  18.900   7.668521E-11   1.325699E-08
  19.000   8.096782E-11   1.132855E-08
  19.100   8.548961E-11   9.680636E-09
  19.200   9.026393E-11   8.272437E-09
  19.300   9.530488E-11   7.069082E-09
  19.400   1.006273E-10   6.040774E-09
  19.500   1.062470E-10   5.162049E-09
  19.600   1.121806E-10   4.411148E-09
  19.700   1.158385E-10   3.727771E-09
  19.800   9.768323E-11   2.846887E-09
  19.900   8.237342E-11   2.174158E-09
 Z=  57 A= 115  La beta2= 0.33 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.324355E-02   6.554334E-02
   0.100   7.346164E-02   6.576028E-02
   0.200   7.368039E-02   6.597794E-02
   0.300   7.399108E-02   6.628802E-02
   0.400   7.442693E-02   6.672378E-02
   0.500   7.501036E-02   6.730597E-02
   0.600   7.562471E-02   6.791961E-02
   0.700   7.632919E-02   6.862413E-02
   0.800   7.708252E-02   6.937949E-02
   0.900   7.784916E-02   7.014928E-02
   1.000   7.861298E-02   7.092101E-02
   1.100   7.933820E-02   7.165936E-02
   1.200   8.004551E-02   7.238302E-02
   1.300   8.066879E-02   7.303000E-02
   1.400   8.120901E-02   7.360222E-02
   1.500   8.166815E-02   7.410169E-02
   1.600   8.203556E-02   7.451840E-02
   1.700   8.229910E-02   7.484203E-02
   1.800   8.243238E-02   7.505104E-02
   1.900   8.251152E-02   7.521329E-02
   2.000   8.249021E-02   7.528825E-02
   2.100   8.233712E-02   7.525440E-02
   2.200   8.216953E-02   7.520890E-02
   2.300   8.191251E-02   7.509289E-02
   2.400   8.160514E-02   7.494240E-02
   2.500   8.128352E-02   7.478176E-02
   2.600   8.093368E-02   7.461025E-02
   2.700   8.058412E-02   7.444852E-02
   2.800   8.023752E-02   7.429587E-02
   2.900   7.991046E-02   7.416983E-02
   3.000   7.960472E-02   7.407044E-02
   3.100   7.932451E-02   7.400108E-02
   3.200   7.905739E-02   7.394693E-02
   3.300   7.880412E-02   7.390984E-02
   3.400   7.854362E-02   7.386952E-02
   3.500   7.827148E-02   7.381819E-02
   3.600   7.794362E-02   7.371581E-02
   3.700   7.755234E-02   7.355237E-02
   3.800   7.700959E-02   7.324620E-02
   3.900   7.640648E-02   7.288056E-02
   4.000   7.562586E-02   7.234317E-02
   4.100   7.463303E-02   7.160060E-02
   4.200   7.346307E-02   7.068501E-02
   4.300   7.196488E-02   6.945149E-02
   4.400   7.037249E-02   6.812058E-02
   4.500   6.848166E-02   6.649627E-02
   4.600   6.629294E-02   6.457786E-02
