 Z= 106 A= 234  Sg beta2= 0.00 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
  13.200   8.015086E-07   4.327338E-07
  13.300   6.897242E-07   3.702598E-07
  13.400   5.935301E-07   3.168053E-07
  13.500   5.107519E-07   2.710680E-07
  13.600   4.395186E-07   2.319338E-07
  13.700   3.782200E-07   1.984494E-07
  13.800   3.254706E-07   1.697992E-07
  13.900   2.800780E-07   1.452853E-07
  14.000   2.410162E-07   1.243104E-07
  14.100   2.067430E-07   1.067015E-07
  14.200   1.761586E-07   9.220044E-08
  14.300   1.500987E-07   7.967015E-08
  14.400   1.278940E-07   6.884277E-08
  14.500   1.089741E-07   5.948685E-08
  14.600   9.285306E-08   5.140243E-08
  14.700   7.911690E-08   4.441670E-08
  14.800   6.741280E-08   3.838035E-08
  14.900   5.744013E-08   3.316436E-08
  15.000   4.894276E-08   2.865723E-08
  15.100   4.170245E-08   2.476264E-08
  15.200   3.566579E-08   2.144627E-08
  15.300   3.181926E-08   1.906179E-08
  15.400   2.838758E-08   1.694243E-08
  15.500   2.532600E-08   1.505870E-08
  15.600   2.259462E-08   1.338442E-08
  15.700   2.015781E-08   1.189629E-08
  15.800   1.798380E-08   1.057361E-08
  15.900   1.604427E-08   9.397996E-09
  16.000   1.431390E-08   8.353091E-09
  16.100   1.277016E-08   7.424362E-09
  16.200   1.139291E-08   6.598893E-09
  16.300   1.016420E-08   5.865202E-09
  16.400   8.910984E-09   5.230727E-09
  16.500   7.752636E-09   4.671808E-09
  16.600   6.744862E-09   4.172612E-09
  16.700   5.868090E-09   3.726756E-09
  16.800   5.105291E-09   3.328541E-09
  16.900   4.441649E-09   2.972876E-09
  17.000   3.864274E-09   2.655216E-09
  17.100   3.361953E-09   2.371498E-09
  17.200   2.924929E-09   2.118096E-09
  17.300   2.544715E-09   1.891771E-09
  17.400   2.213925E-09   1.689630E-09
  17.500   1.944550E-09   1.521308E-09
  17.600   1.836405E-09   1.456582E-09
  17.700   1.734274E-09   1.394610E-09
  17.800   1.637823E-09   1.335274E-09
  17.900   1.546736E-09   1.278463E-09
  18.000   1.460715E-09   1.224069E-09
  18.100   1.379478E-09   1.171989E-09
  18.200   1.302759E-09   1.122125E-09
  18.300   1.230307E-09   1.074383E-09
  18.400   1.161884E-09   1.028672E-09
  18.500   1.097266E-09   9.849057E-10
  18.600   1.036242E-09   9.430015E-10
  18.700   9.791588E-10   8.911049E-10
  18.800   9.265763E-10   8.135600E-10
  18.900   8.768175E-10   7.427631E-10
  19.000   8.297309E-10   6.781271E-10
  19.100   7.851729E-10   6.191157E-10
  19.200   7.430077E-10   5.652396E-10
  19.300   7.031069E-10   5.160518E-10
  19.400   6.653488E-10   4.711445E-10
  19.500   6.296184E-10   4.301450E-10
  19.600   5.958068E-10   3.927133E-10
  19.700   5.638109E-10   3.585389E-10
  19.800   5.335333E-10   3.273385E-10
  19.900   5.110650E-10   3.037501E-10
 Z= 106 A= 243  Sg beta2= 0.35 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.668118E-02   6.079543E-02
   0.100   7.696308E-02   6.064428E-02
   0.200   7.724602E-02   6.049351E-02
   0.300   7.753000E-02   6.034311E-02
   0.400   7.788932E-02   6.014922E-02
   0.500   7.840003E-02   5.986848E-02
   0.600   7.895225E-02   5.955691E-02
   0.700   7.957413E-02   5.919236E-02
   0.800   8.020091E-02   5.883003E-02
   0.900   8.081901E-02   5.845054E-02
   1.000   8.143553E-02   5.806461E-02
   1.100   8.195559E-02   5.771997E-02
   1.200   8.243941E-02   5.739237E-02
   1.300   8.291893E-02   5.707106E-02
   1.400   8.320312E-02   5.687320E-02
   1.500   8.347328E-02   5.668939E-02
   1.600   8.354772E-02   5.668082E-02
   1.700   8.362222E-02   5.667226E-02
   1.800   8.363377E-02   5.674324E-02
   1.900   8.354517E-02   5.694124E-02
   2.000   8.342514E-02   5.721487E-02
   2.100   8.326219E-02   5.759310E-02
   2.200   8.309956E-02   5.797383E-02
   2.300   8.294571E-02   5.844386E-02
   2.400   8.279514E-02   5.894878E-02
   2.500   8.270854E-02   5.948253E-02
   2.600   8.264073E-02   6.002838E-02
   2.700   8.258294E-02   6.057552E-02
   2.800   8.262720E-02   6.108933E-02
   2.900   8.268421E-02   6.159503E-02
   3.000   8.283119E-02   6.201620E-02
   3.100   8.297843E-02   6.244026E-02
   3.200   8.315196E-02   6.281041E-02
   3.300   8.335906E-02   6.311009E-02
   3.400   8.356243E-02   6.334952E-02
   3.500   8.376159E-02   6.352148E-02
   3.600   8.396122E-02   6.369390E-02
   3.700   8.410636E-02   6.378471E-02
   3.800   8.423721E-02   6.385395E-02
   3.900   8.427600E-02   6.388231E-02
   4.000   8.429537E-02   6.390205E-02
   4.100   8.429862E-02   6.392333E-02
   4.200   8.420443E-02   6.395386E-02
   4.300   8.409619E-02   6.399624E-02
   4.400   8.392233E-02   6.409376E-02
   4.500   8.374883E-02   6.419143E-02
   4.600   8.355694E-02   6.432963E-02
   4.700   8.334626E-02   6.450979E-02
   4.800   8.312645E-02   6.471259E-02
   4.900   8.289861E-02   6.493590E-02
   5.000   8.267139E-02   6.515997E-02
   5.100   8.241626E-02   6.535861E-02
   5.200   8.213000E-02   6.551607E-02
   5.300   8.179767E-02   6.560965E-02
   5.400   8.138502E-02   6.559377E-02
   5.500   8.089535E-02   6.547919E-02
   5.600   8.030523E-02   6.523717E-02
   5.700   7.952709E-02   6.477342E-02
   5.800   7.861196E-02   6.415469E-02
   5.900   7.747025E-02   6.328837E-02
   6.000   7.616004E-02   6.224577E-02
   6.100   7.464104E-02   6.098753E-02
   6.200   7.278310E-02   5.939509E-02
   6.300   7.072152E-02   5.760703E-02
   6.400   6.833330E-02   5.551238E-02
   6.500   6.575180E-02   5.324322E-02
   6.600   6.293796E-02   5.076677E-02
   6.700   5.975903E-02   4.797060E-02
   6.800   5.643520E-02   4.505827E-02
   6.900   5.285092E-02   4.193257E-02
   7.000   4.920347E-02   3.877136E-02
   7.100   4.547256E-02   3.556005E-02
   7.200   4.157158E-02   3.223009E-02
   7.300   3.774383E-02   2.899229E-02
   7.400   3.391242E-02   2.578262E-02
   7.500   3.025953E-02   2.275527E-02
   7.600   2.677046E-02   1.989668E-02
   7.700   2.340390E-02   1.717220E-02
   7.800   2.031502E-02   1.470516E-02
   7.900   1.745084E-02   1.244954E-02
   8.000   1.489466E-02   1.046655E-02
   8.100   1.261458E-02   8.725149E-03
   8.200   1.057913E-02   7.195765E-03
   8.300   8.824511E-03   5.899961E-03
   8.400   7.307204E-03   4.799233E-03
   8.500   6.027751E-03   3.887972E-03
   8.600   4.950092E-03   3.134769E-03
   8.700   4.046685E-03   2.515739E-03
   8.800   3.302067E-03   2.015318E-03
   8.900   2.689029E-03   1.611439E-03
   9.000   2.188887E-03   1.288201E-03
   9.100   1.781077E-03   1.029700E-03
   9.200   1.449977E-03   8.239453E-04
   9.300   1.181310E-03   6.599437E-04
   9.400   9.635699E-04   5.294013E-04
   9.500   7.865875E-04   4.250697E-04
   9.600   6.426988E-04   3.416529E-04
   9.700   5.256261E-04   2.748623E-04
   9.800   4.300614E-04   2.212046E-04
   9.900   3.519867E-04   1.780480E-04
  10.000   2.880866E-04   1.433028E-04
  10.100   2.357798E-04   1.153280E-04
  10.200   1.929616E-04   9.282851E-05
  10.300   1.579515E-04   7.476511E-05
  10.400   1.293560E-04   6.030095E-05
  10.500   1.060207E-04   4.872508E-05
  10.600   8.698964E-05   3.946989E-05
  10.700   7.155439E-05   3.213876E-05
  10.800   5.897975E-05   2.627403E-05
  10.900   4.877870E-05   2.161776E-05
  11.000   4.044084E-05   1.786671E-05
  11.100   3.362797E-05   1.484699E-05
  11.200   2.807274E-05   1.242308E-05
  11.300   2.348458E-05   1.043166E-05
  11.400   1.969497E-05   8.795573E-06
  11.500   1.653037E-05   7.425853E-06
  11.600   1.388517E-05   6.277367E-06
  11.700   1.165965E-05   5.303884E-06
  11.800   9.783557E-06   4.476318E-06
  11.900   8.195901E-06   3.768797E-06
  12.000   6.856993E-06   3.167209E-06
  12.100   5.733838E-06   2.658368E-06
  12.200   4.807845E-06   2.235933E-06
  12.300   4.031396E-06   1.880625E-06
  12.400   3.380341E-06   1.581779E-06
  12.500   2.834429E-06   1.330422E-06
  12.600   2.376679E-06   1.119007E-06
  12.700   1.992855E-06   9.411881E-07
  12.800   1.671016E-06   7.916258E-07
  12.900   1.401153E-06   6.658302E-07
  13.000   1.185158E-06   5.628022E-07
  13.100   1.021641E-06   4.808625E-07
  13.200   8.806849E-07   4.108525E-07
  13.300   7.591765E-07   3.510355E-07
  13.400   6.544327E-07   2.999273E-07
  13.500   5.641404E-07   2.562602E-07
  13.600   4.863057E-07   2.189506E-07
  13.700   4.192100E-07   1.870731E-07
  13.800   3.613714E-07   1.598366E-07
  13.900   3.115129E-07   1.365656E-07
  14.000   2.685333E-07   1.166827E-07
  14.100   2.310722E-07   9.987798E-08
  14.200   1.975184E-07   8.608317E-08
  14.300   1.688369E-07   7.419365E-08
  14.400   1.443203E-07   6.394627E-08
  14.500   1.233637E-07   5.511423E-08
  14.600   1.054501E-07   4.750204E-08
  14.700   9.013781E-08   4.094121E-08
  14.800   7.704898E-08   3.528655E-08
  14.900   6.586077E-08   3.041289E-08
  15.000   5.629718E-08   2.621236E-08
  15.100   4.812232E-08   2.259200E-08
  15.200   4.113452E-08   1.947167E-08
  15.300   3.663138E-08   1.725954E-08
  15.400   3.267403E-08   1.531569E-08
  15.500   2.914421E-08   1.359076E-08
  15.600   2.599571E-08   1.206010E-08
  15.700   2.318735E-08   1.070183E-08
  15.800   2.068238E-08   9.496538E-09
  15.900   1.844803E-08   8.426991E-09
  16.000   1.645506E-08   7.477901E-09
  16.100   1.467740E-08   6.635703E-09
  16.200   1.309177E-08   5.888357E-09
