 Z=  59 A= 116  Pr beta2= 0.45 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   9.400   1.660411E-05   5.486319E-05
   9.500   1.351079E-05   4.708873E-05
   9.600   1.099245E-05   4.048450E-05
   9.700   8.939209E-06   3.490965E-05
   9.800   7.265767E-06   3.016794E-05
   9.900   5.903692E-06   2.610494E-05
  10.000   4.796091E-06   2.265356E-05
  10.100   3.897067E-06   1.968763E-05
  10.200   3.171121E-06   1.715252E-05
  10.300   2.585877E-06   1.496615E-05
  10.400   2.111496E-06   1.307008E-05
  10.500   1.731234E-06   1.142686E-05
  10.600   1.427682E-06   9.963160E-06
  10.700   1.181688E-06   8.669784E-06
  10.800   9.780793E-07   7.544309E-06
  10.900   8.095532E-07   6.564938E-06
  11.000   6.700647E-07   5.712705E-06
  11.100   5.546105E-07   4.971106E-06
  11.200   4.590494E-07   4.325778E-06
  11.300   3.799537E-07   3.764223E-06
  11.400   3.126489E-07   3.248876E-06
  11.500   2.565481E-07   2.793157E-06
  11.600   2.105139E-07   2.401362E-06
  11.700   1.727399E-07   2.064524E-06
  11.800   1.417439E-07   1.774935E-06
  11.900   1.163098E-07   1.525965E-06
  12.000   9.543952E-08   1.311919E-06
  12.100   7.831413E-08   1.127897E-06
  12.200   6.426167E-08   9.696871E-07
  12.300   5.273075E-08   8.336696E-07
  12.400   4.430676E-08   7.050471E-07
  12.500   3.738952E-08   5.944877E-07
  12.600   3.155221E-08   5.012653E-07
  12.700   2.662624E-08   4.226612E-07
  12.800   2.246931E-08   3.563832E-07
  12.900   1.896137E-08   3.004982E-07
  13.000   1.600109E-08   2.533767E-07
  13.100   1.350298E-08   2.136444E-07
  13.200   1.139487E-08   1.801425E-07
  13.300   9.615887E-09   1.518941E-07
  13.400   7.850599E-09   1.232323E-07
  13.500   6.382697E-09   9.949399E-08
  13.600   5.189263E-09   8.032839E-08
  13.700   4.218977E-09   6.485467E-08
  13.800   3.430114E-09   5.236167E-08
  13.900   2.788753E-09   4.227520E-08
  14.000   2.267313E-09   3.413169E-08
  14.100   1.843372E-09   2.755688E-08
  14.200   1.498699E-09   2.224858E-08
  14.300   1.218473E-09   1.796282E-08
  14.400   1.062682E-09   1.770872E-08
  14.500   9.431155E-10   1.834635E-08
  14.600   8.370018E-10   1.900693E-08
  14.700   7.428274E-10   1.969131E-08
  14.800   6.592489E-10   2.040032E-08
  14.900   5.850742E-10   2.113486E-08
  15.000   5.192452E-10   2.189585E-08
  15.100   4.608229E-10   2.268425E-08
  15.200   4.089739E-10   2.350102E-08
  15.300   3.629586E-10   2.434721E-08
  15.400   2.999159E-10   2.547029E-08
  15.500   2.333650E-10   2.686407E-08
  15.600   1.815816E-10   2.833412E-08
  15.700   1.412889E-10   2.988461E-08
  15.800   1.099371E-10   3.151995E-08
  15.900   8.554219E-11   3.324478E-08
  16.000   6.656050E-11   3.506400E-08
  16.100   5.179081E-11   3.698277E-08
  16.200   4.029850E-11   3.900653E-08
  16.300   3.135632E-11   4.114104E-08
  16.400   2.478997E-11   4.327923E-08
  16.500   2.604824E-11   4.345371E-08
  16.600   2.737037E-11   4.362889E-08
  16.700   2.875962E-11   4.380478E-08
  16.800   3.021937E-11   4.398138E-08
  16.900   3.175323E-11   4.415869E-08
  17.000   3.336493E-11   4.433671E-08
  17.100   3.505844E-11   4.451546E-08
  17.200   3.683791E-11   4.469492E-08
  17.300   3.870770E-11   4.487511E-08
  17.400   4.067240E-11   4.505602E-08
  17.500   4.260672E-11   4.455444E-08
  17.600   4.422883E-11   4.210240E-08
  17.700   4.591269E-11   3.978531E-08
  17.800   4.766066E-11   3.759574E-08
  17.900   4.947518E-11   3.552667E-08
  18.000   5.135878E-11   3.357147E-08
  18.100   5.331409E-11   3.172387E-08
  18.200   5.534384E-11   2.997796E-08
  18.300   5.745087E-11   2.832814E-08
  18.400   5.963812E-11   2.676911E-08
