 Z=  75 A= 156  Re beta2= 0.00 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
  14.200   3.263012E-09   6.043018E-08
  14.300   2.514312E-09   5.303627E-08
  14.400   1.937401E-09   4.654705E-08
  14.500   1.492863E-09   4.085181E-08
  14.600   1.150325E-09   3.585340E-08
  14.700   8.863823E-10   3.146658E-08
  14.800   6.830013E-10   2.761650E-08
  14.900   5.262863E-10   2.423750E-08
  15.000   4.055296E-10   2.127193E-08
  15.100   3.239541E-10   1.881368E-08
  15.200   3.056781E-10   1.724249E-08
  15.300   2.884332E-10   1.580252E-08
  15.400   2.721611E-10   1.448280E-08
  15.500   2.568070E-10   1.327330E-08
  15.600   2.423192E-10   1.216480E-08
  15.700   2.286486E-10   1.114888E-08
  15.800   2.157493E-10   1.021780E-08
  15.900   2.035777E-10   9.364483E-09
  16.000   1.920928E-10   8.582426E-09
  16.100   1.812558E-10   7.865681E-09
  16.200   1.627577E-10   7.207729E-09
  16.300   1.358399E-10   6.603373E-09
  16.400   1.133739E-10   6.049692E-09
  16.500   9.462352E-11   5.542436E-09
  16.600   7.897414E-11   5.077712E-09
  16.700   6.591295E-11   4.651955E-09
  16.800   5.501189E-11   4.261897E-09
  16.900   4.591371E-11   3.904544E-09
  17.000   3.832024E-11   3.577155E-09
  17.100   3.198262E-11   3.277217E-09
  17.200   2.669315E-11   3.002428E-09
  17.300   2.404397E-11   2.787295E-09
  17.400   2.443851E-11   2.642349E-09
  17.500   2.483953E-11   2.504940E-09
  17.600   2.524712E-11   2.374677E-09
  17.700   2.566141E-11   2.251188E-09
  17.800   2.608249E-11   2.134121E-09
  17.900   2.651048E-11   2.023141E-09
  18.000   2.694550E-11   1.917933E-09
  18.100   2.738765E-11   1.818196E-09
  18.200   2.783706E-11   1.723645E-09
  18.300   2.829384E-11   1.634011E-09
  18.400   2.889132E-11   1.546120E-09
  18.500   3.269700E-11   1.402826E-09
  18.600   3.700399E-11   1.272812E-09
  18.700   4.187830E-11   1.154848E-09
  18.800   4.739468E-11   1.047817E-09
  18.900   5.363770E-11   9.507057E-10
  19.000   6.070308E-11   8.625944E-10
  19.100   6.869914E-11   7.826493E-10
  19.200   7.774847E-11   7.101135E-10
  19.300   8.798981E-11   6.443003E-10
  19.400   9.958019E-11   5.845866E-10
  19.500   1.126973E-10   5.304073E-10
  19.600   1.238244E-10   4.873171E-10
  19.700   1.248979E-10   4.642437E-10
  19.800   1.259808E-10   4.422628E-10
  19.900   1.270730E-10   4.213226E-10
 Z=  75 A= 158  Re beta2=-0.07 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   8.889161E-02   6.973170E-02
   0.100   8.866840E-02   6.966708E-02
   0.200   8.844576E-02   6.960253E-02
   0.300   8.822064E-02   6.953726E-02
   0.400   8.779793E-02   6.942151E-02
   0.500   8.731378E-02   6.929659E-02
   0.600   8.674379E-02   6.915879E-02
   0.700   8.615809E-02   6.902438E-02
   0.800   8.551213E-02   6.890061E-02
   0.900   8.487679E-02   6.881252E-02
   1.000   8.424951E-02   6.874524E-02
   1.100   8.366998E-02   6.871720E-02
   1.200   8.314763E-02   6.873784E-02
   1.300   8.277568E-02   6.884940E-02
   1.400   8.243188E-02   6.897761E-02
   1.500   8.222615E-02   6.917385E-02
   1.600   8.210260E-02   6.940989E-02
   1.700   8.216070E-02   6.971536E-02
   1.800   8.221885E-02   7.002217E-02
   1.900   8.240409E-02   7.036167E-02
   2.000   8.262672E-02   7.070397E-02
   2.100   8.289966E-02   7.103939E-02
   2.200   8.317316E-02   7.137206E-02
   2.300   8.344423E-02   7.166369E-02
   2.400   8.368220E-02   7.191935E-02
   2.500   8.388581E-02   7.213759E-02
   2.600   8.405626E-02   7.232940E-02
   2.700   8.415132E-02   7.246074E-02
   2.800   8.415595E-02   7.253176E-02
   2.900   8.412346E-02   7.257799E-02
   3.000   8.402736E-02   7.258690E-02
   3.100   8.387367E-02   7.256190E-02
   3.200   8.363364E-02   7.249526E-02
   3.300   8.338720E-02   7.242526E-02
