 Z=  73 A= 144  Ta beta2= 0.46 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
  15.000   3.271798E-10   1.991121E-08
  15.100   3.088338E-10   1.774441E-08
  15.200   2.915164E-10   1.581342E-08
  15.300   2.751701E-10   1.409255E-08
  15.400   2.597404E-10   1.255896E-08
  15.500   2.451759E-10   1.119226E-08
  15.600   2.314281E-10   9.974285E-09
  15.700   2.184512E-10   8.888854E-09
  15.800   2.062019E-10   7.921543E-09
  15.900   1.946395E-10   7.059498E-09
  16.000   1.685072E-10   7.160133E-09
  16.100   1.398548E-10   7.735549E-09
  16.200   1.160744E-10   8.357208E-09
  16.300   9.633757E-11   9.028826E-09
  16.400   7.995668E-11   9.754417E-09
  16.500   6.636115E-11   1.053832E-08
  16.600   5.507734E-11   1.138522E-08
  16.700   4.571220E-11   1.230018E-08
  16.800   3.793946E-11   1.328867E-08
  16.900   3.148838E-11   1.435660E-08
  17.000   2.613421E-11   1.551035E-08
  17.100   2.561704E-11   1.615510E-08
  17.200   2.617661E-11   1.667350E-08
  17.300   2.674841E-11   1.720855E-08
  17.400   2.733270E-11   1.776076E-08
  17.500   2.792975E-11   1.833069E-08
  17.600   2.853985E-11   1.891891E-08
  17.700   2.916327E-11   1.952601E-08
  17.800   2.980031E-11   2.015259E-08
  17.900   3.045126E-11   2.079927E-08
  18.000   3.111643E-11   2.146671E-08
  18.100   3.179614E-11   2.215556E-08
  18.200   3.420684E-11   2.210828E-08
  18.300   3.805268E-11   2.158268E-08
  18.400   4.233091E-11   2.106958E-08
  18.500   4.709013E-11   2.056868E-08
  18.600   5.238443E-11   2.007968E-08
  18.700   5.827396E-11   1.960231E-08
  18.800   6.482565E-11   1.913629E-08
  18.900   7.211393E-11   1.868135E-08
  19.000   8.022164E-11   1.823723E-08
  19.100   8.924088E-11   1.780366E-08
  19.200   9.927415E-11   1.738040E-08
  19.300   1.104354E-10   1.696720E-08
  19.400   1.130696E-10   1.497534E-08
  19.500   1.155205E-10   1.318320E-08
  19.600   1.180246E-10   1.160552E-08
  19.700   1.205829E-10   1.021665E-08
  19.800   1.231967E-10   8.993991E-09
  19.900   1.258672E-10   7.917651E-09
 Z=  73 A= 146  Ta beta2= 0.49 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   8.117945E-02   7.158910E-02
   0.100   8.109175E-02   7.155386E-02
   0.200   8.100414E-02   7.151863E-02
   0.300   8.090726E-02   7.148022E-02
   0.400   8.074792E-02   7.142039E-02
   0.500   8.056500E-02   7.135794E-02
   0.600   8.036607E-02   7.129368E-02
   0.700   8.016686E-02   7.124024E-02
   0.800   7.996736E-02   7.119799E-02
   0.900   7.980996E-02   7.120280E-02
   1.000   7.965492E-02   7.120994E-02
   1.100   7.956661E-02   7.127634E-02
   1.200   7.952013E-02   7.137763E-02
   1.300   7.953964E-02   7.153271E-02
   1.400   7.957894E-02   7.170296E-02
   1.500   7.969141E-02   7.192853E-02
   1.600   7.984733E-02   7.218592E-02
   1.700   8.002443E-02   7.245925E-02
   1.800   8.021593E-02   7.274213E-02
   1.900   8.041743E-02   7.303175E-02
   2.000   8.059619E-02   7.330300E-02
   2.100   8.077534E-02   7.357527E-02
   2.200   8.089577E-02   7.380376E-02
   2.300   8.097545E-02   7.400262E-02
   2.400   8.099924E-02   7.416059E-02
   2.500   8.099174E-02   7.429604E-02
   2.600   8.090981E-02   7.437732E-02
   2.700   8.074974E-02   7.440241E-02
   2.800   8.056506E-02   7.440956E-02
   2.900   8.032505E-02   7.437605E-02
   3.000   8.005029E-02   7.431679E-02
   3.100   7.972846E-02   7.422345E-02
   3.200   7.940753E-02   7.412995E-02
   3.300   7.906776E-02   7.402198E-02
   3.400   7.873350E-02   7.391764E-02
   3.500   7.840499E-02   7.381720E-02
   3.600   7.808487E-02   7.372187E-02
   3.700   7.777746E-02   7.363475E-02
   3.800   7.747107E-02   7.354319E-02
   3.900   7.716585E-02   7.345089E-02
   4.000   7.683448E-02   7.333069E-02
   4.100   7.645280E-02   7.316198E-02
   4.200   7.600346E-02   7.292922E-02
   4.300   7.546394E-02   7.261095E-02
   4.400   7.480408E-02   7.218047E-02
   4.500   7.402091E-02   7.163434E-02
   4.600   7.300676E-02   7.087236E-02
   4.700   7.181928E-02   6.994604E-02
   4.800   7.041620E-02   6.881555E-02
   4.900   6.879130E-02   6.747159E-02
   5.000   6.696203E-02   6.592827E-02
   5.100   6.478713E-02   6.405171E-02
   5.200   6.240220E-02   6.196478E-02
   5.300   5.977059E-02   5.962960E-02
   5.400   5.692078E-02   5.706996E-02
   5.500   5.389942E-02   5.432762E-02
   5.600   5.057015E-02   5.126937E-02
   5.700   4.713507E-02   4.808385E-02
   5.800   4.357840E-02   4.475381E-02
   5.900   3.996794E-02   4.134208E-02
   6.000   3.637119E-02   3.791301E-02
   6.100   3.269895E-02   3.437804E-02
   6.200   2.915609E-02   3.093523E-02
   6.300   2.573953E-02   2.758323E-02
   6.400   2.251273E-02   2.438617E-02
   6.500   1.951689E-02   2.138690E-02
   6.600   1.670319E-02   1.854042E-02
   6.700   1.417876E-02   1.595608E-02
   6.800   1.192138E-02   1.361621E-02
   6.900   9.942067E-03   1.153777E-02
   7.000   8.229348E-03   9.713815E-03
   7.100   6.745126E-03   8.111327E-03
   7.200   5.498175E-03   6.743002E-03
   7.300   4.454427E-03   5.578410E-03
   7.400   3.593232E-03   4.600295E-03
   7.500   2.887671E-03   3.783469E-03
   7.600   2.311611E-03   3.104260E-03
   7.700   1.847432E-03   2.545336E-03
   7.800   1.474157E-03   2.086209E-03
   7.900   1.175631E-03   1.710621E-03
   8.000   9.371072E-04   1.403410E-03
   8.100   7.468591E-04   1.152951E-03
   8.200   5.952999E-04   9.482475E-04
   8.300   4.745275E-04   7.809639E-04
   8.400   3.782431E-04   6.439822E-04
   8.500   3.014603E-04   5.316285E-04
   8.600   2.402071E-04   4.396080E-04
   8.700   1.913841E-04   3.639370E-04
   8.800   1.524652E-04   3.017061E-04
   8.900   1.214778E-04   2.504792E-04
   9.000   9.681527E-05   2.082421E-04
   9.100   7.724566E-05   1.735655E-04
   9.200   6.170546E-05   1.449562E-04
   9.300   4.937199E-05   1.213622E-04
   9.400   3.957912E-05   1.018719E-04
   9.500   3.178699E-05   8.572695E-05
   9.600   2.560080E-05   7.242891E-05
   9.700   2.065140E-05   6.135683E-05
   9.800   1.668603E-05   5.213876E-05
   9.900   1.349255E-05   4.442588E-05
  10.000   1.091473E-05   3.794748E-05
  10.100   8.824709E-06   3.252213E-05
  10.200   7.128725E-06   2.792902E-05
  10.300   5.751088E-06   2.403900E-05
  10.400   4.633182E-06   2.072896E-05
  10.500   3.727831E-06   1.790453E-05
  10.600   2.995865E-06   1.549976E-05
  10.700   2.407980E-06   1.343579E-05
  10.800   1.936747E-06   1.166333E-05
  10.900   1.560927E-06   1.013517E-05
  11.000   1.266428E-06   8.811442E-06
  11.100   1.039419E-06   7.658166E-06
  11.200   8.531013E-07   6.655834E-06
  11.300   7.001815E-07   5.784692E-06
  11.400   5.746728E-07   5.027569E-06
  11.500   4.716618E-07   4.369541E-06
  11.600   3.871156E-07   3.797638E-06
  11.700   3.177245E-07   3.300588E-06
  11.800   2.602079E-07   2.867208E-06
  11.900   2.097777E-07   2.482006E-06
  12.000   1.691212E-07   2.148554E-06
  12.100   1.363443E-07   1.859902E-06
  12.200   1.099198E-07   1.610028E-06
  12.300   8.861652E-08   1.393725E-06
  12.400   7.144199E-08   1.206482E-06
  12.500   5.759600E-08   1.044394E-06
  12.600   4.643348E-08   9.040820E-07
  12.700   3.743433E-08   7.826209E-07
  12.800   3.017928E-08   6.774777E-07
  12.900   2.545687E-08   5.917570E-07
  13.000   2.155694E-08   5.172813E-07
  13.100   1.825448E-08   4.521788E-07
  13.200   1.545794E-08   3.952697E-07
  13.300   1.308982E-08   3.455230E-07
  13.400   1.108450E-08   3.020371E-07
  13.500   9.386383E-09   2.640242E-07
  13.600   7.948414E-09   2.307954E-07
  13.700   6.730738E-09   2.017486E-07
  13.800   5.699607E-09   1.763575E-07
  13.900   4.589578E-09   1.550157E-07
  14.000   3.567695E-09   1.367848E-07
  14.100   2.773337E-09   1.206980E-07
  14.200   2.155845E-09   1.065031E-07
  14.300   1.675839E-09   9.397766E-08
  14.400   1.302709E-09   8.292526E-08
  14.500   1.012657E-09   7.317270E-08
  14.600   7.871855E-10   6.456711E-08
  14.700   6.119163E-10   5.697359E-08
  14.800   4.756713E-10   5.027312E-08
  14.900   3.784795E-10   4.485970E-08
  15.000   3.561328E-10   4.338512E-08
  15.100   3.351056E-10   4.195901E-08
  15.200   3.153200E-10   4.057977E-08
  15.300   2.967025E-10   3.924587E-08
  15.400   2.791842E-10   3.795582E-08
  15.500   2.627003E-10   3.670817E-08
  15.600   2.471897E-10   3.550154E-08
  15.700   2.325948E-10   3.433457E-08
  15.800   2.188617E-10   3.320596E-08
  15.900   2.059394E-10   3.211444E-08
  16.000   1.821524E-10   3.188519E-08
  16.100   1.505850E-10   3.257855E-08
  16.200   1.244884E-10   3.328699E-08
  16.300   1.029143E-10   3.401083E-08
  16.400   8.507910E-11   3.475042E-08
  16.500   7.033475E-11   3.550608E-08
  16.600   5.814562E-11   3.627818E-08
  16.700   4.806888E-11   3.706707E-08
  16.800   3.973846E-11   3.787311E-08
  16.900   3.285172E-11   3.869668E-08
  17.000   2.715846E-11   3.953816E-08
  17.100   2.546211E-11   3.986915E-08
  17.200   2.601547E-11   3.984248E-08
  17.300   2.658086E-11   3.981583E-08
  17.400   2.715853E-11   3.978920E-08
  17.500   2.774876E-11   3.976258E-08
  17.600   2.835182E-11   3.973599E-08
  17.700   2.896798E-11   3.970941E-08
  17.800   2.959754E-11   3.968285E-08
  17.900   3.024077E-11   3.965630E-08
  18.000   3.089799E-11   3.962978E-08
  18.100   3.156949E-11   3.960327E-08
  18.200   3.335927E-11   3.918280E-08
  18.300   3.718845E-11   3.815476E-08
  18.400   4.145716E-11   3.715368E-08
  18.500   4.621585E-11   3.617887E-08
  18.600   5.152078E-11   3.522964E-08
  18.700   5.743464E-11   3.430531E-08
  18.800   6.402733E-11   3.340523E-08
  18.900   7.137677E-11   3.252877E-08
  19.000   7.956981E-11   3.167531E-08
  19.100   8.870331E-11   3.084424E-08
  19.200   9.888520E-11   3.003497E-08
  19.300   1.102358E-10   2.924694E-08
  19.400   1.151038E-10   2.668112E-08
  19.500   1.174826E-10   2.379455E-08
  19.600   1.199105E-10   2.122026E-08
  19.700   1.223885E-10   1.892449E-08
  19.800   1.249178E-10   1.687709E-08
  19.900   1.274993E-10   1.505119E-08
 Z=  73 A= 152  Ta beta2=-0.12 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   8.797767E-02   6.937539E-02
   0.100   8.777686E-02   6.934177E-02
   0.200   8.757652E-02   6.930817E-02
   0.300   8.736365E-02   6.927287E-02
   0.400   8.698472E-02   6.921550E-02
   0.500   8.654004E-02   6.915789E-02
   0.600   8.603144E-02   6.910005E-02
   0.700   8.549977E-02   6.905156E-02
   0.800   8.492517E-02   6.901969E-02
   0.900   8.436250E-02   6.903180E-02
   1.000   8.380568E-02   6.905560E-02
   1.100   8.330756E-02   6.912825E-02
   1.200   8.285365E-02   6.923401E-02
   1.300   8.253808E-02   6.941623E-02
   1.400   8.222371E-02   6.959893E-02
   1.500   8.207197E-02   6.985062E-02
   1.600   8.199032E-02   7.012423E-02
   1.700   8.201037E-02   7.042713E-02
   1.800   8.205639E-02   7.073421E-02
   1.900   8.219404E-02   7.105280E-02
   2.000   8.236556E-02   7.135591E-02
   2.100   8.255542E-02   7.165124E-02
   2.200   8.274117E-02   7.192110E-02
   2.300   8.292290E-02   7.216603E-02
   2.400   8.304301E-02   7.234464E-02
   2.500   8.315926E-02   7.251931E-02
   2.600   8.319822E-02   7.263157E-02
   2.700   8.319191E-02   7.271129E-02
   2.800   8.309906E-02   7.273461E-02
   2.900   8.299768E-02   7.275309E-02
   3.000   8.280128E-02   7.271803E-02
   3.100   8.256658E-02   7.266597E-02
   3.200   8.229601E-02   7.259787E-02
   3.300   8.201090E-02   7.252739E-02
   3.400   8.170061E-02   7.245283E-02
   3.500   8.138755E-02   7.238826E-02
   3.600   8.107471E-02   7.232621E-02
   3.700   8.077056E-02   7.227438E-02
   3.800   8.047116E-02   7.222693E-02
   3.900   8.017025E-02   7.217001E-02
   4.000   7.987046E-02   7.211313E-02
   4.100   7.953665E-02   7.201064E-02
   4.200   7.914665E-02   7.184491E-02
   4.300   7.867468E-02   7.159306E-02
   4.400   7.813763E-02   7.127271E-02
   4.500   7.743924E-02   7.079319E-02
