 Z=  95 A= 204  Am beta2= 0.30 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   8.700   1.438180E-03   1.213258E-03
   8.800   1.158864E-03   9.799782E-04
   8.900   9.343135E-04   7.922927E-04
   9.000   7.540474E-04   6.419093E-04
   9.100   6.087536E-04   5.204053E-04
   9.200   4.917849E-04   4.224809E-04
   9.300   3.974385E-04   3.434151E-04
   9.400   3.212518E-04   2.793340E-04
   9.500   2.596491E-04   2.274355E-04
   9.600   2.098487E-04   1.852385E-04
   9.700   1.695819E-04   1.509746E-04
   9.800   1.370505E-04   1.232070E-04
   9.900   1.107936E-04   1.006482E-04
  10.000   8.968634E-05   8.247930E-05
  10.100   7.265801E-05   6.769040E-05
  10.200   5.896390E-05   5.573069E-05
  10.300   4.799390E-05   4.612290E-05
  10.400   3.914272E-05   3.829605E-05
  10.500   3.205930E-05   3.202551E-05
  10.600   2.629230E-05   2.684458E-05
  10.700   2.162336E-05   2.261506E-05
  10.800   1.782901E-05   1.915809E-05
  10.900   1.471699E-05   1.627396E-05
  11.000   1.215655E-05   1.388096E-05
  11.100   1.003855E-05   1.184982E-05
  11.200   8.284070E-06   1.013397E-05
  11.300   6.822000E-06   8.673200E-06
  11.400   5.610981E-06   7.424322E-06
  11.500   4.602176E-06   6.353720E-06
  11.600   3.772324E-06   5.436899E-06
  11.700   3.088638E-06   4.651690E-06
  11.800   2.558880E-06   3.997692E-06
  11.900   2.119985E-06   3.435642E-06
  12.000   1.756369E-06   2.952613E-06
  12.100   1.455119E-06   2.537495E-06
  12.200   1.205540E-06   2.180739E-06
  12.300   9.987674E-07   1.874141E-06
  12.400   8.274604E-07   1.610649E-06
  12.500   6.855358E-07   1.384202E-06
  12.600   5.700147E-07   1.190913E-06
  12.700   4.770490E-07   1.026654E-06
  12.800   3.992454E-07   8.850512E-07
  12.900   3.341311E-07   7.629791E-07
  13.000   2.796365E-07   6.577440E-07
  13.100   2.340296E-07   5.670236E-07
  13.200   1.958609E-07   4.888160E-07
  13.300   1.639172E-07   4.213953E-07
  13.400   1.371834E-07   3.632737E-07
  13.500   1.148097E-07   3.131686E-07
  13.600   9.608496E-08   2.699743E-07
  13.700   8.073421E-08   2.345780E-07
  13.800   6.805236E-08   2.051137E-07
  13.900   5.736258E-08   1.793503E-07
  14.000   4.835198E-08   1.568229E-07
  14.100   4.075677E-08   1.371251E-07
  14.200   3.435464E-08   1.199014E-07
  14.300   2.895815E-08   1.048411E-07
  14.400   2.440936E-08   9.167251E-08
  14.500   2.057510E-08   8.015794E-08
  14.600   1.734313E-08   7.008966E-08
  14.700   1.461884E-08   6.128601E-08
  14.800   1.236630E-08   5.380371E-08
  14.900   1.048439E-08   4.735527E-08
  15.000   8.888874E-09   4.167968E-08
  15.100   7.536163E-09   3.668432E-08
  15.200   6.389309E-09   3.228766E-08
  15.300   5.416983E-09   2.841795E-08
  15.400   4.592625E-09   2.501202E-08
  15.500   3.893719E-09   2.201430E-08
  15.600   3.301172E-09   1.937586E-08
  15.700   2.798799E-09   1.705364E-08
  15.800   2.372877E-09   1.500974E-08
  15.900   2.040024E-09   1.385966E-08
  16.000   1.775863E-09   1.335817E-08
  16.100   1.545908E-09   1.287483E-08
  16.200   1.345730E-09   1.240897E-08
  16.300   1.171472E-09   1.195998E-08
  16.400   1.019779E-09   1.152722E-08
  16.500   8.877288E-10   1.111013E-08
  16.600   7.727775E-10   1.070813E-08
  16.700   6.727112E-10   1.032067E-08
  16.800   5.856024E-10   9.947233E-09
  16.900   5.097732E-10   9.587308E-09
  17.000   4.526085E-10   9.312435E-09
  17.100   4.255784E-10   9.251884E-09
  17.200   4.001625E-10   9.191727E-09
  17.300   3.762645E-10   9.131960E-09
  17.400   3.537937E-10   9.072583E-09
  17.500   3.326649E-10   9.013591E-09
  17.600   3.127978E-10   8.954983E-09
  17.700   2.941173E-10   8.896756E-09
  17.800   2.765524E-10   8.838908E-09
  17.900   2.600365E-10   8.781435E-09
  18.000   2.445069E-10   8.724337E-09
  18.100   2.299048E-10   8.667609E-09
  18.200   2.212062E-10   8.645180E-09
  18.300   2.146650E-10   8.635424E-09
  18.400   2.083173E-10   8.625678E-09
  18.500   2.021572E-10   8.615943E-09
  18.600   1.961794E-10   8.606219E-09
  18.700   1.903782E-10   8.596506E-09
  18.800   1.847487E-10   8.586805E-09
  18.900   1.792856E-10   8.577114E-09
  19.000   1.739840E-10   8.567434E-09
  19.100   1.688392E-10   8.557765E-09
  19.200   1.638465E-10   8.548107E-09
  19.300   1.590015E-10   8.538459E-09
  19.400   1.695573E-10   8.088488E-09
  19.500   1.836343E-10   7.595849E-09
  19.600   1.988800E-10   7.133214E-09
  19.700   2.153914E-10   6.698756E-09
  19.800   2.332736E-10   6.290760E-09
  19.900   2.526404E-10   5.907614E-09
 Z=  95 A= 207  Am beta2= 0.41 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.877246E-02   6.577655E-02
   0.100   7.869402E-02   6.560473E-02
   0.200   7.861566E-02   6.543335E-02
   0.300   7.853737E-02   6.526242E-02
   0.400   7.841718E-02   6.500021E-02
   0.500   7.826913E-02   6.467796E-02
   0.600   7.808196E-02   6.427269E-02
   0.700   7.788391E-02   6.384571E-02
   0.800   7.768068E-02   6.340826E-02
   0.900   7.746393E-02   6.294102E-02
   1.000   7.725983E-02   6.249669E-02
   1.100   7.707014E-02   6.207783E-02
   1.200   7.688091E-02   6.166178E-02
   1.300   7.676426E-02   6.136887E-02
   1.400   7.666797E-02   6.110953E-02
   1.500   7.667440E-02   6.101383E-02
   1.600   7.668083E-02   6.091827E-02
   1.700   7.678311E-02   6.096399E-02
   1.800   7.693458E-02   6.108198E-02
   1.900   7.720320E-02   6.135637E-02
   2.000   7.749527E-02   6.166213E-02
   2.100   7.782511E-02   6.201369E-02
   2.200   7.822509E-02   6.245038E-02
   2.300   7.865114E-02   6.291258E-02
   2.400   7.910118E-02   6.339851E-02
   2.500   7.955326E-02   6.388718E-02
   2.600   7.999392E-02   6.435327E-02
   2.700   8.042142E-02   6.480472E-02
   2.800   8.079360E-02   6.519264E-02
   2.900   8.116750E-02   6.558288E-02
   3.000   8.146179E-02   6.589477E-02
   3.100   8.172606E-02   6.617725E-02
   3.200   8.186958E-02   6.635792E-02
   3.300   8.200014E-02   6.652787E-02
   3.400   8.207632E-02   6.666074E-02
   3.500   8.207468E-02   6.674028E-02
   3.600   8.201145E-02   6.679476E-02
   3.700   8.190536E-02   6.683172E-02
   3.800   8.179352E-02   6.686961E-02
   3.900   8.162885E-02   6.691567E-02
   4.000   8.146283E-02   6.697754E-02
   4.100   8.129279E-02   6.708068E-02
   4.200   8.112310E-02   6.718398E-02
   4.300   8.097546E-02   6.734231E-02
   4.400   8.083395E-02   6.751592E-02
   4.500   8.071221E-02   6.772382E-02
