 Z= 110 A= 250  10 beta2= 0.41 nrho= 200
  16.800   2.260058E-08   9.109191E-10
  16.900   1.947796E-08   8.158440E-10
  17.000   1.678677E-08   7.306921E-10
  17.100   1.446741E-08   6.544278E-10
  17.200   1.246851E-08   5.861234E-10
  17.300   1.074579E-08   5.249481E-10
  17.400   9.261084E-09   4.701578E-10
  17.500   7.981519E-09   4.210862E-10
  17.600   6.878745E-09   3.771363E-10
  17.700   5.928338E-09   3.377736E-10
  17.800   5.109244E-09   3.025192E-10
  17.900   4.437308E-09   2.752217E-10
  18.000   4.098516E-09   2.838524E-10
  18.100   3.785591E-09   2.927538E-10
  18.200   3.496558E-09   3.019343E-10
  18.300   3.229592E-09   3.114027E-10
  18.400   2.983010E-09   3.211680E-10
  18.500   2.755255E-09   3.312395E-10
  18.600   2.544889E-09   3.416269E-10
  18.700   2.350584E-09   3.523401E-10
  18.800   2.171115E-09   3.633891E-10
  18.900   2.005349E-09   3.747847E-10
  19.000   1.852239E-09   3.865376E-10
  19.100   1.710148E-09   3.977548E-10
  19.200   1.559057E-09   3.803207E-10
  19.300   1.421315E-09   3.636507E-10
  19.400   1.295743E-09   3.477114E-10
  19.500   1.181264E-09   3.324708E-10
  19.600   1.076900E-09   3.178981E-10
  19.700   9.817566E-10   3.039642E-10
  19.800   8.950189E-10   2.906411E-10
  19.900   8.159444E-10   2.779019E-10
 Z= 110 A= 274  10 beta2= 0.25 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.228840E-02   5.268458E-02
   0.100   7.254811E-02   5.256456E-02
   0.200   7.280876E-02   5.244480E-02
   0.300   7.307034E-02   5.232532E-02
   0.400   7.335906E-02   5.219331E-02
   0.500   7.383322E-02   5.197231E-02
   0.600   7.431597E-02   5.174913E-02
   0.700   7.490965E-02   5.146686E-02
   0.800   7.550808E-02   5.118613E-02
   0.900   7.611394E-02   5.090471E-02
   1.000   7.673464E-02   5.061661E-02
   1.100   7.734874E-02   5.033871E-02
   1.200   7.789315E-02   5.011659E-02
   1.300   7.844139E-02   4.989544E-02
   1.400   7.895214E-02   4.971431E-02
   1.500   7.936877E-02   4.962516E-02
   1.600   7.975511E-02   4.957826E-02
   1.700   8.002975E-02   4.967823E-02
   1.800   8.030533E-02   4.977840E-02
   1.900   8.054086E-02   4.995851E-02
   2.000   8.071172E-02   5.026683E-02
   2.100   8.087349E-02   5.063201E-02
   2.200   8.101438E-02   5.112380E-02
   2.300   8.115552E-02   5.162037E-02
   2.400   8.131616E-02   5.217544E-02
   2.500   8.149860E-02   5.279700E-02
   2.600   8.171899E-02   5.343501E-02
   2.700   8.199741E-02   5.409471E-02
   2.800   8.227678E-02   5.476254E-02
   2.900   8.261654E-02   5.540732E-02
   3.000   8.300464E-02   5.603481E-02
   3.100   8.343136E-02   5.661136E-02
   3.200   8.389989E-02   5.713114E-02
   3.300   8.437105E-02   5.765569E-02
   3.400   8.485597E-02   5.808694E-02
   3.500   8.534978E-02   5.846757E-02
   3.600   8.581218E-02   5.876486E-02
   3.700   8.625110E-02   5.899866E-02
   3.800   8.669227E-02   5.923340E-02
   3.900   8.704337E-02   5.937929E-02
   4.000   8.736233E-02   5.949296E-02
   4.100   8.757420E-02   5.956787E-02
   4.200   8.772998E-02   5.962251E-02
   4.300   8.788604E-02   5.967720E-02
   4.400   8.791202E-02   5.973993E-02
   4.500   8.790962E-02   5.980447E-02
   4.600   8.782494E-02   5.992359E-02
   4.700   8.771208E-02   6.006176E-02
   4.800   8.759936E-02   6.020024E-02
   4.900   8.743889E-02   6.041889E-02
   5.000   8.727386E-02   6.064646E-02
   5.100   8.709331E-02   6.090555E-02
   5.200   8.690992E-02   6.117202E-02
   5.300   8.672691E-02   6.143966E-02
   5.400   8.651340E-02   6.166482E-02
   5.500   8.626905E-02   6.183893E-02
   5.600   8.597443E-02   6.193556E-02
   5.700   8.561083E-02   6.193085E-02
   5.800   8.515527E-02   6.180468E-02
   5.900   8.460024E-02   6.155054E-02
   6.000   8.385273E-02   6.107084E-02
   6.100   8.295308E-02   6.042420E-02
   6.200   8.185186E-02   5.956367E-02
   6.300   8.054360E-02   5.849493E-02
   6.400   7.902984E-02   5.722469E-02
   6.500   7.716577E-02   5.562873E-02
   6.600   7.507219E-02   5.382891E-02
   6.700   7.269195E-02   5.177977E-02
   6.800   7.005709E-02   4.952132E-02
   6.900   6.719461E-02   4.708385E-02
   7.000   6.395139E-02   4.434718E-02
   7.100   6.053088E-02   4.149358E-02
   7.200   5.689266E-02   3.849798E-02
   7.300   5.311970E-02   3.543609E-02
   7.400   4.926739E-02   3.235841E-02
   7.500   4.522642E-02   2.918681E-02
   7.600   4.122874E-02   2.610780E-02
   7.700   3.725899E-02   2.311174E-02
   7.800   3.341013E-02   2.026857E-02
   7.900   2.972886E-02   1.761162E-02
   8.000   2.615835E-02   1.509750E-02
   8.100   2.285298E-02   1.283009E-02
   8.200   1.979216E-02   1.078820E-02
   8.300   1.701812E-02   8.991773E-03
   8.400   1.453180E-02   7.430927E-03
   8.500   1.229517E-02   6.070957E-03
   8.600   1.034773E-02   4.927090E-03
   8.700   8.655230E-03   3.968094E-03
   8.800   7.208315E-03   3.178336E-03
   8.900   5.979578E-03   2.533075E-03
   9.000   4.939281E-03   2.008073E-03
   9.100   4.072649E-03   1.588290E-03
   9.200   3.352284E-03   1.253519E-03
   9.300   2.757975E-03   9.887417E-04
   9.400   2.268394E-03   7.796430E-04
   9.500   1.866940E-03   6.152146E-04
   9.600   1.537840E-03   4.859066E-04
   9.700   1.268169E-03   3.842280E-04
   9.800   1.046960E-03   3.040932E-04
   9.900   8.652317E-04   2.408415E-04
  10.000   7.159938E-04   1.908219E-04
  10.100   5.929034E-04   1.511601E-04
  10.200   4.912940E-04   1.196721E-04
  10.300   4.072339E-04   9.466033E-05
  10.400   3.376437E-04   7.480568E-05
  10.500   2.800330E-04   5.904468E-05
  10.600   2.323370E-04   4.659753E-05
  10.700   1.928630E-04   3.678047E-05
  10.800   1.602337E-04   2.907642E-05
  10.900   1.332534E-04   2.303156E-05
  11.000   1.110611E-04   1.833860E-05
  11.100   9.274460E-05   1.467139E-05
  11.200   7.764604E-05   1.181357E-05
  11.300   6.517410E-05   9.573806E-06
  11.400   5.484472E-05   7.807478E-06
  11.500   4.632574E-05   6.421854E-06
  11.600   3.921712E-05   5.305272E-06
  11.700   3.328103E-05   4.402227E-06
  11.800   2.828437E-05   3.657807E-06
  11.900   2.406607E-05   3.040775E-06
  12.000   2.049029E-05   2.520969E-06
  12.100   1.744265E-05   2.082811E-06
  12.200   1.483952E-05   1.711974E-06
  12.300   1.261298E-05   1.399558E-06
  12.400   1.071608E-05   1.140046E-06
  12.500   9.108634E-06   9.284970E-07
  12.600   7.742307E-06   7.562033E-07
  12.700   6.580934E-06   6.158808E-07
  12.800   5.593772E-06   5.015968E-07
  12.900   4.754687E-06   4.085196E-07
  13.000   4.041467E-06   3.327139E-07
  13.100   3.435233E-06   2.709749E-07
  13.200   2.919936E-06   2.206923E-07
  13.300   2.495329E-06   1.812156E-07
  13.400   2.169734E-06   1.527686E-07
  13.500   1.886624E-06   1.287871E-07
  13.600   1.640455E-06   1.085702E-07
  13.700   1.426406E-06   9.152699E-08
  13.800   1.240286E-06   7.715917E-08
  13.900   1.078452E-06   6.504680E-08
  14.000   9.377336E-07   5.483582E-08
  14.100   8.153766E-07   4.622775E-08
  14.200   7.089851E-07   3.897096E-08
  14.300   6.164756E-07   3.285334E-08
  14.400   5.360369E-07   2.769606E-08
  14.500   4.613943E-07   2.287194E-08
  14.600   3.967428E-07   1.884915E-08
  14.700   3.411504E-07   1.553390E-08
  14.800   2.933478E-07   1.280174E-08
  14.900   2.522433E-07   1.055013E-08
  15.000   2.168985E-07   8.694539E-09
  15.100   1.865063E-07   7.165315E-09
  15.200   1.603726E-07   5.905055E-09
  15.300   1.379009E-07   4.866455E-09
  15.400   1.185780E-07   4.010527E-09
  15.500   1.019626E-07   3.305142E-09
  15.600   8.893692E-08   2.839393E-09
  15.700   7.904015E-08   2.575683E-09
  15.800   7.024467E-08   2.336465E-09
  15.900   6.242795E-08   2.119464E-09
  16.000   5.548105E-08   1.922618E-09
  16.100   4.930720E-08   1.744054E-09
  16.200   4.382036E-08   1.582074E-09
  16.300   3.894410E-08   1.435138E-09
  16.400   3.461045E-08   1.301849E-09
  16.500   3.075905E-08   1.180939E-09
  16.600   2.733623E-08   1.071258E-09
  16.700   2.429429E-08   9.717648E-10
  16.800   2.100595E-08   8.759105E-10
  16.900   1.804531E-08   7.883240E-10
  17.000   1.550196E-08   7.094956E-10
  17.100   1.331707E-08   6.385497E-10
  17.200   1.144012E-08   5.746980E-10
  17.300   9.827722E-09   5.172312E-10
  17.400   8.442576E-09   4.655107E-10
  17.500   7.252656E-09   4.189621E-10
  17.600   6.230446E-09   3.770680E-10
  17.700   5.352310E-09   3.393632E-10
  17.800   4.597941E-09   3.054286E-10
  17.900   3.949894E-09   2.748873E-10
  18.000   3.665695E-09   2.830835E-10
  18.100   3.405137E-09   2.920015E-10
  18.200   3.163099E-09   3.012005E-10
  18.300   2.938266E-09   3.106893E-10
  18.400   2.729414E-09   3.204770E-10
  18.500   2.535407E-09   3.305731E-10
  18.600   2.355190E-09   3.409872E-10
  18.700   2.187783E-09   3.517294E-10
  18.800   2.032275E-09   3.628100E-10
  18.900   1.887821E-09   3.742397E-10
  19.000   1.753634E-09   3.860294E-10
  19.100   1.628986E-09   3.981906E-10
  19.200   1.489718E-09   3.845325E-10
  19.300   1.359966E-09   3.686029E-10
  19.400   1.241515E-09   3.533332E-10
  19.500   1.133380E-09   3.386960E-10
  19.600   1.034664E-09   3.246652E-10
  19.700   9.445464E-10   3.112156E-10
  19.800   8.622776E-10   2.983232E-10
  19.900   7.871744E-10   2.859649E-10
 Z= 110 A= 275  10 beta2= 0.24 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.286961E-02   5.262654E-02
   0.100   7.311612E-02   5.250775E-02
   0.200   7.336347E-02   5.238922E-02
   0.300   7.361165E-02   5.227096E-02
   0.400   7.388457E-02   5.214086E-02
   0.500   7.433629E-02   5.192172E-02
   0.600   7.479508E-02   5.170106E-02
   0.700   7.536339E-02   5.142141E-02
   0.800   7.593603E-02   5.114326E-02
   0.900   7.651639E-02   5.086441E-02
   1.000   7.711507E-02   5.057815E-02
   1.100   7.770957E-02   5.030077E-02
   1.200   7.824182E-02   5.007901E-02
   1.300   7.877772E-02   4.985824E-02
   1.400   7.928211E-02   4.967415E-02
   1.500   7.969692E-02   4.958420E-02
   1.600   8.008701E-02   4.953099E-02
   1.700   8.036823E-02   4.962800E-02
   1.800   8.065045E-02   4.972520E-02
   1.900   8.089688E-02   4.989530E-02
   2.000   8.107709E-02   5.019881E-02
   2.100   8.124837E-02   5.055262E-02
   2.200   8.139533E-02   5.103781E-02
   2.300   8.154255E-02   5.152766E-02
   2.400   8.170452E-02   5.207150E-02
   2.500   8.188573E-02   5.268611E-02
   2.600   8.209843E-02   5.331637E-02
   2.700   8.236860E-02   5.396969E-02
   2.800   8.263967E-02   5.463101E-02
   2.900   8.296370E-02   5.527211E-02
   3.000   8.333865E-02   5.589355E-02
   3.100   8.374742E-02   5.647082E-02
   3.200   8.420048E-02   5.698646E-02
   3.300   8.465599E-02   5.750681E-02
   3.400   8.512623E-02   5.794381E-02
   3.500   8.560761E-02   5.832278E-02
   3.600   8.606324E-02   5.862717E-02
   3.700   8.649389E-02   5.885910E-02
   3.800   8.692670E-02   5.909196E-02
   3.900   8.728141E-02   5.924460E-02
   4.000   8.759791E-02   5.935760E-02
   4.100   8.781961E-02   5.943553E-02
   4.200   8.797510E-02   5.948902E-02
   4.300   8.813086E-02   5.954256E-02
   4.400   8.816676E-02   5.960314E-02
   4.500   8.816243E-02   5.966613E-02
   4.600   8.807964E-02   5.977697E-02
   4.700   8.795816E-02   5.991170E-02
   4.800   8.783685E-02   6.004674E-02
   4.900   8.766493E-02   6.025349E-02
   5.000   8.748283E-02   6.047584E-02
   5.100   8.728106E-02   6.072511E-02
   5.200   8.707303E-02   6.098424E-02
   5.300   8.686548E-02   6.124448E-02
   5.400   8.662637E-02   6.146480E-02
   5.500   8.635764E-02   6.163825E-02
   5.600   8.604335E-02   6.173995E-02
   5.700   8.565252E-02   6.172583E-02
   5.800   8.518571E-02   6.160876E-02
   5.900   8.462032E-02   6.136139E-02
   6.000   8.386916E-02   6.089179E-02
   6.100   8.298196E-02   6.026721E-02
   6.200   8.187056E-02   5.940084E-02
   6.300   8.058784E-02   5.836000E-02
   6.400   7.909482E-02   5.710921E-02
   6.500   7.725921E-02   5.553529E-02
   6.600   7.521498E-02   5.377414E-02
   6.700   7.284028E-02   5.172195E-02
   6.800   7.026158E-02   4.950431E-02
   6.900   6.744107E-02   4.709411E-02
   7.000   6.424127E-02   4.438504E-02
   7.100   6.088210E-02   4.157358E-02
   7.200   5.724743E-02   3.857196E-02
   7.300   5.352872E-02   3.554619E-02
   7.400   4.970735E-02   3.248659E-02
   7.500   4.569120E-02   2.932913E-02
   7.600   4.172731E-02   2.627243E-02
   7.700   3.773766E-02   2.325887E-02
   7.800   3.390586E-02   2.042814E-02
   7.900   3.022036E-02   1.776926E-02
   8.000   2.663740E-02   1.524864E-02
   8.100   2.332210E-02   1.297832E-02
   8.200   2.022120E-02   1.091457E-02
   8.300   1.742688E-02   9.110495E-03
   8.400   1.491025E-02   7.536538E-03
   8.500   1.263991E-02   6.162736E-03
   8.600   1.066122E-02   5.007224E-03
   8.700   8.930692E-03   4.032991E-03
   8.800   7.453821E-03   3.233184E-03
   8.900   6.194969E-03   2.578000E-03
   9.000   5.126642E-03   2.044159E-03
   9.100   4.235019E-03   1.617121E-03
   9.200   3.491696E-03   1.276105E-03
   9.300   2.877614E-03   1.006471E-03
   9.400   2.370663E-03   7.934332E-04
   9.500   1.954188E-03   6.258447E-04
   9.600   1.612148E-03   4.940542E-04
   9.700   1.331666E-03   3.905146E-04
   9.800   1.101067E-03   3.089035E-04
   9.900   9.114452E-04   2.445366E-04
  10.000   7.555134E-04   1.936560E-04
  10.100   6.267166E-04   1.533497E-04
  10.200   5.203026E-04   1.213546E-04
  10.300   4.320984E-04   9.595685E-05
  10.400   3.589725E-04   7.579788E-05
  10.500   2.983389E-04   5.980020E-05
  10.600   2.480427E-04   4.716661E-05
  10.700   2.063534E-04   3.720722E-05
  10.800   1.717961E-04   2.938797E-05
  10.900   1.431675E-04   2.325521E-05
  11.000   1.195641E-04   1.849420E-05
  11.100   1.000225E-04   1.477137E-05
  11.200   8.391131E-05   1.188357E-05
  11.300   7.054666E-05   9.612864E-06
  11.400   5.946549E-05   7.827602E-06
  11.500   5.030890E-05   6.429326E-06
  11.600   4.265278E-05   5.304050E-06
  11.700   3.626116E-05   4.397849E-06
  11.800   3.086650E-05   3.650799E-06
  11.900   2.631018E-05   3.033273E-06
  12.000   2.244407E-05   2.513900E-06
  12.100   1.914613E-05   2.077029E-06
  12.200   1.632437E-05   1.706066E-06
  12.300   1.390899E-05   1.394893E-06
  12.400   1.184465E-05   1.135356E-06
  12.500   1.009051E-05   9.235589E-07
  12.600   8.596161E-06   7.512720E-07
  12.700   7.323113E-06   6.111246E-07
  12.800   6.238598E-06   4.971213E-07
  12.900   5.314693E-06   4.043849E-07
  13.000   4.527614E-06   3.289482E-07
  13.100   3.857098E-06   2.675840E-07
  13.200   3.285881E-06   2.176671E-07
  13.300   2.807797E-06   1.779513E-07
  13.400   2.443830E-06   1.499531E-07
  13.500   2.127043E-06   1.263601E-07
  13.600   1.851320E-06   1.064792E-07
  13.700   1.611338E-06   8.972617E-08
  13.800   1.402465E-06   7.560903E-08
  13.900   1.220667E-06   6.371302E-08
  14.000   1.062435E-06   5.368868E-08
  14.100   9.247146E-07   4.524152E-08
  14.200   8.048463E-07   3.812341E-08
  14.300   7.005162E-07   3.212523E-08
  14.400   6.097102E-07   2.707078E-08
  14.500   5.260288E-07   2.237020E-08
  14.600   4.528791E-07   1.839965E-08
  14.700   3.899016E-07   1.513384E-08
  14.800   3.356817E-07   1.244769E-08
  14.900   2.890017E-07   1.023832E-08
  15.000   2.488131E-07   8.421087E-09
  15.100   2.142130E-07   6.926405E-09
  15.200   1.844245E-07   5.697017E-09
  15.300   1.587784E-07   4.685837E-09
  15.400   1.366986E-07   3.854135E-09
  15.500   1.176892E-07   3.170053E-09
  15.600   1.023262E-07   2.692787E-09
  15.700   9.081587E-08   2.446462E-09
  15.800   8.060027E-08   2.222670E-09
  15.900   7.153380E-08   2.019350E-09
  16.000   6.348718E-08   1.834628E-09
  16.100   5.634570E-08   1.666804E-09
  16.200   5.000755E-08   1.514332E-09
  16.300   4.438236E-08   1.375807E-09
  16.400   3.938992E-08   1.249954E-09
  16.500   3.495907E-08   1.135614E-09
  16.600   3.102663E-08   1.031733E-09
  16.700   2.753654E-08   9.373541E-10
  16.800   2.388132E-08   8.468463E-10
  16.900   2.050057E-08   7.631793E-10
  17.000   1.759841E-08   6.877784E-10
  17.100   1.510709E-08   6.198270E-10
  17.200   1.296846E-08   5.585891E-10
  17.300   1.113258E-08   5.034014E-10
  17.400   9.556599E-09   4.536662E-10
  17.500   8.203720E-09   4.088447E-10
  17.600   7.042362E-09   3.684515E-10
  17.700   6.045411E-09   3.320491E-10
  17.800   5.189593E-09   2.992432E-10
  17.900   4.454929E-09   2.696784E-10
  18.000   4.079740E-09   2.732367E-10
  18.100   3.774374E-09   2.819937E-10
  18.200   3.491863E-09   2.910313E-10
  18.300   3.230499E-09   3.003585E-10
  18.400   2.988698E-09   3.099847E-10
  18.500   2.764995E-09   3.199194E-10
  18.600   2.558036E-09   3.301725E-10
  18.700   2.366569E-09   3.407541E-10
  18.800   2.189432E-09   3.516750E-10
  18.900   2.025554E-09   3.629458E-10
  19.000   1.873942E-09   3.745778E-10
  19.100   1.733679E-09   3.865826E-10
  19.200   1.584680E-09   3.773482E-10
  19.300   1.443247E-09   3.622201E-10
  19.400   1.314436E-09   3.476986E-10
  19.500   1.197123E-09   3.337592E-10
  19.600   1.090279E-09   3.203786E-10
  19.700   9.929714E-10   3.075345E-10
  19.800   9.043484E-10   2.952054E-10
  19.900   8.236351E-10   2.833705E-10
 Z= 110 A= 276  10 beta2= 0.23 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.269179E-02   5.239719E-02
   0.100   7.294341E-02   5.227896E-02
   0.200   7.319591E-02   5.216099E-02
   0.300   7.344927E-02   5.204329E-02
   0.400   7.372641E-02   5.191454E-02
   0.500   7.418701E-02   5.169667E-02
   0.600   7.465375E-02   5.147790E-02
   0.700   7.523369E-02   5.119932E-02
   0.800   7.581814E-02   5.092225E-02
   0.900   7.641029E-02   5.064474E-02
   1.000   7.702130E-02   5.036009E-02
   1.100   7.762961E-02   5.008316E-02
   1.200   7.817320E-02   4.986311E-02
   1.300   7.872060E-02   4.964403E-02
   1.400   7.923909E-02   4.945861E-02
   1.500   7.966378E-02   4.937024E-02
   1.600   8.006698E-02   4.931374E-02
   1.700   8.035573E-02   4.941233E-02
   1.800   8.064551E-02   4.951111E-02
   1.900   8.090207E-02   4.967639E-02
   2.000   8.108777E-02   4.998132E-02
   2.100   8.126532E-02   5.033049E-02
   2.200   8.141622E-02   5.081673E-02
   2.300   8.156740E-02   5.130768E-02
   2.400   8.173202E-02   5.184814E-02
   2.500   8.191718E-02   5.246366E-02
   2.600   8.213009E-02   5.309373E-02
   2.700   8.240430E-02   5.374760E-02
   2.800   8.267943E-02   5.440953E-02
   2.900   8.300315E-02   5.505413E-02
   3.000   8.338324E-02   5.567672E-02
   3.100   8.379392E-02   5.626115E-02
   3.200   8.425355E-02   5.677790E-02
   3.300   8.471570E-02   5.729940E-02
   3.400   8.519192E-02   5.774516E-02
   3.500   8.568087E-02   5.812422E-02
   3.600   8.614748E-02   5.843827E-02
   3.700   8.658599E-02   5.867184E-02
   3.800   8.702673E-02   5.890635E-02
   3.900   8.739684E-02   5.906843E-02
   4.000   8.772097E-02   5.918318E-02
   4.100   8.796108E-02   5.926755E-02
   4.200   8.812400E-02   5.932410E-02
   4.300   8.828722E-02   5.938071E-02
   4.400   8.834163E-02   5.944414E-02
   4.500   8.834403E-02   5.951088E-02
   4.600   8.827686E-02   5.962043E-02
   4.700   8.816226E-02   5.975947E-02
   4.800   8.804782E-02   5.989883E-02
   4.900   8.788818E-02   6.010299E-02
   5.000   8.771359E-02   6.032965E-02
   5.100   8.752145E-02   6.057992E-02
   5.200   8.732069E-02   6.084280E-02
   5.300   8.712040E-02   6.110683E-02
   5.400   8.689128E-02   6.133326E-02
   5.500   8.663402E-02   6.151523E-02
   5.600   8.633518E-02   6.163015E-02
   5.700   8.594868E-02   6.161543E-02
   5.800   8.549863E-02   6.151477E-02
   5.900   8.494739E-02   6.127935E-02
   6.000   8.421255E-02   6.082368E-02
   6.100   8.335142E-02   6.022413E-02
   6.200   8.223625E-02   5.935138E-02
   6.300   8.098108E-02   5.833648E-02
   6.400   7.950654E-02   5.710275E-02
   6.500   7.768978E-02   5.554732E-02
   6.600   7.567906E-02   5.381806E-02
   6.700   7.328663E-02   5.175324E-02
   6.800   7.073797E-02   4.956571E-02
   6.900   6.793147E-02   4.717192E-02
   7.000   6.474422E-02   4.447853E-02
   7.100   6.141124E-02   4.169459E-02
   7.200   5.774056E-02   3.867077E-02
   7.300   5.403875E-02   3.566659E-02
   7.400   5.021417E-02   3.261326E-02
   7.500   4.619159E-02   2.946028E-02
   7.600   4.222934E-02   2.641479E-02
   7.700   3.818795E-02   2.337395E-02
   7.800   3.434712E-02   2.054772E-02
   7.900   3.063707E-02   1.788205E-02
   8.000   2.702653E-02   1.535388E-02
   8.100   2.368809E-02   1.307845E-02
   8.200   2.053694E-02   1.099208E-02
   8.300   1.771647E-02   9.181480E-03
   8.400   1.516818E-02   7.597180E-03
   8.500   1.286804E-02   6.214184E-03
   8.600   1.086178E-02   5.050904E-03
   8.700   9.098069E-03   4.065073E-03
   8.800   7.598094E-03   3.259218E-03
   8.900   6.317382E-03   2.598336E-03
   9.000   5.230138E-03   2.059967E-03
   9.100   4.321572E-03   1.628995E-03
   9.200   3.562753E-03   1.284494E-03
   9.300   2.936314E-03   1.012453E-03
   9.400   2.419192E-03   7.976543E-04
   9.500   1.994386E-03   6.288528E-04
   9.600   1.645088E-03   4.960426E-04
   9.700   1.358797E-03   3.917917E-04
   9.800   1.123276E-03   3.096556E-04
   9.900   9.297821E-04   2.449782E-04
  10.000   7.707619E-04   1.939163E-04
  10.100   6.392932E-04   1.534597E-04
  10.200   5.306764E-04   1.213306E-04
  10.300   4.406481E-04   9.587141E-05
  10.400   3.660637E-04   7.568545E-05
  10.500   3.042460E-04   5.967533E-05
  10.600   2.529102E-04   4.702501E-05
  10.700   2.103549E-04   3.705648E-05
  10.800   1.750741E-04   2.923343E-05
  10.900   1.458679E-04   2.310606E-05
  11.000   1.217958E-04   1.835423E-05
  11.100   1.018376E-04   1.463461E-05
  11.200   8.541044E-05   1.176290E-05
  11.300   7.176284E-05   9.498696E-06
  11.400   6.046520E-05   7.725178E-06
  11.500   5.113822E-05   6.338939E-06
  11.600   4.333270E-05   5.223475E-06
  11.700   3.682745E-05   4.328158E-06
  11.800   3.133273E-05   3.589892E-06
  11.900   2.670015E-05   2.981174E-06
  12.000   2.277375E-05   2.469775E-06
  12.100   1.942296E-05   2.040074E-06
  12.200   1.655448E-05   1.673678E-06
  12.300   1.410152E-05   1.367735E-06
  12.400   1.200323E-05   1.111787E-06
  12.500   1.022009E-05   9.032224E-07
  12.600   8.701848E-06   7.337836E-07
  12.700   7.409146E-06   5.961305E-07
  12.800   6.308481E-06   4.843002E-07
  12.900   5.371325E-06   3.934485E-07
  13.000   4.573388E-06   3.196401E-07
  13.100   3.893989E-06   2.596776E-07
  13.200   3.315518E-06   2.109637E-07
  13.300   2.825828E-06   1.716803E-07
  13.400   2.458188E-06   1.446194E-07
  13.500   2.138378E-06   1.218240E-07
  13.600   1.860176E-06   1.026216E-07
  13.700   1.618167E-06   8.644601E-08
  13.800   1.407644E-06   7.282006E-08
  13.900   1.224510E-06   6.134189E-08
  14.000   1.065201E-06   5.167295E-08
  14.100   9.266186E-07   4.352806E-08
  14.200   8.060657E-07   3.666700E-08
  14.300   7.011966E-07   3.088741E-08
  14.400   6.099711E-07   2.601882E-08
  14.500   5.262318E-07   2.152920E-08
  14.600   4.524160E-07   1.768148E-08
  14.700   3.889545E-07   1.452143E-08
  14.800   3.343949E-07   1.192615E-08
  14.900   2.874885E-07   9.794698E-09
  15.000   2.471617E-07   8.044181E-09
  15.100   2.124918E-07   6.606517E-09
  15.200   1.826850E-07   5.425795E-09
  15.300   1.570593E-07   4.456092E-09
  15.400   1.350282E-07   3.659695E-09
  15.500   1.160875E-07   3.005631E-09
  15.600   1.004751E-07   2.523848E-09
  15.700   8.911804E-08   2.298137E-09
  15.800   7.904467E-08   2.092611E-09
  15.900   7.010993E-08   1.905466E-09
  16.000   6.218512E-08   1.735058E-09
  16.100   5.515608E-08   1.579889E-09
  16.200   4.892157E-08   1.438598E-09
  16.300   4.339177E-08   1.309942E-09
  16.400   3.848702E-08   1.192792E-09
  16.500   3.413668E-08   1.086119E-09
  16.600   3.027807E-08   9.889861E-10
  16.700   2.685562E-08   9.005398E-10
  16.800   2.333595E-08   8.170424E-10
  16.900   1.997464E-08   7.393237E-10
  17.000   1.709749E-08   6.689977E-10
  17.100   1.463477E-08   6.053613E-10
  17.200   1.252678E-08   5.477781E-10
  17.300   1.072242E-08   4.956724E-10
  17.400   9.177966E-09   4.485230E-10
  17.500   7.855972E-09   4.058586E-10
  17.600   6.724398E-09   3.672525E-10
  17.700   5.755816E-09   3.323187E-10
  17.800   4.926749E-09   3.007079E-10
  17.900   4.217100E-09   2.721039E-10
  18.000   3.833733E-09   2.714003E-10
  18.100   3.559358E-09   2.800696E-10
  18.200   3.304619E-09   2.890157E-10
  18.300   3.068111E-09   2.982476E-10
  18.400   2.848530E-09   3.077744E-10
  18.500   2.644664E-09   3.176055E-10
  18.600   2.455389E-09   3.277507E-10
  18.700   2.279660E-09   3.382199E-10
  18.800   2.116507E-09   3.490235E-10
  18.900   1.965031E-09   3.601722E-10
  19.000   1.824396E-09   3.716770E-10
  19.100   1.693826E-09   3.835494E-10
  19.200   1.555902E-09   3.784339E-10
  19.300   1.420576E-09   3.640006E-10
  19.400   1.297021E-09   3.501178E-10
  19.500   1.184212E-09   3.367644E-10
  19.600   1.081214E-09   3.239204E-10
  19.700   9.871752E-10   3.115662E-10
  19.800   9.013151E-10   2.996832E-10
  19.900   8.229228E-10   2.882534E-10
 Z= 110 A= 277  10 beta2= 0.24 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.348859E-02   5.241636E-02
   0.100   7.372387E-02   5.229904E-02
   0.200   7.395989E-02   5.218198E-02
   0.300   7.419668E-02   5.206519E-02
   0.400   7.445475E-02   5.193810E-02
   0.500   7.488777E-02   5.172257E-02
   0.600   7.532540E-02   5.150674E-02
   0.700   7.587455E-02   5.123076E-02
   0.800   7.642770E-02   5.095626E-02
   0.900   7.698882E-02   5.068133E-02
   1.000   7.757364E-02   5.039852E-02
   1.100   7.815766E-02   5.012219E-02
   1.200   7.868621E-02   4.990278E-02
   1.300   7.921834E-02   4.968433E-02
   1.400   7.972715E-02   4.949616E-02
   1.500   8.014906E-02   4.940602E-02
   1.600   8.055432E-02   4.934250E-02
   1.700   8.084881E-02   4.943636E-02
   1.800   8.114438E-02   4.953041E-02
   1.900   8.141074E-02   4.968400E-02
   2.000   8.160468E-02   4.998206E-02
   2.100   8.179058E-02   5.031786E-02
