 Z=  69 A= 136  Tm beta2= 0.40 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   9.800   1.305428E-05   4.756835E-05
   9.900   1.057141E-05   4.080222E-05
  10.000   8.554040E-06   3.511044E-05
  10.100   6.913830E-06   3.027964E-05
  10.200   5.584055E-06   2.615029E-05
  10.300   4.502073E-06   2.264362E-05
  10.400   3.627903E-06   1.963780E-05
  10.500   2.922161E-06   1.706941E-05
  10.600   2.355750E-06   1.485879E-05
  10.700   1.900363E-06   1.294652E-05
  10.800   1.537854E-06   1.129489E-05
  10.900   1.255898E-06   9.847322E-06
  11.000   1.032140E-06   8.579979E-06
  11.100   8.482488E-07   7.475741E-06
  11.200   6.971202E-07   6.513618E-06
  11.300   5.729176E-07   5.675320E-06
  11.400   4.708435E-07   4.944910E-06
  11.500   3.869556E-07   4.308504E-06
  11.600   3.180135E-07   3.754002E-06
  11.700   2.593216E-07   3.261701E-06
  11.800   2.095553E-07   2.824754E-06
  11.900   1.693396E-07   2.446341E-06
  12.000   1.368417E-07   2.118622E-06
  12.100   1.105805E-07   1.834805E-06
  12.200   8.935899E-08   1.589009E-06
  12.300   7.221014E-08   1.376141E-06
  12.400   5.835231E-08   1.191789E-06
  12.500   4.715394E-08   1.032134E-06
  12.600   3.810464E-08   8.938658E-07
  12.700   3.130616E-08   7.738649E-07
  12.800   2.645302E-08   6.695983E-07
  12.900   2.235222E-08   5.793800E-07
  13.000   1.888714E-08   5.013173E-07
  13.100   1.595922E-08   4.337724E-07
  13.200   1.348519E-08   3.753281E-07
  13.300   1.139469E-08   3.247583E-07
  13.400   9.628263E-09   2.810021E-07
  13.500   8.135671E-09   2.431413E-07
  13.600   6.874464E-09   2.103817E-07
  13.700   5.740918E-09   1.808098E-07
  13.800   4.478295E-09   1.494186E-07
  13.900   3.493366E-09   1.234773E-07
  14.000   2.725057E-09   1.020398E-07
  14.100   2.125724E-09   8.432421E-08
  14.200   1.658205E-09   6.968429E-08
  14.300   1.293510E-09   5.758607E-08
  14.400   1.009023E-09   4.758828E-08
  14.500   7.871047E-10   3.932625E-08
  14.600   6.139937E-10   3.249863E-08
  14.700   4.789557E-10   2.685639E-08
  14.800   4.302623E-10   2.312314E-08
  14.900   4.011178E-10   2.012449E-08
  15.000   3.739474E-10   1.751472E-08
  15.100   3.486175E-10   1.524338E-08
  15.200   3.250034E-10   1.326660E-08
  15.300   3.029888E-10   1.154616E-08
  15.400   2.824653E-10   1.004884E-08
  15.500   2.633321E-10   8.745690E-09
  15.600   2.454949E-10   7.611535E-09
  15.700   2.288659E-10   6.624460E-09
  15.800   2.059383E-10   6.122999E-09
  15.900   1.675372E-10   6.716821E-09
  16.000   1.362967E-10   7.368232E-09
  16.100   1.108816E-10   8.082819E-09
  16.200   9.020564E-11   8.866707E-09
  16.300   7.338510E-11   9.726619E-09
  16.400   5.970106E-11   1.066993E-08
  16.500   4.856867E-11   1.170472E-08
  16.600   3.951213E-11   1.283987E-08
  16.700   3.214434E-11   1.408510E-08
  16.800   2.615042E-11   1.545111E-08
  16.900   2.391947E-11   1.647136E-08
  17.000   2.471727E-11   1.704363E-08
  17.100   2.554169E-11   1.763579E-08
  17.200   2.639360E-11   1.824852E-08
  17.300   2.727392E-11   1.888253E-08
  17.400   2.818361E-11   1.953858E-08
  17.500   2.912363E-11   2.021742E-08
  17.600   3.009502E-11   2.091984E-08
  17.700   3.109880E-11   2.164667E-08
  17.800   3.213606E-11   2.239875E-08
  17.900   3.320791E-11   2.317696E-08
  18.000   3.520777E-11   2.339162E-08
  18.100   3.878714E-11   2.274512E-08
  18.200   4.273041E-11   2.211649E-08
  18.300   4.707456E-11   2.150523E-08
  18.400   5.186037E-11   2.091086E-08
  18.500   5.713272E-11   2.033292E-08
  18.600   6.294107E-11   1.977096E-08
  18.700   6.933993E-11   1.922453E-08
  18.800   7.638933E-11   1.869320E-08
  18.900   8.415540E-11   1.817655E-08
  19.000   9.271099E-11   1.767418E-08
  19.100   1.021364E-10   1.718570E-08
  19.200   1.055491E-10   1.527729E-08
  19.300   1.081288E-10   1.341573E-08
  19.400   1.107715E-10   1.178100E-08
  19.500   1.134787E-10   1.034546E-08
  19.600   1.162522E-10   9.084848E-09
  19.700   1.190934E-10   7.977843E-09
  19.800   1.220041E-10   7.005729E-09
  19.900   1.249859E-10   6.152069E-09
 Z=  69 A= 138  Tm beta2= 0.38 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.912256E-02   7.002318E-02
   0.100   7.911914E-02   7.006037E-02
   0.200   7.911571E-02   7.009759E-02
   0.300   7.911328E-02   7.014328E-02
   0.400   7.911462E-02   7.022087E-02
   0.500   7.913145E-02   7.033393E-02
   0.600   7.915447E-02   7.046130E-02
   0.700   7.920250E-02   7.062577E-02
   0.800   7.927236E-02   7.081890E-02
   0.900   7.938684E-02   7.106042E-02
   1.000   7.950926E-02   7.130998E-02
   1.100   7.968180E-02   7.160683E-02
   1.200   7.988664E-02   7.192986E-02
   1.300   8.011002E-02   7.226844E-02
   1.400   8.035099E-02   7.261813E-02
   1.500   8.060365E-02   7.297460E-02
   1.600   8.085308E-02   7.332112E-02
   1.700   8.110087E-02   7.366675E-02
   1.800   8.131214E-02   7.397487E-02
   1.900   8.148175E-02   7.424663E-02
   2.000   8.161931E-02   7.449043E-02
   2.100   8.170633E-02   7.469192E-02
   2.200   8.174401E-02   7.485208E-02
   2.300   8.167297E-02   7.492648E-02
   2.400   8.160199E-02   7.500096E-02
   2.500   8.142217E-02   7.499013E-02
   2.600   8.119337E-02   7.494215E-02
   2.700   8.091581E-02   7.485697E-02
