 Z=  65 A= 128  Tb beta2= 0.44 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
  11.400   4.109754E-07   4.437214E-06
  11.500   3.386255E-07   3.859776E-06
  11.600   2.762413E-07   3.330009E-06
  11.700   2.244242E-07   2.863235E-06
  11.800   1.823269E-07   2.461889E-06
  11.900   1.481262E-07   2.116801E-06
  12.000   1.203408E-07   1.820085E-06
  12.100   9.776741E-08   1.564960E-06
  12.200   7.942829E-08   1.345596E-06
  12.300   6.452921E-08   1.156982E-06
  12.400   5.242488E-08   9.948051E-07
  12.500   4.259107E-08   8.553612E-07
  12.600   3.556387E-08   7.302374E-07
  12.700   3.002087E-08   6.216560E-07
  12.800   2.534181E-08   5.292200E-07
  12.900   2.139203E-08   4.505285E-07
  13.000   1.805786E-08   3.835380E-07
  13.100   1.524335E-08   3.265085E-07
  13.200   1.286752E-08   2.779589E-07
  13.300   1.086198E-08   2.366283E-07
  13.400   9.169030E-09   2.014432E-07
  13.500   7.739942E-09   1.714900E-07
  13.600   6.286586E-09   1.415026E-07
  13.700   4.973386E-09   1.142936E-07
  13.800   3.934500E-09   9.231645E-08
  13.900   3.112625E-09   7.456523E-08
  14.000   2.462432E-09   6.022733E-08
  14.100   1.948056E-09   4.864642E-08
  14.200   1.541129E-09   3.929237E-08
  14.300   1.219203E-09   3.173697E-08
  14.400   9.645251E-10   2.563438E-08
  14.500   7.630463E-10   2.070523E-08
  14.600   6.344840E-10   1.782882E-08
  14.700   5.806451E-10   1.736294E-08
  14.800   5.313748E-10   1.690924E-08
  14.900   4.862852E-10   1.646740E-08
  15.000   4.450217E-10   1.603710E-08
  15.100   4.072596E-10   1.561804E-08
  15.200   3.727018E-10   1.520993E-08
  15.300   3.410763E-10   1.481249E-08
  15.400   3.121345E-10   1.442543E-08
  15.500   2.856484E-10   1.404849E-08
  15.600   2.614099E-10   1.368140E-08
  15.700   2.092398E-10   1.439806E-08
  15.800   1.654370E-10   1.526037E-08
  15.900   1.308040E-10   1.617434E-08
  16.000   1.034211E-10   1.714304E-08
  16.100   8.177064E-11   1.816976E-08
