 Z= 105 A= 232  Db beta2= 0.00 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   5.300   8.025674E-02   6.716830E-02
   5.400   7.971488E-02   6.702934E-02
   5.500   7.906877E-02   6.675831E-02
   5.600   7.823732E-02   6.626815E-02
   5.700   7.728493E-02   6.563662E-02
   5.800   7.607478E-02   6.471995E-02
   5.900   7.473932E-02   6.366744E-02
   6.000   7.318944E-02   6.238772E-02
   6.100   7.130953E-02   6.077538E-02
   6.200   6.925165E-02   5.898530E-02
   6.300   6.681647E-02   5.683264E-02
   6.400   6.425394E-02   5.456051E-02
   6.500   6.144858E-02   5.206300E-02
   6.600   5.828884E-02   4.924371E-02
   6.700   5.501156E-02   4.632440E-02
   6.800   5.141287E-02   4.312606E-02
   6.900   4.782398E-02   3.994830E-02
   7.000   4.413853E-02   3.669804E-02
   7.100   4.029439E-02   3.332442E-02
   7.200   3.654310E-02   3.005169E-02
   7.300   3.273918E-02   2.675425E-02
   7.400   2.916962E-02   2.368033E-02
   7.500   2.575254E-02   2.075850E-02
   7.600   2.246460E-02   1.796954E-02
   7.700   1.946158E-02   1.544316E-02
   7.800   1.665525E-02   1.310320E-02
   7.900   1.418171E-02   1.105922E-02
   8.000   1.197546E-02   9.253476E-03
   8.100   1.001195E-02   7.663677E-03
   8.200   8.326261E-03   6.312354E-03
   8.300   6.865004E-03   5.154271E-03
   8.400   5.643317E-03   4.196285E-03
   8.500   4.616710E-03   3.400192E-03
   8.600   3.759630E-03   2.743389E-03
   8.700   3.055284E-03   2.209427E-03
   8.800   2.476753E-03   1.776039E-03
   8.900   2.007204E-03   1.427684E-03
   9.000   1.626042E-03   1.147787E-03
   9.100   1.317903E-03   9.239101E-04
   9.200   1.068580E-03   7.442785E-04
   9.300   8.674273E-04   6.006371E-04
   9.400   7.045584E-04   4.851255E-04
   9.500   5.728254E-04   3.923669E-04
   9.600   4.661252E-04   3.177502E-04
   9.700   3.793533E-04   2.574134E-04
   9.800   3.087222E-04   2.086253E-04
   9.900   2.512219E-04   1.691181E-04
  10.000   2.044039E-04   1.371413E-04
  10.100   1.662695E-04   1.112986E-04
  10.200   1.352295E-04   9.038062E-05
  10.300   1.100071E-04   7.353693E-05
  10.400   8.954290E-05   5.993084E-05
  10.500   7.296394E-05   4.898110E-05
  10.600   5.960098E-05   4.024357E-05
  10.700   4.876614E-05   3.317659E-05
  10.800   4.004920E-05   2.754113E-05
  10.900   3.295547E-05   2.293987E-05
  11.000   2.720726E-05   1.921355E-05
  11.100   2.255270E-05   1.619922E-05
  11.200   1.872858E-05   1.370097E-05
  11.300   1.559218E-05   1.164131E-05
  11.400   1.298791E-05   9.902676E-06
  11.500   1.082703E-05   8.438831E-06
  11.600   9.019229E-06   7.194634E-06
  11.700   7.504630E-06   6.130779E-06
  11.800   6.227007E-06   5.215592E-06
  11.900   5.159784E-06   4.433153E-06
  12.000   4.267456E-06   3.764041E-06
  12.100   3.535320E-06   3.202600E-06
  12.200   2.928791E-06   2.724903E-06
  12.300   2.426320E-06   2.318458E-06
  12.400   2.010054E-06   1.972639E-06
  12.500   1.665204E-06   1.678402E-06
  12.600   1.379517E-06   1.428053E-06
  12.700   1.142843E-06   1.215045E-06
  12.800   9.467741E-07   1.033810E-06
  12.900   7.906358E-07   8.823348E-07
  13.000   6.755967E-07   7.597871E-07
  13.100   5.772960E-07   6.542602E-07
  13.200   4.932983E-07   5.633899E-07
  13.300   4.215224E-07   4.851406E-07
  13.400   3.601901E-07   4.177593E-07
  13.500   3.077817E-07   3.597366E-07
  13.600   2.629988E-07   3.097728E-07
  13.700   2.247320E-07   2.667484E-07
  13.800   1.920330E-07   2.296996E-07
  13.900   1.640918E-07   1.977966E-07
  14.000   1.396267E-07   1.708172E-07
  14.100   1.170779E-07   1.490096E-07
  14.200   9.817059E-08   1.299861E-07
  14.300   8.231670E-08   1.133913E-07
  14.400   6.902310E-08   9.891508E-08
  14.500   5.787633E-08   8.628698E-08
  14.600   4.852969E-08   7.527105E-08
  14.700   4.069247E-08   6.566149E-08
  14.800   3.412090E-08   5.727874E-08
  14.900   2.861060E-08   4.996618E-08
  15.000   2.399018E-08   4.358719E-08
  15.100   2.017749E-08   3.805401E-08
  15.200   1.810774E-08   3.381083E-08
  15.300   1.625030E-08   3.004078E-08
  15.400   1.458339E-08   2.669111E-08
  15.500   1.308747E-08   2.371494E-08
  15.600   1.174500E-08   2.107063E-08
  15.700   1.054023E-08   1.872117E-08
  15.800   9.459045E-09   1.663368E-08
  15.900   8.488763E-09   1.477896E-08
  16.000   7.618011E-09   1.313104E-08
  16.100   6.836578E-09   1.166688E-08
  16.200   6.135302E-09   1.036597E-08
  16.300   5.341927E-09   9.237437E-09
  16.400   4.597562E-09   8.241111E-09
  16.500   3.956920E-09   7.352246E-09
  16.600   3.405547E-09   6.559252E-09
  16.700   2.931005E-09   5.851788E-09
  16.800   2.522587E-09   5.220629E-09
  16.900   2.171080E-09   4.657545E-09
  17.000   1.868553E-09   4.155195E-09
  17.100   1.608182E-09   3.707026E-09
  17.200   1.384091E-09   3.307196E-09
  17.300   1.191227E-09   2.950490E-09
  17.400   1.051556E-09   2.658892E-09
  17.500   1.021726E-09   2.489174E-09
  17.600   9.927417E-10   2.330289E-09
  17.700   9.645797E-10   2.181545E-09
  17.800   9.372167E-10   2.042296E-09
  17.900   9.106298E-10   1.911935E-09
  18.000   8.847972E-10   1.789895E-09
  18.100   8.596974E-10   1.675645E-09
  18.200   8.353096E-10   1.568688E-09
  18.300   8.116137E-10   1.468558E-09
  18.400   7.885900E-10   1.374819E-09
  18.500   7.662194E-10   1.287064E-09
  18.600   7.410255E-10   1.180255E-09
  18.700   7.123220E-10   1.053519E-09
  18.800   6.847303E-10   9.403917E-10
  18.900   6.582075E-10   8.394122E-10
  19.000   6.327119E-10   7.492758E-10
  19.100   6.082040E-10   6.688183E-10
  19.200   5.846453E-10   5.970004E-10
  19.300   5.619992E-10   5.328943E-10
  19.400   5.402302E-10   4.756719E-10
  19.500   5.193045E-10   4.245941E-10
  19.600   4.991894E-10   3.790011E-10
  19.700   4.798534E-10   3.383038E-10
  19.800   4.809624E-10   3.226464E-10
  19.900   5.290940E-10   3.565711E-10
 Z= 105 A= 240  Db beta2= 0.40 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.740926E-02   6.155857E-02
   0.100   7.769150E-02   6.140344E-02
   0.200   7.797477E-02   6.124870E-02
   0.300   7.825908E-02   6.109435E-02
   0.400   7.862320E-02   6.089233E-02
   0.500   7.913303E-02   6.060403E-02
   0.600   7.968751E-02   6.028069E-02
   0.700   8.030812E-02   5.990500E-02
   0.800   8.093356E-02   5.953166E-02
   0.900   8.154822E-02   5.913806E-02
   1.000   8.216178E-02   5.873886E-02
   1.100   8.266782E-02   5.838216E-02
   1.200   8.314500E-02   5.803885E-02
   1.300   8.360192E-02   5.771139E-02
   1.400   8.387436E-02   5.749718E-02
   1.500   8.411400E-02   5.731285E-02
   1.600   8.417169E-02   5.728623E-02
   1.700   8.422942E-02   5.725962E-02
   1.800   8.420450E-02   5.733321E-02
   1.900   8.409294E-02   5.751234E-02
   2.000   8.393851E-02   5.778680E-02
   2.100   8.374692E-02   5.814582E-02
   2.200   8.355577E-02   5.850706E-02
   2.300   8.336947E-02   5.897268E-02
   2.400   8.318428E-02   5.945809E-02
   2.500   8.307188E-02   5.997774E-02
   2.600   8.296660E-02   6.050488E-02
   2.700   8.288874E-02   6.102710E-02
   2.800   8.289591E-02   6.152385E-02
   2.900   8.293365E-02   6.199651E-02
   3.000   8.304635E-02   6.240345E-02
   3.100   8.315919E-02   6.281306E-02
   3.200   8.331244E-02   6.314770E-02
   3.300   8.349059E-02   6.343653E-02
   3.400   8.366850E-02   6.364296E-02
