 Z=  78 A= 162  Pt beta2= 0.06 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
  10.500   7.592196E-06   1.457200E-05
  10.600   6.185107E-06   1.235325E-05
  10.700   5.032576E-06   1.048571E-05
  10.800   4.089153E-06   8.912008E-06
  10.900   3.321505E-06   7.580840E-06
  11.000   2.699105E-06   6.457931E-06
  11.100   2.195570E-06   5.505076E-06
  11.200   1.791486E-06   4.699545E-06
  11.300   1.487579E-06   4.027725E-06
  11.400   1.235227E-06   3.451945E-06
  11.500   1.025684E-06   2.958475E-06
  11.600   8.516874E-07   2.535549E-06
  11.700   7.072077E-07   2.173081E-06
  11.800   5.872374E-07   1.862430E-06
  11.900   4.876188E-07   1.596188E-06
  12.000   4.048994E-07   1.368006E-06
  12.100   3.344739E-07   1.168962E-06
  12.200   2.757711E-07   9.977858E-07
  12.300   2.273710E-07   8.516757E-07
  12.400   1.874656E-07   7.269611E-07
  12.500   1.545639E-07   6.205090E-07
  12.600   1.274367E-07   5.296452E-07
  12.700   1.050706E-07   4.520869E-07
  12.800   8.662984E-08   3.858859E-07
  12.900   7.142561E-08   3.293789E-07
  13.000   5.888985E-08   2.811465E-07
  13.100   4.923705E-08   2.420771E-07
  13.200   4.228758E-08   2.119605E-07
  13.300   3.631897E-08   1.855907E-07
  13.400   3.119280E-08   1.625016E-07
  13.500   2.679014E-08   1.422849E-07
  13.600   2.300890E-08   1.245834E-07
  13.700   1.976135E-08   1.090841E-07
  13.800   1.697217E-08   9.551306E-08
  13.900   1.457666E-08   8.363038E-08
  14.000   1.251927E-08   7.322601E-08
  14.100   1.075226E-08   6.411604E-08
  14.200   8.909415E-09   5.574685E-08
  14.300   7.323369E-09   4.839399E-08
  14.400   6.019670E-09   4.201094E-08
  14.500   4.948055E-09   3.646981E-08
  14.600   4.067207E-09   3.165954E-08
  14.700   3.343167E-09   2.748372E-08
  14.800   2.748019E-09   2.385869E-08
  14.900   2.258820E-09   2.071179E-08
  15.000   1.856707E-09   1.797996E-08
  15.100   1.526178E-09   1.560845E-08
  15.200   1.275059E-09   1.364748E-08
  15.300   1.162470E-09   1.240243E-08
  15.400   1.059823E-09   1.127097E-08
  15.500   9.662396E-10   1.024273E-08
  15.600   8.809197E-10   9.308290E-09
  15.700   8.031337E-10   8.459102E-09
  15.800   7.322163E-10   7.687385E-09
  15.900   6.675609E-10   6.986070E-09
  16.000   6.086147E-10   6.348737E-09
  16.100   5.548734E-10   5.769546E-09
  16.200   5.058776E-10   5.243195E-09
  16.300   4.496259E-10   4.762128E-09
  16.400   3.782234E-10   4.319828E-09
  16.500   3.181599E-10   3.918608E-09
  16.600   2.676347E-10   3.554653E-09
  16.700   2.251331E-10   3.224502E-09
  16.800   1.893810E-10   2.925015E-09
  16.900   1.593065E-10   2.653343E-09
  17.000   1.340079E-10   2.406905E-09
  17.100   1.127269E-10   2.183355E-09
  17.200   9.482537E-11   1.980568E-09
  17.300   7.976669E-11   1.796615E-09
  17.400   6.950568E-11   1.647614E-09
  17.500   6.814693E-11   1.567140E-09
  17.600   6.681474E-11   1.490597E-09
  17.700   6.550860E-11   1.417792E-09
  17.800   6.422799E-11   1.348543E-09
  17.900   6.297241E-11   1.282677E-09
  18.000   6.174138E-11   1.220027E-09
  18.100   6.053442E-11   1.160438E-09
  18.200   5.935104E-11   1.103759E-09
  18.300   5.819081E-11   1.049849E-09
  18.400   5.705325E-11   9.985712E-10
  18.500   5.593793E-11   9.497983E-10
  18.600   5.901363E-11   8.862507E-10
  18.700   6.330256E-11   8.233635E-10
  18.800   6.790319E-11   7.649386E-10
