 Z= 104 A= 230  Rf beta2= 0.00 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   8.800   2.375212E-03   1.682433E-03
   8.900   1.925902E-03   1.352631E-03
   9.000   1.561078E-03   1.087631E-03
   9.100   1.266009E-03   8.756258E-04
   9.200   1.027472E-03   7.057500E-04
   9.300   8.346616E-04   5.696510E-04
   9.400   6.785730E-04   4.603305E-04
   9.500   5.520616E-04   3.723755E-04
   9.600   4.494520E-04   3.015565E-04
   9.700   3.659953E-04   2.443252E-04
   9.800   2.980562E-04   1.980399E-04
   9.900   2.426834E-04   1.605672E-04
  10.000   1.975541E-04   1.302186E-04
  10.100   1.607743E-04   1.056883E-04
  10.200   1.308535E-04   8.587385E-05
  10.300   1.065287E-04   6.988975E-05
  10.400   8.679841E-05   5.701941E-05
  10.500   7.079333E-05   4.664463E-05
  10.600   5.788141E-05   3.836129E-05
  10.700   4.742749E-05   3.168081E-05
  10.800   3.897493E-05   2.630658E-05
  10.900   3.211913E-05   2.195112E-05
  11.000   2.654234E-05   1.840428E-05
  11.100   2.201633E-05   1.552800E-05
  11.200   1.829763E-05   1.314439E-05
  11.300   1.523713E-05   1.116570E-05
  11.400   1.269715E-05   9.500800E-06
  11.500   1.058408E-05   8.094303E-06
  11.600   8.813932E-06   6.897021E-06
  11.700   7.329956E-06   5.873227E-06
  11.800   6.083355E-06   4.995680E-06
  11.900   5.038196E-06   4.243912E-06
  12.000   4.168910E-06   3.605244E-06
  12.100   3.453724E-06   3.068662E-06
  12.200   2.861230E-06   2.611941E-06
  12.300   2.370380E-06   2.223195E-06
  12.400   1.963736E-06   1.892308E-06
  12.500   1.626852E-06   1.610669E-06
  12.600   1.347762E-06   1.370947E-06
  12.700   1.116551E-06   1.166903E-06
  12.800   9.250038E-07   9.932285E-07
  12.900   7.772296E-07   8.499281E-07
  13.000   6.635594E-07   7.316949E-07
  13.100   5.665134E-07   6.299090E-07
  13.200   4.836605E-07   5.422826E-07
  13.300   4.129249E-07   4.668458E-07
  13.400   3.525344E-07   4.019030E-07
  13.500   3.009761E-07   3.459944E-07
  13.600   2.569582E-07   2.978632E-07
  13.700   2.193779E-07   2.564276E-07
  13.800   1.872938E-07   2.207560E-07
  13.900   1.599019E-07   1.900467E-07
  14.000   1.353005E-07   1.646549E-07
  14.100   1.132492E-07   1.437616E-07
  14.200   9.479189E-08   1.255195E-07
  14.300   7.934272E-08   1.095921E-07
  14.400   6.641145E-08   9.568583E-08
  14.500   5.558771E-08   8.354412E-08
  14.600   4.652803E-08   7.294308E-08
  14.700   3.894490E-08   6.368723E-08
  14.800   3.259766E-08   5.560587E-08
  14.900   2.728489E-08   4.854996E-08
  15.000   2.283800E-08   4.238939E-08
  15.100   1.950436E-08   3.719182E-08
  15.200   1.749838E-08   3.302426E-08
  15.300   1.569870E-08   2.932369E-08
  15.400   1.408412E-08   2.603780E-08
  15.500   1.263560E-08   2.312011E-08
  15.600   1.133605E-08   2.052937E-08
  15.700   1.017016E-08   1.822893E-08
  15.800   9.124177E-09   1.618627E-08
  15.900   8.185773E-09   1.437250E-08
  16.000   7.343882E-09   1.276198E-08
  16.100   6.588578E-09   1.133192E-08
  16.200   5.910955E-09   1.006212E-08
  16.300   5.072112E-09   8.995186E-09
  16.400   4.349161E-09   8.042271E-09
  16.500   3.729256E-09   7.190304E-09
  16.600   3.197709E-09   6.428591E-09
  16.700   2.741926E-09   5.747572E-09
  16.800   2.351107E-09   5.138696E-09
  16.900   2.015994E-09   4.594323E-09
  17.000   1.728645E-09   4.107618E-09
  17.100   1.482254E-09   3.672473E-09
  17.200   1.270982E-09   3.283426E-09
  17.300   1.089823E-09   2.935593E-09
  17.400   9.945332E-10   2.680868E-09
  17.500   9.693648E-10   2.503783E-09
  17.600   9.448333E-10   2.338395E-09
  17.700   9.209226E-10   2.183932E-09
  17.800   8.976170E-10   2.039673E-09
  17.900   8.749012E-10   1.904942E-09
  18.000   8.527603E-10   1.779111E-09
  18.100   8.311797E-10   1.661592E-09
  18.200   8.101452E-10   1.551835E-09
  18.300   7.896430E-10   1.449329E-09
  18.400   7.696597E-10   1.353593E-09
  18.500   7.501821E-10   1.264181E-09
  18.600   7.236930E-10   1.145936E-09
  18.700   6.954535E-10   1.027225E-09
  18.800   6.683159E-10   9.208116E-10
  18.900   6.422373E-10   8.254218E-10
  19.000   6.171763E-10   7.399137E-10
  19.100   5.930933E-10   6.632636E-10
  19.200   5.699499E-10   5.945540E-10
  19.300   5.477097E-10   5.329622E-10
  19.400   5.263373E-10   4.777510E-10
  19.500   5.057989E-10   4.282592E-10
  19.600   4.860619E-10   3.838945E-10
  19.700   4.670951E-10   3.441256E-10
  19.800   4.884475E-10   3.498403E-10
  19.900   5.376913E-10   3.839132E-10
 Z= 104 A= 233  Rf beta2=-0.31 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.900168E-02   6.379426E-02
   0.100   7.929071E-02   6.363097E-02
   0.200   7.958081E-02   6.346809E-02
   0.300   7.987196E-02   6.330563E-02
   0.400   8.025577E-02   6.308626E-02
   0.500   8.077738E-02   6.278348E-02
   0.600   8.135165E-02   6.243553E-02
   0.700   8.198424E-02   6.203894E-02
   0.800   8.262174E-02   6.164486E-02
   0.900   8.324144E-02   6.122333E-02
   1.000   8.386157E-02   6.079922E-02
   1.100   8.434412E-02   6.042325E-02
   1.200   8.481685E-02   6.005357E-02
   1.300   8.522796E-02   5.972176E-02
   1.400   8.548003E-02   5.948028E-02
   1.500   8.564841E-02   5.930688E-02
   1.600   8.566626E-02   5.925367E-02
   1.700   8.568412E-02   5.920051E-02
   1.800   8.556359E-02   5.929750E-02
   1.900   8.539140E-02   5.945121E-02
   2.000   8.513843E-02   5.974901E-02
   2.100   8.486600E-02   6.008447E-02
   2.200   8.459243E-02   6.044190E-02
   2.300   8.430985E-02   6.090169E-02
   2.400   8.404457E-02   6.137387E-02
   2.500   8.383149E-02   6.187794E-02
   2.600   8.361896E-02   6.238616E-02
   2.700   8.347401E-02   6.287718E-02
   2.800   8.337231E-02   6.335825E-02
   2.900   8.334751E-02   6.378038E-02
   3.000   8.335853E-02   6.417594E-02
   3.100   8.337359E-02   6.456793E-02
   3.200   8.346540E-02   6.484714E-02
   3.300   8.355967E-02   6.511266E-02
   3.400   8.367089E-02   6.527272E-02
   3.500   8.378226E-02   6.543318E-02
   3.600   8.387363E-02   6.554581E-02
   3.700   8.394421E-02   6.560860E-02
   3.800   8.396407E-02   6.564436E-02
   3.900   8.394469E-02   6.565917E-02
   4.000   8.392532E-02   6.567399E-02
   4.100   8.381220E-02   6.569579E-02
   4.200   8.369201E-02   6.571840E-02
   4.300   8.349368E-02   6.579925E-02
   4.400   8.329582E-02   6.588020E-02
   4.500   8.308062E-02   6.598819E-02
