 Z=  79 A= 164  Au beta2= 0.06 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   4.500   7.926582E-02   7.088251E-02
   4.600   7.882432E-02   7.059586E-02
   4.700   7.816412E-02   7.012164E-02
   4.800   7.737900E-02   6.954100E-02
   4.900   7.632925E-02   6.872989E-02
   5.000   7.502945E-02   6.769928E-02
   5.100   7.363913E-02   6.658631E-02
   5.200   7.185010E-02   6.511811E-02
   5.300   6.988600E-02   6.348800E-02
   5.400   6.755176E-02   6.152013E-02
   5.500   6.492271E-02   5.927589E-02
   5.600   6.224088E-02   5.697277E-02
   5.700   5.912454E-02   5.426113E-02
   5.800   5.590000E-02   5.143700E-02
   5.900   5.236289E-02   4.830876E-02
   6.000   4.864889E-02   4.500121E-02
   6.100   4.503742E-02   4.177133E-02
   6.200   4.116935E-02   3.828574E-02
   6.300   3.739800E-02   3.487300E-02
   6.400   3.356652E-02   3.138763E-02
   6.500   2.982741E-02   2.797201E-02
   6.600   2.638969E-02   2.482090E-02
   6.700   2.300943E-02   2.171073E-02
   6.800   1.992500E-02   1.886300E-02
   6.900   1.704059E-02   1.619042E-02
   7.000   1.443409E-02   1.376799E-02
   7.100   1.217521E-02   1.166081E-02
   7.200   1.013990E-02   9.756464E-03
   7.300   8.398800E-03   8.120900E-03
   7.400   6.893128E-03   6.701624E-03
   7.500   5.623133E-03   5.499735E-03
   7.600   4.575030E-03   4.502502E-03
   7.700   3.697651E-03   3.664600E-03
   7.800   2.981600E-03   2.976700E-03
   7.900   2.396656E-03   2.412197E-03
   8.000   1.923960E-03   1.953405E-03
   8.100   1.543620E-03   1.581402E-03
   8.200   1.237855E-03   1.280734E-03
   8.300   9.927300E-04   1.037700E-03
   8.400   7.965788E-04   8.419131E-04
   8.500   6.394908E-04   6.838534E-04
   8.600   5.134879E-04   5.557457E-04
   8.700   4.125295E-04   4.523049E-04
   8.800   3.314300E-04   3.683100E-04
   8.900   2.663342E-04   3.002366E-04
   9.000   2.140469E-04   2.449324E-04
   9.100   1.720327E-04   1.998818E-04
   9.200   1.383368E-04   1.633444E-04
   9.300   1.112900E-04   1.335900E-04
   9.400   8.965925E-05   1.094859E-04
   9.500   7.236466E-05   8.993758E-05
   9.600   5.845243E-05   7.395340E-05
   9.700   4.737911E-05   6.106519E-05
   9.800   3.847000E-05   5.053100E-05
   9.900   3.134597E-05   4.200044E-05
  10.000   2.560322E-05   3.503285E-05
  10.100   2.093464E-05   2.926579E-05
  10.200   1.715988E-05   2.456132E-05
  10.300   1.407300E-05   2.064900E-05
  10.400   1.154686E-05   1.741339E-05
  10.500   9.468757E-06   1.471034E-05
  10.600   7.762725E-06   1.243626E-05
  10.700   6.354381E-06   1.053217E-05
  10.800   5.197500E-06   8.924400E-06
  10.900   4.247656E-06   7.570626E-06
  11.000   3.472359E-06   6.427954E-06
  11.100   2.838915E-06   5.459873E-06
  11.200   2.326724E-06   4.644716E-06
  11.300   1.931123E-06   3.964210E-06
  11.400   1.611708E-06   3.388284E-06
  11.500   1.345126E-06   2.896029E-06
  11.600   1.122637E-06   2.475290E-06
  11.700   9.369492E-07   2.115677E-06
  11.800   7.819744E-07   1.808308E-06
  11.900   6.526330E-07   1.545595E-06
  12.000   5.446852E-07   1.321048E-06
  12.100   4.538585E-07   1.127527E-06
  12.200   3.769219E-07   9.595527E-07
  12.300   3.130273E-07   8.166028E-07
