 Z= 102 A= 226  No beta2= 0.07 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   9.900   2.066831E-04   1.432409E-04
  10.000   1.677683E-04   1.162701E-04
  10.100   1.361683E-04   9.447701E-05
  10.200   1.105501E-04   7.692829E-05
  10.300   8.977125E-05   6.269871E-05
  10.400   7.299155E-05   5.129429E-05
  10.500   5.943618E-05   4.211092E-05
  10.600   4.851397E-05   3.474001E-05
  10.700   3.973097E-05   2.883791E-05
  10.800   3.257975E-05   2.399467E-05
  10.900   2.682381E-05   2.010809E-05
  11.000   2.214023E-05   1.692537E-05
  11.100   1.832456E-05   1.431505E-05
  11.200   1.519473E-05   1.215358E-05
  11.300   1.260571E-05   1.033085E-05
  11.400   1.046239E-05   8.802726E-06
  11.500   8.675269E-06   7.503094E-06
  11.600   7.181925E-06   6.394765E-06
  11.700   5.928556E-06   5.444309E-06
  11.800   4.888462E-06   4.633116E-06
  11.900   4.016470E-06   3.937025E-06
  12.000   3.304952E-06   3.355891E-06
  12.100   2.720463E-06   2.862683E-06
  12.200   2.239342E-06   2.441960E-06
  12.300   1.843309E-06   2.083071E-06
  12.400   1.517315E-06   1.776926E-06
  12.500   1.248974E-06   1.515775E-06
  12.600   1.028090E-06   1.293005E-06
  12.700   8.462695E-07   1.102975E-06
  12.800   6.967528E-07   9.409498E-07
  12.900   5.889876E-07   8.109147E-07
  13.000   4.978902E-07   6.988500E-07
  13.100   4.208827E-07   6.022720E-07
  13.200   3.557857E-07   5.190407E-07
  13.300   3.007571E-07   4.473116E-07
  13.400   2.542397E-07   3.854952E-07
  13.500   2.149170E-07   3.322215E-07
  13.600   1.816763E-07   2.863099E-07
  13.700   1.535768E-07   2.467432E-07
  13.800   1.298234E-07   2.126444E-07
  13.900   1.096465E-07   1.833483E-07
  14.000   8.989044E-08   1.607199E-07
  14.100   7.369405E-08   1.408843E-07
  14.200   6.041591E-08   1.234968E-07
  14.300   4.953022E-08   1.082552E-07
  14.400   4.060590E-08   9.489462E-08
  14.500   3.328956E-08   8.318299E-08
  14.600   2.729147E-08   7.291678E-08
  14.700   2.237412E-08   6.391759E-08
  14.800   1.834277E-08   5.602906E-08
  14.900   1.503778E-08   4.911412E-08
  15.000   1.232828E-08   4.305259E-08
  15.100   1.090072E-08   3.821116E-08
  15.200   9.712581E-09   3.395690E-08
  15.300   8.653943E-09   3.017630E-08
  15.400   7.710693E-09   2.681661E-08
  15.500   6.870254E-09   2.383097E-08
  15.600   6.121420E-09   2.117774E-08
  15.700   5.454206E-09   1.881990E-08
  15.800   4.859716E-09   1.672458E-08
  15.900   4.330024E-09   1.486254E-08
  16.000   3.858066E-09   1.320782E-08
  16.100   3.437550E-09   1.173732E-08
  16.200   2.908263E-09   1.051758E-08
  16.300   2.390722E-09   9.468188E-09
  16.400   1.965280E-09   8.523496E-09
  16.500   1.615548E-09   7.673062E-09
  16.600   1.328052E-09   6.907480E-09
  16.700   1.091718E-09   6.218284E-09
  16.800   8.974412E-10   5.597852E-09
  16.900   7.377367E-10   5.039325E-09
  17.000   6.064525E-10   4.536525E-09
  17.100   4.985310E-10   4.083891E-09
  17.200   4.098147E-10   3.676420E-09
  17.300   3.516093E-10   3.329073E-09
  17.400   3.633292E-10   3.092403E-09
  17.500   3.754398E-10   2.872558E-09
  17.600   3.879541E-10   2.668343E-09
  17.700   4.008855E-10   2.478645E-09
  17.800   4.142479E-10   2.302434E-09
  17.900   4.280557E-10   2.138749E-09
  18.000   4.423238E-10   1.986702E-09
  18.100   4.570674E-10   1.845463E-09
  18.200   4.723025E-10   1.714266E-09
  18.300   4.880454E-10   1.592396E-09
  18.400   5.043131E-10   1.479189E-09
  18.500   5.064664E-10   1.357980E-09
  18.600   4.926533E-10   1.230423E-09
  18.700   4.792170E-10   1.114848E-09
  18.800   4.661471E-10   1.010128E-09
  18.900   4.534337E-10   9.152457E-10
  19.000   4.410670E-10   8.292754E-10
  19.100   4.290376E-10   7.513804E-10
  19.200   4.173363E-10   6.808022E-10
  19.300   4.059541E-10   6.168535E-10
  19.400   3.948824E-10   5.589116E-10
  19.500   3.841126E-10   5.064122E-10
  19.600   3.736365E-10   4.588442E-10
  19.700   3.825450E-10   4.451876E-10
  19.800   4.217507E-10   4.768274E-10
  19.900   4.649744E-10   5.107158E-10
 Z= 102 A= 228  No beta2= 0.00 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   8.058988E-02   6.524736E-02
   0.100   8.089192E-02   6.507613E-02
   0.200   8.119509E-02   6.490535E-02
   0.300   8.149940E-02   6.473502E-02
   0.400   8.190944E-02   6.449896E-02
   0.500   8.245499E-02   6.418028E-02
   0.600   8.306126E-02   6.380808E-02
   0.700   8.372240E-02   6.339007E-02
   0.800   8.438881E-02   6.297479E-02
   0.900   8.503253E-02   6.252573E-02
   1.000   8.567574E-02   6.207801E-02
   1.100   8.616396E-02   6.168001E-02
   1.200   8.665497E-02   6.128456E-02
   1.300   8.705014E-02   6.094335E-02
   1.400   8.730706E-02   6.067692E-02
   1.500   8.743692E-02   6.050743E-02
   1.600   8.744267E-02   6.043142E-02
   1.700   8.744843E-02   6.035551E-02
   1.800   8.726641E-02   6.046787E-02
   1.900   8.706421E-02   6.060120E-02
   2.000   8.674663E-02   6.091423E-02
   2.100   8.642951E-02   6.122996E-02
   2.200   8.610417E-02   6.159439E-02
   2.300   8.576533E-02   6.203571E-02
   2.400   8.545776E-02   6.249794E-02
   2.500   8.518350E-02   6.298291E-02
   2.600   8.491011E-02   6.347164E-02
   2.700   8.473316E-02   6.393527E-02
   2.800   8.457021E-02   6.439813E-02
   2.900   8.452375E-02   6.477566E-02
   3.000   8.448116E-02   6.515246E-02
   3.100   8.447165E-02   6.548881E-02
   3.200   8.452041E-02   6.575143E-02
   3.300   8.458241E-02   6.596067E-02
   3.400   8.466028E-02   6.610522E-02
   3.500   8.473822E-02   6.625010E-02
   3.600   8.478694E-02   6.631339E-02
   3.700   8.483047E-02   6.636217E-02
   3.800   8.479033E-02   6.636681E-02
   3.900   8.474505E-02   6.636873E-02
   4.000   8.466348E-02   6.637299E-02
   4.100   8.451033E-02   6.638191E-02
   4.200   8.431764E-02   6.641446E-02
   4.300   8.407255E-02   6.647852E-02
   4.400   8.382818E-02   6.654264E-02
   4.500   8.353086E-02   6.666043E-02
   4.600   8.322311E-02   6.678998E-02
   4.700   8.287092E-02   6.694333E-02
   4.800   8.251600E-02   6.709922E-02
   4.900   8.214492E-02   6.724271E-02
   5.000   8.173577E-02   6.735732E-02
   5.100   8.126724E-02   6.739339E-02
   5.200   8.072366E-02   6.732711E-02
   5.300   8.015064E-02   6.721714E-02
   5.400   7.942751E-02   6.690842E-02
   5.500   7.861593E-02   6.648304E-02
   5.600   7.761410E-02   6.582440E-02
   5.700   7.641753E-02   6.493955E-02
   5.800   7.515236E-02   6.396898E-02
   5.900   7.356264E-02   6.264571E-02
   6.000   7.181811E-02   6.115639E-02
   6.100   6.974970E-02   5.933819E-02
   6.200   6.739959E-02   5.724429E-02
   6.300   6.498861E-02   5.508932E-02
   6.400   6.215464E-02   5.253701E-02
   6.500   5.918549E-02   4.986652E-02
   6.600   5.589118E-02   4.690559E-02
   6.700   5.237866E-02   4.376049E-02
   6.800   4.892756E-02   4.068417E-02
   6.900   4.517346E-02   3.735678E-02
   7.000   4.146087E-02   3.408530E-02
   7.100   3.763670E-02   3.074045E-02
   7.200   3.384259E-02   2.744681E-02
   7.300   3.030844E-02   2.440166E-02
   7.400   2.677405E-02   2.138333E-02
   7.500   2.349588E-02   1.860864E-02
   7.600   2.037828E-02   1.599510E-02
   7.700   1.750902E-02   1.361330E-02
   7.800   1.498386E-02   1.153764E-02
   7.900   1.266330E-02   9.651456E-03
   8.000   1.064245E-02   8.026986E-03
   8.100   8.862153E-03   6.612677E-03
   8.200   7.331558E-03   5.411616E-03
   8.300   6.048548E-03   4.416319E-03
   8.400   4.953571E-03   3.578119E-03
   8.500   4.045683E-03   2.891361E-03
   8.600   3.291672E-03   2.328578E-03
   8.700   2.673523E-03   1.872925E-03
   8.800   2.169870E-03   1.505626E-03
   8.900   1.759590E-03   1.210295E-03
   9.000   1.427016E-03   9.733025E-04
   9.100   1.158146E-03   7.839021E-04
   9.200   9.408062E-04   6.322536E-04
   9.300   7.645536E-04   5.102489E-04
   9.400   6.221030E-04   4.125559E-04
   9.500   5.063738E-04   3.337660E-04
   9.600   4.124191E-04   2.703094E-04
   9.700   3.359071E-04   2.190041E-04
   9.800   2.735923E-04   1.774665E-04
