Level_Number,Level_Energy,Spin,Parity,Element_w_A,Target_Protons,Target_Neutrons,Atomic_Mass_Micro
45, 13.608000 ,  2.5,  1,15N,7,8,15000108.89894
46, 13.612000 ,  0.5,  1,15N,7,8,15000108.89894
47, 13.713000 ,  2.5,  1,15N,7,8,15000108.89894
48, 13.840000 ,  1.5,  1,15N,7,8,15000108.89894
49, 13.900000 ,  0.5,  1,15N,7,8,15000108.89894
50, 13.990000 ,  2.5,  1,15N,7,8,15000108.89894
51, 14.090000 ,  4.5,  1,15N,7,8,15000108.89894
52, 14.100000 ,  1.5,  1,15N,7,8,15000108.89894
53, 14.162000 ,  1.5,  1,15N,7,8,15000108.89894
54, 14.240000 ,  2.5,  1,15N,7,8,15000108.89894
55, 14.380000 ,  3.5,  1,15N,7,8,15000108.89894
56, 14.400000 ,  1.5,  1,15N,7,8,15000108.89894
1,  0.000000 ,  0.0,  1,16O,8,8,15999000.0
2,  6.049400 ,  0.0,  1,16O,8,8,15999000.0
3,  6.129890 ,  3.0, -1,16O,8,8,15999000.0
4,  6.917100 ,  2.0,  1,16O,8,8,15999000.0
5,  7.116850 ,  1.0, -1,16O,8,8,15999000.0
6,  8.871900 ,  2.0, -1,16O,8,8,15999000.0
7,  9.585000 ,  1.0, -1,16O,8,8,15999000.0
8,  9.844500 ,  2.0,  1,16O,8,8,15999000.0
9, 10.356000 ,  4.0,  1,16O,8,8,15999000.0
10, 10.957000 ,  0.0, -1,16O,8,8,15999000.0
11, 11.080000 ,  3.0,  1,16O,8,8,15999000.0
12, 11.096700 ,  4.0,  1,16O,8,8,15999000.0
13, 11.260000 ,  0.0,  1,16O,8,8,15999000.0
14, 11.520000 ,  2.0,  1,16O,8,8,15999000.0
15, 11.600000 ,  3.0, -1,16O,8,8,15999000.0
16, 12.049000 ,  0.0,  1,16O,8,8,15999000.0
17, 12.440000 ,  1.0, -1,16O,8,8,15999000.0
18, 12.530000 ,  2.0, -1,16O,8,8,15999000.0
19, 12.796000 ,  0.0, -1,16O,8,8,15999000.0
20, 12.968600 ,  2.0, -1,16O,8,8,15999000.0
21, 13.020000 ,  2.0,  1,16O,8,8,15999000.0
22, 13.090000 ,  1.0, -1,16O,8,8,15999000.0
23, 13.129000 ,  3.0, -1,16O,8,8,15999000.0
24, 13.259000 ,  3.0, -1,16O,8,8,15999000.0
25, 13.664000 ,  1.0,  1,16O,8,8,15999000.0
26, 13.869000 ,  4.0,  1,16O,8,8,15999000.0
27, 13.980000 ,  2.0, -1,16O,8,8,15999000.0
28, 14.032000 ,  0.0,  1,16O,8,8,15999000.0
29, 14.100000 ,  3.0, -1,16O,8,8,15999000.0
1,  0.000000 ,  2.5,  1,17O,8,9,16999131.75664
2,  0.870730 ,  0.5,  1,17O,8,9,16999131.75664
3,  3.055360 ,  0.5, -1,17O,8,9,16999131.75664
4,  3.842800 ,  2.5, -1,17O,8,9,16999131.75664
5,  4.553800 ,  1.5, -1,17O,8,9,16999131.75664
6,  5.084800 ,  1.5,  1,17O,8,9,16999131.75664
7,  5.215800 ,  4.5, -1,17O,8,9,16999131.75664
8,  5.379200 ,  1.5, -1,17O,8,9,16999131.75664
9,  5.697300 ,  3.5, -1,17O,8,9,16999131.75664
10,  5.732800 ,  2.5, -1,17O,8,9,16999131.75664
11,  5.869100 ,  1.5,  1,17O,8,9,16999131.75664
12,  5.939000 ,  0.5, -1,17O,8,9,16999131.75664
13,  6.356000 ,  0.5,  1,17O,8,9,16999131.75664
14,  6.862000 ,  2.5,  1,17O,8,9,16999131.75664
15,  6.972000 ,  3.5, -1,17O,8,9,16999131.75664
16,  7.165700 ,  2.5, -1,17O,8,9,16999131.75664
17,  7.202000 ,  1.5,  1,17O,8,9,16999131.75664
18,  7.379200 ,  2.5,  1,17O,8,9,16999131.75664
19,  7.382200 ,  2.5, -1,17O,8,9,16999131.75664
20,  7.559000 ,  1.5, -1,17O,8,9,16999131.75664
21,  7.576000 ,  3.5, -1,17O,8,9,16999131.75664
22,  7.688200 ,  3.5, -1,17O,8,9,16999131.75664
23,  7.757000 ,  5.5, -1,17O,8,9,16999131.75664
24,  7.956000 ,  0.5,  1,17O,8,9,16999131.75664
25,  7.990000 ,  0.5, -1,17O,8,9,16999131.75664
26,  8.070000 ,  1.5,  1,17O,8,9,16999131.75664
27,  8.200000 ,  1.5, -1,17O,8,9,16999131.75664
28,  8.342400 ,  0.5,  1,17O,8,9,16999131.75664
29,  8.402300 ,  2.5,  1,17O,8,9,16999131.75664
30,  8.466000 ,  3.5,  1,17O,8,9,16999131.75664
31,  8.500700 ,  2.5, -1,17O,8,9,16999131.75664
32,  8.687000 ,  1.5, -1,17O,8,9,16999131.75664
33,  8.885000 ,  4.5, -1,17O,8,9,16999131.75664
34,  8.897000 ,  1.5,  1,17O,8,9,16999131.75664
35,  8.967200 ,  3.5, -1,17O,8,9,16999131.75664
36,  9.147000 ,  0.5, -1,17O,8,9,16999131.75664
37,  9.150000 ,  4.5, -1,17O,8,9,16999131.75664
38,  9.180000 ,  3.5, -1,17O,8,9,16999131.75664
39,  9.193900 ,  2.5,  1,17O,8,9,16999131.75664
40,  9.420000 ,  1.5, -1,17O,8,9,16999131.75664
41,  9.492000 ,  2.5, -1,17O,8,9,16999131.75664
42,  9.711900 ,  3.5,  1,17O,8,9,16999131.75664
43,  9.783300 ,  1.5,  1,17O,8,9,16999131.75664
44,  9.858900 ,  2.5, -1,17O,8,9,16999131.75664
45,  9.876500 ,  0.5, -1,17O,8,9,16999131.75664
46,  9.976000 ,  2.5,  1,17O,8,9,16999131.75664
47, 10.045000 ,  2.5,  1,17O,8,9,16999131.75664
1,  0.000000 ,  0.0,  1,18O,8,10,17999159.61284
2,  1.982070 ,  2.0,  1,18O,8,10,17999159.61284
3,  3.554840 ,  4.0,  1,18O,8,10,17999159.61284
4,  3.633760 ,  0.0,  1,18O,8,10,17999159.61284
5,  3.920440 ,  2.0,  1,18O,8,10,17999159.61284
6,  4.455540 ,  1.0, -1,18O,8,10,17999159.61284
7,  5.097780 ,  3.0, -1,18O,8,10,17999159.61284
8,  5.254800 ,  2.0,  1,18O,8,10,17999159.61284
9,  5.336400 ,  0.0,  1,18O,8,10,17999159.61284
10,  5.377800 ,  3.0,  1,18O,8,10,17999159.61284
11,  5.530240 ,  2.0, -1,18O,8,10,17999159.61284
12,  6.198220 ,  1.0, -1,18O,8,10,17999159.61284
13,  6.351300 ,  2.0, -1,18O,8,10,17999159.61284
14,  6.404400 ,  3.0, -1,18O,8,10,17999159.61284
15,  6.880450 ,  0.0, -1,18O,8,10,17999159.61284
16,  7.116900 ,  4.0,  1,18O,8,10,17999159.61284
17,  7.615900 ,  1.0, -1,18O,8,10,17999159.61284
18,  7.771070 ,  2.0, -1,18O,8,10,17999159.61284
19,  7.864000 ,  5.0, -1,18O,8,10,17999159.61284
20,  7.977000 ,  3.0,  1,18O,8,10,17999159.61284
21,  8.037800 ,  1.0, -1,18O,8,10,17999159.61284
22,  8.125000 ,  5.0, -1,18O,8,10,17999159.61284
23,  8.213000 ,  2.0,  1,18O,8,10,17999159.61284
24,  8.282000 ,  3.0, -1,18O,8,10,17999159.61284
25,  8.410000 ,  2.0, -1,18O,8,10,17999159.61284
26,  8.521000 ,  0.0, -1,18O,8,10,17999159.61284
27,  8.660000 ,  0.0, -1,18O,8,10,17999159.61284
28,  8.817000 ,  1.0,  1,18O,8,10,17999159.61284
29,  8.955000 ,  0.0, -1,18O,8,10,17999159.61284
30,  9.000000 ,  1.0, -1,18O,8,10,17999159.61284
31,  9.030000 ,  0.0, -1,18O,8,10,17999159.61284
32,  9.100000 ,  0.0, -1,18O,8,10,17999159.61284
1,  0.000000 ,  0.5,  1,19F,9,10,18998000.0
2,  0.109894 ,  0.5, -1,19F,9,10,18998000.0
3,  0.197143 ,  2.5,  1,19F,9,10,18998000.0
4,  1.345670 ,  2.5, -1,19F,9,10,18998000.0
5,  1.458700 ,  1.5, -1,19F,9,10,18998000.0
6,  1.554038 ,  1.5,  1,19F,9,10,18998000.0
7,  2.779849 ,  4.5,  1,19F,9,10,18998000.0
8,  3.908170 ,  1.5,  1,19F,9,10,18998000.0
9,  3.998700 ,  3.5, -1,19F,9,10,18998000.0
10,  4.032500 ,  4.5, -1,19F,9,10,18998000.0
11,  4.377700 ,  3.5,  1,19F,9,10,18998000.0
12,  4.549900 ,  2.5,  1,19F,9,10,18998000.0
13,  4.556100 ,  1.5, -1,19F,9,10,18998000.0
14,  4.648000 ,  6.5,  1,19F,9,10,18998000.0
15,  4.682500 ,  2.5, -1,19F,9,10,18998000.0
16,  5.106600 ,  2.5,  1,19F,9,10,18998000.0
17,  5.337000 ,  0.5,  1,19F,9,10,18998000.0
18,  5.418000 ,  3.5, -1,19F,9,10,18998000.0
19,  5.463500 ,  3.5,  1,19F,9,10,18998000.0
20,  5.500700 ,  1.5,  1,19F,9,10,18998000.0
21,  5.535000 ,  2.5,  1,19F,9,10,18998000.0
22,  5.621000 ,  2.5, -1,19F,9,10,18998000.0
23,  5.938000 ,  0.5,  1,19F,9,10,18998000.0
24,  6.070000 ,  3.5,  1,19F,9,10,18998000.0
25,  6.088000 ,  1.5, -1,19F,9,10,18998000.0
26,  6.100000 ,  4.5, -1,19F,9,10,18998000.0
27,  6.160600 ,  3.5, -1,19F,9,10,18998000.0
28,  6.255000 ,  0.5,  1,19F,9,10,18998000.0
29,  6.282000 ,  2.5,  1,19F,9,10,18998000.0
