Energy,Data
4054.78,0.000231544
4061.74,0.000248577
4068.69,0.000267632
4075.39,0.00028814
4081.94,0.00031068
4086.32,0.000327268
4090.83,0.000345793
4095.48,0.000366531
4100.14,0.000389295
4104.79,0.000414298
4109.45,0.000441798
4114.1,0.000472189
4118.76,0.000505869
4123.41,0.000543322
4126.95,0.00057462
4130.56,0.000609566
4134.18,0.000647829
4137.79,0.000689903
4141.41,0.000736225
4145.03,0.000787172
4148.39,0.000839708
4151.76,0.000897753
4155.13,0.000962037
4158.49,0.00103351
4161.86,0.0011133
4165.14,0.00120041
4167.3,0.00126347
4169.47,0.00133165
4171.63,0.00140553
4173.79,0.00148574
4175.95,0.00157297
4178.11,0.00166799
4180.27,0.00177185
4182.77,0.00190444
4185.26,0.00205273
4186.92,0.00216147
4188.58,0.00227913
4190.25,0.0024067
4191.91,0.00254531
4193.57,0.00269629
4195.57,0.00289594
4197.56,0.00311869
4199.56,0.00336826
4200.89,0.00355171
4202.22,0.00375062
4203.55,0.00396679
4204.79,0.00418693
4205.96,0.00440943
4207.12,0.00465021
4208.29,0.00491134
4209.45,0.00519517
4210.61,0.00550437
4211.78,0.00584204
4212.94,0.00621173
4213.98,0.00657232
4215.35,0.00709866
4216.26,0.00748575
4217.18,0.00790571
4218.09,0.00836241
4219.01,0.00886026
4219.92,0.00940435
4220.84,0.0100006
4221.59,0.010532
4222.33,0.0111073
4223.08,0.0117315
4223.83,0.0124103
4224.58,0.0131505
4225.33,0.0139596
4226.07,0.0148466
4226.82,0.015822
4227.4,0.0166495
4227.99,0.0175445
4228.57,0.0185147
4229.15,0.0195688
4229.73,0.020717
4230.31,0.021971
4230.9,0.0233446
4231.48,0.0248537
4231.93,0.0261468
4232.39,0.0275459
4232.85,0.0290634
4233.31,0.0307133
4233.76,0.0325122
4234.22,0.0344791
4234.68,0.0366366
4235.13,0.039011
4235.51,0.041137
4235.88,0.0434495
4236.26,0.0459725
4236.63,0.0487337
4237.01,0.0517666
4237.38,0.0551112
4237.75,0.058816
4238.13,0.0629409
4238.42,0.0664871
4238.71,0.0703759
4239,0.0746603
4239.29,0.0794051
4239.58,0.0846913
4239.87,0.0906192
4240.09,0.0955618
4240.31,0.101001
4240.52,0.106775
4240.71,0.112633
4240.91,0.119089
4241.1,0.126231
4241.29,0.134164
4241.49,0.143007
