id,distance_metric,distance_type,mt_strategy,normalizer,train_mae,train_mse,train_evs,train_mae_m,train_r2,val_mae,val_mse,val_evs,val_mae_m,val_r2,test_mae,test_mse,test_evs,test_mae_m,test_r2,model_path,training_time,scaler_path,run_name
15,manhattan,distance,one_hot,robust,0.025821266315991003,0.010888053307732121,0.9858707783850508,0.0,0.9858707776028622,0.11583535103122307,0.059154334547200885,0.9212198238700516,0.04185666239597857,0.9212184555596672,0.1161303239613446,0.06050204812912429,0.9188413322253748,0.041688853687923584,0.9188413017388426,E:\ML_Models_EXFOR\KNN_B1\k15_distance_manhattan_robust_one_hot_B1_v1\k15_distance_manhattan_robust_one_hot_B1_v1.joblib,2273.6922869682307,E:\ML_Models_EXFOR\KNN_B1\k15_distance_manhattan_robust_one_hot_B1_v1\scaler.pkl,k15_distance_manhattan_robust_one_hot_B1_v1
8,euclidean,distance,one_hot,robust,0.025912343083986884,0.010984633558793866,0.98574902525011,0.0,0.9857490242299838,0.1158990273548765,0.05952717028399191,0.92192918673089,0.04086193045261227,0.921929054894634,0.11498703728681275,0.059041242976483874,0.9212083237493376,0.040731686443898005,0.921207143307594,E:\ML_Models_EXFOR\KNN_B1\k8_distance_euclidean_robust_one_hot_B1_v1\k8_distance_euclidean_robust_one_hot_B1_v1.joblib,2079.4696383476253,E:\ML_Models_EXFOR\KNN_B1\k8_distance_euclidean_robust_one_hot_B1_v1\scaler.pkl,k8_distance_euclidean_robust_one_hot_B1_v1
20,euclidean,distance,one_hot,robust,0.025820880240861484,0.010886485094875671,0.9858805612351712,0.0,0.9858805604665264,0.11634641679774388,0.05998587985885754,0.919436606961598,0.04248444879102703,0.9194363329663628,0.11600826147919853,0.05815697640244603,0.9224017745339724,0.04266899580244127,0.9224017573920136,E:\ML_Models_EXFOR\KNN_B1\k20_distance_euclidean_robust_one_hot_B1_v1\k20_distance_euclidean_robust_one_hot_B1_v1.joblib,2167.8507177829747,E:\ML_Models_EXFOR\KNN_B1\k20_distance_euclidean_robust_one_hot_B1_v1\scaler.pkl,k20_distance_euclidean_robust_one_hot_B1_v1
12,manhattan,distance,one_hot,robust,0.025846383705623626,0.010902374646832948,0.9858544835945166,0.0,0.9858544835902521,0.11548942552851445,0.058846899326661414,0.9219237107468148,0.04115250580554259,0.9219235002643932,0.11509007160273885,0.05918844590323439,0.9215241376479008,0.04124840459614293,0.9215237737387636,E:\ML_Models_EXFOR\KNN_B1\k12_distance_manhattan_robust_one_hot_B1_v1\k12_distance_manhattan_robust_one_hot_B1_v1.joblib,1902.8696043491364,E:\ML_Models_EXFOR\KNN_B1\k12_distance_manhattan_robust_one_hot_B1_v1\scaler.pkl,k12_distance_manhattan_robust_one_hot_B1_v1
4,euclidean,distance,one_hot,robust,0.02622461147795884,0.011516183111246569,0.9850685901540788,0.0,0.9850685891417232,0.118510554750814,0.06319701303460197,0.9172047086892968,0.04096893393299028,0.9172046790456864,0.11862975723118725,0.06333023765070968,0.9163464922390082,0.04084901762384252,0.916345848579573,E:\ML_Models_EXFOR\KNN_B1\k4_distance_euclidean_robust_one_hot_B1_v1\k4_distance_euclidean_robust_one_hot_B1_v1.joblib,2349.930126428604,E:\ML_Models_EXFOR\KNN_B1\k4_distance_euclidean_robust_one_hot_B1_v1\scaler.pkl,k4_distance_euclidean_robust_one_hot_B1_v1
16,euclidean,distance,one_hot,robust,0.025821476234498927,0.010884303551944636,0.9858746745412728,0.0,0.9858746733603518,0.1159634791769502,0.05911360860074505,0.9212478352629546,0.04202757894451159,0.9212463368279924,0.11627541699325394,0.06041827435863675,0.9189144669481945,0.04190766279745484,0.9189144128740228,E:\ML_Models_EXFOR\KNN_B1\k16_distance_euclidean_robust_one_hot_B1_v1\k16_distance_euclidean_robust_one_hot_B1_v1.joblib,2210.197725772857,E:\ML_Models_EXFOR\KNN_B1\k16_distance_euclidean_robust_one_hot_B1_v1\scaler.pkl,k16_distance_euclidean_robust_one_hot_B1_v1
8,manhattan,distance,one_hot,robust,0.025912343083986884,0.010984633558793866,0.98574902525011,0.0,0.9857490242299838,0.11587276648208195,0.05956896262450422,0.9218730582013718,0.04085694619881608,0.9218729283668836,0.11502602698469952,0.05930286407138679,0.9208022338927436,0.04071638821964788,0.9208012022225752,E:\ML_Models_EXFOR\KNN_B1\k8_distance_manhattan_robust_one_hot_B1_v1\k8_distance_manhattan_robust_one_hot_B1_v1.joblib,2144.1238102912907,E:\ML_Models_EXFOR\KNN_B1\k8_distance_manhattan_robust_one_hot_B1_v1\scaler.pkl,k8_distance_manhattan_robust_one_hot_B1_v1
20,manhattan,distance,one_hot,robust,0.025820880240861484,0.010886485094875671,0.9858805612351712,0.0,0.9858805604665264,0.11630209984075555,0.06004739877265587,0.9193501156624112,0.04244981644189389,0.919349863159578,0.11594614532673493,0.05814955599654921,0.9223770954657958,0.04264512275946095,0.9223770695018516,E:\ML_Models_EXFOR\KNN_B1\k20_distance_manhattan_robust_one_hot_B1_v1\k20_distance_manhattan_robust_one_hot_B1_v1.joblib,2060.7158088684077,E:\ML_Models_EXFOR\KNN_B1\k20_distance_manhattan_robust_one_hot_B1_v1\scaler.pkl,k20_distance_manhattan_robust_one_hot_B1_v1
4,manhattan,distance,one_hot,robust,0.02622461147795884,0.011516183111246569,0.9850685901540788,0.0,0.9850685891417232,0.11849693728129675,0.06314447515432417,0.9172638933225782,0.040961883893612716,0.9172638753102096,0.11866810228978265,0.06353539908687075,0.9160354360996642,0.04085133450473466,0.9160349112236904,E:\ML_Models_EXFOR\KNN_B1\k4_distance_manhattan_robust_one_hot_B1_v1\k4_distance_manhattan_robust_one_hot_B1_v1.joblib,1861.8497993946075,E:\ML_Models_EXFOR\KNN_B1\k4_distance_manhattan_robust_one_hot_B1_v1\scaler.pkl,k4_distance_manhattan_robust_one_hot_B1_v1
16,manhattan,distance,one_hot,robust,0.025821476234498923,0.010884303551944636,0.9858746745412728,0.0,0.9858746733603518,0.11591254970310781,0.05910267187077844,0.9212480117265032,0.04200252764880752,0.9212465164086241,0.11621523782599137,0.060430785640840756,0.9188847643265717,0.04188393973546939,0.9188846979766516,E:\ML_Models_EXFOR\KNN_B1\k16_distance_manhattan_robust_one_hot_B1_v1\k16_distance_manhattan_robust_one_hot_B1_v1.joblib,1837.0302212238312,E:\ML_Models_EXFOR\KNN_B1\k16_distance_manhattan_robust_one_hot_B1_v1\scaler.pkl,k16_distance_manhattan_robust_one_hot_B1_v1
