id,distance_metric,distance_type,mt_strategy,normalizer,train_mae,train_mse,train_evs,train_mae_m,train_r2,val_mae,val_mse,val_evs,val_mae_m,val_r2,test_mae,test_mse,test_evs,test_mae_m,test_r2,model_path,training_time,scaler_path,MT_STRATEGY,run_name
17,euclidean,distance,,standard,0.025840419264356256,0.010875546180080764,0.9858837613586692,0.0,0.9858837588127274,0.11932229083156305,0.06315619736216195,0.915582894278686,0.0434002186482539,0.9155823642939452,0.11927589863397085,0.06397391477161783,0.9140126559891276,0.042848812881351006,0.914012299188582,E:\ML_Models_EXFOR\KNN_B0\k17_distance_euclidean_standard_one_hot_B0_v4\k17_distance_euclidean_standard_one_hot_B0_v4.joblib,7767.5321624279,E:\ML_Models_EXFOR\KNN_B0\k17_distance_euclidean_standard_one_hot_B0_v4\scaler.pkl,one_hot,
2,manhattan,distance,,robust,0.027641753732570783,0.01370899368457133,0.9822565281197742,0.0,0.9822564864541042,0.12624221075090505,0.07330080690500895,0.9041488452866574,0.04223412538714949,0.9041488451912172,0.12744918174295813,0.07563303415155334,0.9008661691561608,0.042219479045152775,0.9008646237455518,E:\ML_Models_EXFOR\KNN_B0\k2_distance_manhattan_robust_one_hot_B0_v4\k2_distance_manhattan_robust_one_hot_B0_v4.joblib,10148.8556098938,E:\ML_Models_EXFOR\KNN_B0\k2_distance_manhattan_robust_one_hot_B0_v4\scaler.pkl,one_hot,
13,manhattan,distance,,standard,0.025815658795795244,0.010836477057985313,0.9859383931547392,0.0,0.9859383925960726,0.11760562687857384,0.06125344721804923,0.9192015794957162,0.04217764167652027,0.9192009154423496,0.1183961924055026,0.06327092161330475,0.9155674957700848,0.04218763515194535,0.9155669483520436,E:\ML_Models_EXFOR\KNN_B0\k13_distance_manhattan_standard_one_hot_B0_v4\k13_distance_manhattan_standard_one_hot_B0_v4.joblib,7293.210746765137,E:\ML_Models_EXFOR\KNN_B0\k13_distance_manhattan_standard_one_hot_B0_v4\scaler.pkl,one_hot,
7,manhattan,distance,,robust,0.02598715440393853,0.011080099561855456,0.9856431404507072,0.0,0.9856431350271758,0.1178002896739274,0.06455788708102549,0.9138744810051144,0.04123413660453512,0.9138732834887896,0.11945581489381653,0.06451624413230482,0.9146987894386944,0.041781395815958,0.9146984082477124,E:\ML_Models_EXFOR\KNN_B0\k7_distance_manhattan_robust_one_hot_B0_v4\k7_distance_manhattan_robust_one_hot_B0_v4.joblib,10362.904897928238,E:\ML_Models_EXFOR\KNN_B0\k7_distance_manhattan_robust_one_hot_B0_v4\scaler.pkl,one_hot,
3,manhattan,distance,,standard,0.0265877793354834,0.01203705561961554,0.9844058922303484,0.0,0.9844058922270392,0.1223885109345905,0.06823148592150521,0.9103426065631948,0.041706753632564264,0.9103425524700752,0.1215394806243193,0.06614405284663208,0.9130532813026514,0.042033140711408463,0.9130530624746896,E:\ML_Models_EXFOR\KNN_B0\k3_distance_manhattan_standard_one_hot_B0_v4\k3_distance_manhattan_standard_one_hot_B0_v4.joblib,8092.5894231796265,E:\ML_Models_EXFOR\KNN_B0\k3_distance_manhattan_standard_one_hot_B0_v4\scaler.pkl,one_hot,
8,manhattan,distance,,standard,0.025930846590695486,0.011043402547866921,0.9856783397103096,0.0,0.9856783391004648,0.1181501163101142,0.06262055977944131,0.9162840248543762,0.04118949353256501,0.9162832769007658,0.11664004146264195,0.06029000063163298,0.9201079615665028,0.04111998300229308,0.9201078085352586,E:\ML_Models_EXFOR\KNN_B0\k8_distance_manhattan_standard_one_hot_B0_v4\k8_distance_manhattan_standard_one_hot_B0_v4.joblib,8471.445217132568,E:\ML_Models_EXFOR\KNN_B0\k8_distance_manhattan_standard_one_hot_B0_v4\scaler.pkl,one_hot,
14,euclidean,distance,,standard,0.025811895354620515,0.010831785531929693,0.9859437217133242,0.0,0.9859437215257538,0.11925524468331608,0.06330182009090897,0.916348704038182,0.04268790447691345,0.9163477345420152,0.11991105182649375,0.06494887652984,0.9131351852933124,0.04268395750723075,0.913133908968496,E:\ML_Models_EXFOR\KNN_B0\k14_distance_euclidean_standard_one_hot_B0_v4\k14_distance_euclidean_standard_one_hot_B0_v4.joblib,5499.2479469776135,E:\ML_Models_EXFOR\KNN_B0\k14_distance_euclidean_standard_one_hot_B0_v4\scaler.pkl,one_hot,
17,manhattan,distance,,standard,0.025840419264356256,0.010875546180080764,0.9858837613586692,0.0,0.9858837588127274,0.11773842992740045,0.06080234407123075,0.9188667414174501,0.04300118159154709,0.9188664747670128,0.1177567072589513,0.062140227311628965,0.916613498834326,0.042484220989029035,0.9166132133258234,E:\ML_Models_EXFOR\KNN_B0\k17_distance_manhattan_standard_one_hot_B0_v4\k17_distance_manhattan_standard_one_hot_B0_v4.joblib,8118.604730129242,E:\ML_Models_EXFOR\KNN_B0\k17_distance_manhattan_standard_one_hot_B0_v4\scaler.pkl,one_hot,
18,euclidean,distance,,robust,0.025798475399520533,0.010863824345449106,0.9859121685329938,0.0,0.9859121653238768,0.1229471142667232,0.06805551400781527,0.9083333777471424,0.04408623353235069,0.9083302693732328,0.1232324762903,0.06785887884237507,0.9083925536525504,0.04431995851162851,0.9083918198804726,E:\ML_Models_EXFOR\KNN_B0\k18_distance_euclidean_robust_one_hot_B0_v4\k18_distance_euclidean_robust_one_hot_B0_v4.joblib,9779.484164476396,E:\ML_Models_EXFOR\KNN_B0\k18_distance_euclidean_robust_one_hot_B0_v4\scaler.pkl,one_hot,
12,manhattan,distance,,robust,0.02585427101256831,0.01090001856224563,0.9858534113587571,0.0,0.9858534105796356,0.11938469822513993,0.06363820518268991,0.9149978440243484,0.042494359857435576,0.9149944932589013,0.11918241420125696,0.06429906748341192,0.9148997960401668,0.04249445533519902,0.9148996015976852,E:\ML_Models_EXFOR\KNN_B0\k12_distance_manhattan_robust_one_hot_B0_v4\k12_distance_manhattan_robust_one_hot_B0_v4.joblib,9934.084754467009,E:\ML_Models_EXFOR\KNN_B0\k12_distance_manhattan_robust_one_hot_B0_v4\scaler.pkl,one_hot,
