S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),Element_w_A
7489.31,81.05,44604.08,218.88,-17770.93,82.63,21783.96,78.89,-45292.72,531.25,10362.32,78.94,20N
11563.65,0.88,35701.03,30.01,-12322.88,3.69,10838.1,0.88,-35906.55,98.39,-2787.7,0.88,20O
17033.21,0.46,27708.57,18.57,-8126.29,2.3,-6868.07,1.11,-23162.72,16.4,-9840.83,0.16,20F
28502.18,0.36,20837.06,0.0,-4729.84,0.0,-24519.62,1.86,-17663.76,2.64,-28042.64,10.54,20Ne
34330.02,93.89,8600.45,1.21,-6254.56,8.39,,,1049.08,1.11,-33049.1,50.01,20Na
,,2417.86,1.9,-8934.0,20.56,,,8436.67,1.87,,,20Mg
-1417.0,1042.0,,,,,52098.0,910.0,,,31755.0,929.0,21B
2913.0,604.0,,,,,37581.0,596.0,,,15805.0,601.0,21C
6767.0,135.05,49116.27,542.19,-20909.32,244.19,25279.52,134.06,-50507.0,811.0,13364.42,134.05,21N
11413.46,12.29,38929.66,99.12,-15394.78,21.11,13793.81,12.0,-36730.5,230.94,8.18,12.0,21O
14702.79,1.8,30481.83,16.5,-10342.6,15.11,2137.03,1.8,-29103.07,78.91,-1076.99,1.8,21F
23626.46,0.16,23642.57,2.64,-7347.93,0.04,-16635.63,0.76,-16816.92,0.89,-20653.7,1.11,21Ne
31256.66,10.54,15275.13,0.1,-6561.25,0.27,-29175.0,596.0,-9456.14,0.1,-27733.64,1.87,21Na
37067.17,50.01,5426.14,0.77,-8021.51,0.83,,,10656.81,0.75,,,21Mg
,,517.0,596.0,-10608.0,1165.0,,,12850.0,596.0,,,21Al
35.0,20.0,,,,,44328.16,238.39,,,20307.97,267.5,22C
6144.33,222.25,51263.0,827.0,-22452.75,291.3,28971.43,208.15,-52854.0,924.0,15631.45,208.13,22N
10655.77,56.93,42798.47,237.55,-18061.15,64.34,17307.75,56.92,-43649.0,599.0,1259.32,56.95,22O
13331.8,12.4,33551.06,79.86,-12744.71,22.33,7974.88,12.4,-29727.51,134.62,453.83,12.4,22F
17125.42,0.02,26398.83,0.89,-9666.82,0.02,-7624.79,0.31,-23375.72,12.0,-13911.4,0.1,22Ne
28174.75,1.13,19741.99,0.17,-8479.54,0.49,-23383.0,401.0,-12422.88,1.81,-24156.68,0.77,22Na
34020.26,1.89,7935.94,0.31,-8142.46,0.48,-33738.0,503.0,-1957.13,0.32,-35461.0,596.0,22Mg
,,3227.0,401.0,-9262.0,411.0,,,13097.0,401.0,,,22Al
,,-1283.0,503.0,,,,,15145.0,503.0,,,22Si
-2385.0,1161.0,,,,,49549.0,1004.0,,,24335.0,1018.0,23C
4654.12,441.42,55187.0,993.0,-25474.73,672.97,33435.16,421.89,,,19366.07,424.4,23N
9583.3,122.3,45600.0,608.0,-20217.3,156.51,19775.42,121.71,-46278.8,261.54,3756.68,122.34,23O
12809.77,33.37,36524.59,138.13,-14995.93,37.14,12815.12,33.32,-35768.51,210.43,3238.66,33.32,23F
15564.91,0.11,27794.02,12.0,-10911.82,2.64,319.46,0.19,-21726.05,56.92,-8043.85,0.2,23Ne
