S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),Element_w_A
8480.0,196.0,18276.0,446.0,2298.0,357.0,5697.0,196.0,-16017.0,446.0,-2221.0,196.0,216Pb
9067.89,15.83,15169.0,196.0,5000.0,200.0,3617.32,11.74,-11326.0,298.0,-1655.62,11.38,216Bi
9890.17,2.09,12612.75,1.96,6906.35,0.51,1529.55,6.18,-9848.79,52.48,-5033.14,6.92,216Po
10506.14,5.41,11120.52,11.69,7949.71,3.06,-714.28,5.32,-6661.63,6.59,-4646.09,8.35,216At
11570.02,10.85,9855.03,5.96,8197.44,5.88,-3038.21,10.47,-6494.4,6.32,-8136.51,9.13,216Rn
12212.98,9.45,8227.16,5.67,9174.26,3.43,-5173.45,11.61,-3062.27,7.87,-7634.11,8.5,216Fr
12944.29,10.17,6967.12,12.57,9525.77,8.15,-7007.25,14.79,-2829.33,11.51,-10810.86,15.17,216Ra
14442.09,18.79,5474.84,13.86,9235.45,6.37,-9654.82,54.61,537.36,12.94,-10848.51,13.99,216Ac
16539.19,16.03,4372.34,13.12,8072.38,4.26,-12768.02,30.52,475.62,14.16,-15636.92,73.83,216Th
17828.94,93.06,3222.58,55.69,8097.0,15.0,,,4479.63,54.94,-15195.19,103.42,216Pa
,,2206.47,30.02,8530.63,26.21,,,4855.79,29.45,,,216U
7741.0,499.0,,,,,9583.0,401.0,,,2762.0,446.0,217Tl
8245.0,303.0,18546.0,499.0,2149.0,422.0,6356.0,298.0,-14909.0,499.0,-1705.0,298.0,217Pb
9041.99,18.57,15759.0,299.0,4521.24,32.29,4335.33,18.39,-13277.0,299.0,-1123.78,17.79,217Bi
9717.41,6.71,13036.67,52.85,6662.13,2.35,2225.02,7.73,-8885.0,196.0,-4444.47,7.38,217Po
10492.24,8.3,11812.63,7.31,7201.35,1.22,80.05,8.15,-8768.33,12.25,-3929.55,7.75,217At
11315.57,8.6,10377.73,4.61,7887.17,2.88,-2231.16,8.19,-5412.89,4.45,-7383.77,5.62,217Rn
12146.11,9.43,9007.6,9.34,8469.27,4.32,-4389.08,13.08,-5231.05,7.31,-7047.8,10.79,217Fr
12786.72,10.36,7519.72,10.4,9160.77,6.36,-6316.12,12.82,-1652.18,9.23,-10326.06,13.01,217Ra
13469.58,16.84,6192.33,13.36,9831.6,10.19,-8364.74,19.57,-1556.25,12.08,-9665.98,16.54,217Ac
14858.44,13.81,4905.9,13.06,9435.31,4.03,-10768.0,72.0,1625.73,13.74,-13664.75,54.57,217Th
16938.16,74.56,3540.15,20.14,8488.8,4.49,,,1635.04,19.24,-14069.26,32.28,217Pa
18092.0,114.0,2526.0,72.0,8428.0,71.0,,,5386.0,72.0,,,217U
7680.0,499.0,,,,,9964.0,401.0,,,2869.0,499.0,218Tl
8169.0,357.0,18984.0,499.0,1851.0,499.0,7097.0,298.0,,,-1348.0,299.0,218Pb
8800.59,29.23,16080.0,299.0,4327.0,197.0,5117.87,29.4,-12386.0,401.0,-738.8,27.79,218Bi
9568.15,1.96,13701.0,196.0,6114.75,0.09,3139.55,2.92,-11172.0,298.0,-4109.05,5.18,218Po
10301.14,12.06,12353.77,16.11,6874.0,3.0,1039.05,12.43,-7920.77,21.16,-3631.66,12.23,218At
11178.16,6.23,11143.01,2.74,7262.48,1.85,-1433.82,11.3,-7955.14,6.9,-7168.56,6.67,218Rn
12054.47,6.03,9775.49,5.78,8014.03,2.04,-3784.49,50.94,-4624.49,6.82,-6901.86,8.48,218Fr
12782.54,14.09,8179.64,12.58,8546.0,6.36,-5715.57,15.33,-4296.3,11.83,-10123.82,15.92,218Ra
13443.42,51.88,6705.28,50.89,9377.4,50.0,-7840.16,53.95,-759.95,51.13,-9433.49,51.84,218Ac
14074.23,15.98,5502.28,13.66,9849.09,9.11,-9527.87,17.28,-811.89,12.73,-12772.99,19.08,218Th
15258.08,56.58,4038.57,21.29,9815.0,10.0,,,2691.13,21.58,-12361.0,74.0,218Pa
17314.38,31.24,2981.67,18.21,8774.81,8.63,,,2399.86,17.34,,,218U
8104.0,499.0,,,1646.0,566.0,7597.0,401.0,,,-1009.0,401.0,219Pb
8590.0,196.0,16609.0,446.0,3947.0,357.0,5886.0,196.0,-14187.0,445.0,-146.0,196.0,219Bi
9344.79,17.13,14136.0,298.0,5914.2,50.0,3851.96,15.97,-10061.0,298.0,-3488.12,19.63,219Po
10141.19,5.65,12911.83,17.99,6341.84,4.83,1778.31,7.56,-10108.93,27.21,-2892.59,3.91,219At
10971.73,4.6,11632.06,6.7,6946.19,0.31,-564.88,8.49,-6816.47,2.43,-6301.03,5.15,219Rn
11839.46,9.51,10354.81,8.5,7448.61,1.82,-2951.71,50.97,-6769.37,13.51,-6104.72,13.14,219Fr
12638.01,10.84,8842.16,9.13,8137.93,3.06,-5077.11,51.22,-3112.04,8.43,-9520.64,51.38,219Ra
13276.83,51.75,7323.05,50.88,8826.5,50.0,-6970.65,72.14,-2778.61,50.68,-8868.58,51.58,219Ac
13877.02,51.68,5996.21,51.06,9512.74,50.0,-8815.18,71.67,531.25,51.77,-12283.7,53.79,219Th
14670.91,53.9,4741.48,52.76,10084.6,50.0,-10916.52,102.28,407.55,72.31,-11425.79,53.31,219Pa
15830.0,88.0,3497.15,51.87,9940.07,50.0,,,3630.86,51.85,,,219U
,,2189.7,89.78,9167.8,50.0,,,3483.91,90.23,,,219Np
7927.0,499.0,,,1385.0,566.0,8406.0,401.0,,,-685.0,446.0,220Pb
8540.0,299.0,16939.0,499.0,3676.0,422.0,6443.0,298.0,,,66.0,298.0,220Bi
9236.07,17.81,14768.0,299.0,5359.0,196.0,4651.38,17.79,-12304.0,401.0,-3203.93,17.99,220Po
9865.05,18.16,13418.23,30.41,6076.84,17.89,2893.43,14.54,-9196.0,196.0,-2524.97,14.13,220At
10747.9,2.74,12322.76,1.96,6404.74,0.1,341.83,8.37,-9358.25,15.94,-6077.01,7.15,220Rn
11719.43,6.08,11193.78,12.21,6800.74,1.86,-2261.36,7.2,-6202.73,5.06,-5983.28,9.08,220Fr
12523.56,13.79,9525.04,8.41,7592.46,5.65,-4398.85,23.59,-5848.13,8.47,-9370.55,51.14,220Ra
13242.56,51.08,7893.38,7.52,8347.82,4.49,-6475.0,52.0,-2163.05,9.24,-8799.02,50.92,220Ac
13840.28,24.53,6560.01,24.77,8953.11,20.37,-8264.0,103.0,-2014.15,23.6,-11942.35,56.08,220Th
14608.0,54.0,5203.0,72.0,9649.0,50.0,-10093.0,202.0,1360.0,72.0,-11140.0,72.0,220Pa
15104.0,102.0,4011.0,101.0,10210.0,100.0,,,1173.0,113.0,-14595.0,134.0,220U
,,2951.0,196.0,10087.0,203.0,,,4482.0,202.0,,,220Np
8327.0,357.0,,,3360.0,499.0,7315.0,298.0,,,763.0,299.0,221Bi
9050.24,25.17,15083.0,401.0,5109.0,299.0,5302.33,20.38,-11184.0,401.0,-2673.31,24.04,221Po
9755.98,14.34,14078.0,196.0,5627.85,22.55,3505.44,14.8,-11325.0,298.0,-1900.67,14.09,221At
10500.62,5.9,12787.88,16.83,6162.99,3.19,1507.61,7.31,-8081.01,18.6,-5082.22,6.91,221Rn
11483.11,8.43,11696.73,5.55,6457.74,1.4,-1245.82,50.65,-8387.43,14.8,-5064.27,9.53,221Fr
12573.1,9.34,10443.53,5.0,6880.39,1.95,-3976.56,9.26,-4937.24,4.86,-8851.19,7.45,221Ra
13189.01,71.34,8672.6,50.9,7783.6,50.0,-5853.18,71.91,-4248.18,50.57,-8217.31,55.06,221Ac
13673.65,51.21,7031.85,11.5,8625.8,3.85,-7579.62,51.76,-618.85,11.49,-11349.0,52.0,221Th
14306.48,72.69,5771.13,71.96,9247.7,50.0,-9473.0,207.0,-656.36,51.63,-10628.0,113.0,221Pa
14909.21,72.05,4529.34,71.91,9889.3,50.0,,,2561.93,55.71,-13862.0,202.0,221U
15750.0,219.0,3268.0,207.0,10356.0,201.0,,,2342.0,207.0,,,221Np
8232.0,423.0,,,3124.0,500.0,7776.0,300.0,,,884.0,301.0,222Bi
8919.83,43.79,15761.0,403.0,4608.0,301.0,6114.06,40.1,,,-2367.78,42.42,222Po
9565.36,21.12,14444.0,298.0,5312.07,31.31,4574.92,17.5,-10434.0,298.0,-1589.71,16.83,222At
10382.51,1.93,13469.2,17.81,5590.39,0.31,2052.02,4.71,-10690.52,19.66,-4976.4,5.06,222Rn
11246.85,8.47,12575.58,15.84,5855.03,13.79,-243.37,9.07,-7693.59,15.84,-4657.02,8.77,222Fr
12092.69,9.27,10869.83,4.61,6677.93,4.23,-2882.92,12.99,-7440.2,7.17,-8274.24,50.6,222Ra
13264.84,7.79,9438.79,6.41,7137.44,2.04,-5533.0,73.0,-3944.79,7.04,-8390.21,9.53,222Ac
13608.62,25.29,7645.08,14.7,8127.03,5.09,-7069.72,53.42,-3049.67,13.03,-11244.49,52.72,222Th
14206.0,89.0,6167.0,73.0,8886.0,52.0,-8864.0,209.0,343.0,88.0,-10437.0,89.0,222Pa
14803.0,113.0,4974.21,56.52,9481.17,50.92,,,43.49,52.63,-13648.0,207.0,222U
15435.0,277.0,3778.0,202.0,9910.0,196.0,,,3353.0,202.0,,,222Np
8104.0,499.0,,,,,8709.0,401.0,,,1579.0,403.0,223Bi
8838.0,197.0,,,4375.0,446.0,6689.0,196.0,,,-1946.0,196.0,223Po
9497.36,19.76,15248.0,298.0,4721.0,196.0,5045.61,14.11,-12590.0,300.0,-1015.52,14.11,223At
10224.32,9.69,13961.96,21.07,5283.46,17.66,3156.43,8.1,-9385.5,40.81,-4059.68,10.8,223Rn
11037.53,4.83,12978.27,14.11,5561.4,2.82,556.51,7.13,-9859.6,15.95,-4009.11,4.73,223Fr
11873.14,5.0,11816.05,5.89,5978.99,0.21,-2152.52,9.42,-6427.87,2.41,-7459.48,5.53,223Ra
12839.86,50.91,10029.35,8.49,6783.2,1.0,-4494.79,71.41,-5841.19,10.3,-7448.55,14.13,223Ac
13697.17,12.2,8155.92,10.19,7566.63,4.08,-6451.18,71.7,-2223.33,10.14,-10840.0,73.0,223Th
14198.25,87.63,6780.37,87.11,8326.28,50.0,-8279.0,208.0,-1589.77,71.23,-10023.47,88.05,223Pa
14825.62,87.58,5681.31,71.57,8940.7,50.0,,,1344.92,72.15,-13253.0,208.0,223U
15393.0,280.0,4355.0,202.0,9635.0,202.0,,,1156.0,209.0,,,223Np
8041.0,500.0,,,,,9119.0,400.0,,,1680.0,445.0,224Bi
8719.0,200.0,,,3816.0,446.0,7465.0,196.0,,,-1589.0,196.0,224Po
9384.65,27.4,15596.0,301.0,4467.0,299.0,5962.4,24.99,-11714.0,401.0,-750.04,23.68,224At
10069.74,10.01,14619.11,41.24,4756.72,20.24,3619.18,9.98,-11922.0,196.0,-4008.61,10.0,224Rn
10772.12,13.43,13782.35,19.38,4947.95,17.89,1514.48,11.9,-8968.36,17.89,-3556.01,11.37,224Fr
11636.91,4.61,12124.23,1.93,5788.92,0.15,-1167.82,10.23,-8852.79,8.03,-7071.28,7.22,224Ra
12529.97,6.45,10721.91,8.5,6326.9,0.7,-3628.14,8.51,-5437.23,4.37,-7223.01,9.98,224Ac
13352.01,15.83,8904.4,10.97,7298.57,5.88,-5728.52,25.23,-4528.55,10.31,-10398.26,71.76,224Th
14435.0,73.0,7337.14,8.98,7693.68,4.47,-8013.0,196.0,-1252.57,10.31,-10046.04,71.5,224Pa
14693.21,56.92,6058.8,26.17,8628.24,6.75,,,-952.55,24.88,-12949.0,197.0,224U
15286.0,277.0,4857.0,209.0,9232.0,202.0,,,2266.0,208.0,,,224Np
8691.0,357.0,,,,,7996.0,298.0,,,-1252.0,299.0,225Po
9176.0,298.0,16320.0,499.0,3872.0,422.0,6574.0,298.0,-13725.0,499.0,-122.0,298.0,225At
9998.23,13.61,15122.0,196.0,4335.47,22.51,4541.03,11.44,-10665.0,196.0,-3285.79,15.78,225Rn
10704.42,12.11,14185.34,18.4,4612.97,18.4,2183.26,12.85,-11179.38,25.36,-3076.62,12.09,225Fr
11382.83,2.97,12974.57,8.24,5096.77,5.09,-317.02,5.65,-7740.96,10.15,-6312.34,4.72,225Ra
12331.17,8.41,11322.99,4.69,5935.14,1.43,-2703.38,71.16,-7400.24,12.15,-6427.71,11.14,225Ac
13218.34,10.41,9501.12,5.43,6921.4,2.12,-5069.79,11.94,-3804.76,5.3,-9623.47,8.95,225Th
14122.59,100.44,8063.1,71.35,7392.7,50.0,-7246.98,100.85,-3182.38,71.12,-9452.84,74.68,225Pa
14599.72,71.93,6583.85,14.19,8014.63,7.23,,,97.22,14.79,-12567.0,196.0,225U
15155.0,208.0,5310.91,100.89,8786.5,50.0,,,436.46,72.01,,,225Np
8504.0,446.0,,,,,8801.0,401.0,,,-917.0,499.0,226Po
9239.0,299.0,16794.0,499.0,3460.0,423.0,7094.0,298.0,,,9.0,298.0,226At
9840.54,14.36,15741.0,196.0,3836.01,41.4,5079.37,10.65,-13072.0,298.0,-3144.73,15.91,226Rn
10370.71,12.8,14768.42,23.21,4142.6,17.02,3211.28,6.96,-10163.0,298.0,-2543.89,6.75,226Fr
11300.73,1.91,13355.21,10.0,4870.7,0.25,470.19,4.73,-10155.29,11.31,-6040.84,4.93,226Ra
12067.51,4.96,12017.29,11.6,5506.24,8.07,-1724.01,11.79,-6800.32,12.35,-6072.18,5.88,226Ac
12938.73,10.99,10206.22,4.63,6452.53,1.01,-4131.24,13.68,-6084.45,5.06,-9214.41,71.14,226Th
13971.64,13.57,8778.8,12.05,6986.89,10.18,-6744.0,89.0,-2893.04,12.33,-9417.96,15.71,226Pa
14536.02,26.52,7242.81,16.39,7700.84,4.27,,,-2270.23,13.87,-12330.15,72.78,226U
15241.0,215.0,5663.0,88.0,8197.51,50.0,,,1147.0,113.0,,,226Np
8393.0,499.0,,,,,9395.0,401.0,,,-405.0,499.0,227Po
9054.0,422.0,,,2922.0,499.0,7801.0,298.0,,,665.0,298.0,227At
9790.94,17.96,16223.0,298.0,3382.0,196.0,5708.12,14.23,-11952.0,401.0,-2706.02,15.41,227Rn
10280.8,13.34,15290.0,298.0,3829.52,15.17,3832.87,6.21,-12221.0,298.0,-2056.7,6.21,227Fr
10958.03,2.87,13934.37,11.31,4363.06,8.06,1372.89,2.41,-8858.45,10.66,-5202.87,3.29,227Ra
11930.4,4.69,12548.97,12.11,5042.27,0.14,-981.62,7.43,-8959.93,6.52,-5419.37,4.75,227Ac
12647.94,5.43,10766.23,2.97,6146.6,0.1,-3240.64,9.9,-5151.97,2.39,-8299.77,11.59,227Th
13652.16,71.39,9384.09,8.68,6580.4,2.12,-5730.88,72.87,-4767.04,7.95,-8568.99,14.91,227Pa
14477.09,14.51,7842.61,10.85,7234.72,3.05,-7724.0,100.0,-1441.14,10.61,-11803.0,89.0,227U
15168.26,101.91,6356.59,101.47,7816.49,14.4,,,-760.17,73.38,,,227Np
,,5188.0,100.0,8508.0,122.0,,,2152.0,101.0,,,227Pu
9073.0,499.0,,,2429.0,566.0,8300.0,401.0,,,727.0,401.0,228At
9646.36,20.55,16883.0,401.0,2908.0,196.0,6303.2,17.79,-14326.0,401.0,-2510.3,18.64,228Rn
10278.95,9.17,15808.0,298.0,3248.29,23.35,4489.49,7.05,-11388.0,298.0,-1864.81,7.01,228Fr
10870.19,2.32,14384.87,10.67,4070.25,10.02,2169.28,2.57,-11234.54,14.23,-4980.63,2.34,228Ra
11557.17,3.45,13203.75,6.57,4721.2,11.37,-28.86,4.78,-8076.69,6.26,-4981.41,2.56,228Ac
12569.28,4.63,11474.78,1.9,5520.15,0.22,-2451.24,14.43,-7695.7,1.92,-8131.53,7.53,228Th
13252.32,12.14,9963.62,5.17,6264.54,1.46,-4672.11,50.74,-4214.96,4.6,-8193.19,10.54,228Pa
14249.28,19.3,8553.35,14.98,6803.58,10.18,-6865.14,32.45,-3871.57,14.49,-11411.17,73.9,228U
15324.0,102.0,7015.52,51.81,7308.5,50.0,,,-524.47,51.1,-11245.0,112.0,228Np
,,5819.44,31.87,7940.2,17.68,,,-247.06,30.67,,,228Pu
8802.0,499.0,,,,,9155.0,401.0,,,1509.0,401.0,229At
9666.07,19.2,17496.0,401.0,2407.0,298.0,6800.44,20.21,,,-2093.14,14.68,229Rn
10156.82,7.73,16393.0,298.0,2849.0,298.0,4978.33,13.1,-13305.0,401.0,-1343.32,5.35,229Fr
10758.38,15.56,14901.81,20.9,3602.91,19.04,2976.38,15.63,-9970.47,23.47,-4404.08,15.58,229Ra
11302.28,12.26,13570.45,13.47,4444.41,17.02,793.03,12.55,-9983.26,13.85,-4152.37,12.24,229Ac
12361.87,2.8,12170.07,2.69,5167.56,1.02,-1624.97,6.35,-6643.66,2.71,-7409.32,4.84,229Th
13076.92,7.94,10530.61,2.96,5834.65,4.26,-3882.77,86.91,-6286.79,3.6,-7396.64,14.7,229Pa
13977.54,11.27,9172.21,6.23,6475.51,3.05,-6185.04,51.5,-2849.4,6.12,-10456.46,50.89,229U
14925.04,113.12,7629.46,87.15,7014.03,50.0,-8370.34,123.17,-2432.88,86.95,-10379.01,91.59,229Np
15517.0,112.0,6227.81,52.06,7590.75,50.0,,,884.39,53.13,,,229Pu
,,4990.0,113.52,8137.4,50.0,,,1265.36,100.93,,,229Am
9338.0,196.0,,,2074.0,446.0,7531.0,196.0,,,-1692.0,196.0,230Rn
10040.09,9.39,16776.0,401.0,2448.0,298.0,5648.39,17.13,-12626.0,401.0,-1146.51,16.77,230Fr
10566.6,10.49,15305.1,20.46,3344.2,14.69,3653.71,10.37,-12135.06,16.62,-4244.94,15.89,230Ra
11198.98,15.97,14123.78,17.21,3892.93,17.02,1664.78,16.12,-9118.85,16.61,-3818.52,16.02,230Ac
12051.03,1.14,12655.62,1.76,4769.85,1.52,-752.41,4.51,-8988.34,15.49,-7105.63,3.14,230Th
12892.61,5.13,11299.06,3.39,5439.43,0.71,-3062.68,51.37,-5805.3,12.48,-7108.26,6.59,230Pa
13749.86,14.99,9733.92,4.65,5992.45,0.5,-5319.39,15.44,-5259.55,4.99,-10235.99,86.95,230U
14502.04,72.0,8265.24,51.45,6778.1,50.0,-7696.0,143.0,-1949.59,51.39,-10230.62,72.44,230Np
15295.61,32.66,6865.77,20.57,7180.61,7.12,,,-1565.13,15.89,-13286.94,88.59,230Pu
,,5242.0,143.0,7730.0,100.0,,,1863.0,159.0,,,230Am
9051.0,298.0,,,1748.0,499.0,8237.0,298.0,,,-1104.0,298.0,231Rn
9730.32,9.21,17321.0,401.0,2172.0,298.0,6317.73,15.16,,,-507.05,12.88,231Fr
10488.11,19.18,15723.86,17.3,2905.74,18.11,4400.59,11.43,-11120.0,196.0,-3693.21,19.49,231Ra
11069.72,17.8,14483.35,13.97,3655.49,14.31,2338.45,13.16,-11012.89,14.59,-3171.06,13.1,231Ac
11912.33,2.21,13324.01,15.49,4213.26,1.55,9.88,2.48,-7989.39,10.37,-6429.03,2.84,231Th
12615.14,2.85,11843.47,12.24,5149.91,0.83,-2200.11,50.55,-7702.95,15.93,-6261.91,4.71,231Pa
13547.17,6.45,10357.51,3.26,5576.28,1.66,-4502.99,22.69,-4345.55,2.49,-9501.59,51.35,231U
14297.8,100.48,8850.34,50.63,6368.4,50.0,-6785.0,304.0,-3838.06,50.62,-9381.2,52.66,231Np
15229.22,55.9,7479.49,23.26,6838.63,20.35,-8961.0,301.0,-594.97,22.96,-12694.0,135.0,231Pu
15883.0,312.0,5948.0,312.0,7423.0,309.0,,,-115.0,304.0,,,231Am
,,4704.0,304.0,8075.0,316.0,,,3046.0,300.0,,,231Cm
9556.57,15.43,,,1964.0,401.0,6918.41,19.11,,,-214.97,18.01,232Fr
10161.99,13.78,16129.0,196.0,2828.57,19.91,5050.17,9.26,-13246.0,298.0,-3337.21,15.93,232Ra
10826.6,20.51,14910.29,14.59,3345.28,14.68,3207.79,15.12,-10215.13,15.16,-2732.79,13.1,232Ac
11558.44,1.06,13647.46,10.39,4081.6,1.4,837.25,2.15,-10058.67,11.46,-6048.94,1.7,232Th
12369.61,8.03,12469.69,17.58,4626.99,7.89,-1413.0,100.0,-7105.19,15.12,-5930.7,7.94,232Pa
13148.11,4.66,10831.0,1.15,5413.63,0.09,-3753.61,17.66,-6495.33,1.17,-9086.3,50.56,232U
14019.0,112.0,9392.0,100.0,6011.0,100.0,-5980.0,316.0,-3354.0,100.0,-9021.0,103.0,232Np
14713.89,22.95,7829.8,18.11,6716.0,10.18,-7949.0,203.0,-2731.85,17.78,-12118.0,300.0,232Pu
15735.0,328.0,6475.0,304.0,7319.0,304.0,,,426.0,304.0,-12001.0,424.0,232Am
,,5200.0,203.0,7800.0,200.0,,,714.0,203.0,,,232Cm
9303.16,21.03,,,1672.0,401.0,7612.02,23.51,,,351.78,21.6,233Fr
10025.06,14.26,16697.0,298.0,2546.74,15.62,5602.35,8.72,,,-2891.68,15.62,233Ra
10597.45,18.44,15350.48,15.16,3214.86,13.97,3818.56,13.11,-12053.77,19.11,-2210.07,13.12,233Ac
11226.81,1.07,14062.71,11.46,3744.84,15.51,1812.54,2.16,-9054.21,9.26,-5286.24,7.73,233Th
12077.57,1.66,12851.32,13.11,4374.62,12.18,-459.12,50.98,-8953.92,13.11,-5191.38,1.81,233Pa
13029.47,3.16,11474.66,2.06,4908.68,1.18,-3132.59,50.4,-5816.58,2.16,-8512.0,100.0,233U
13818.56,71.77,10053.75,50.95,5626.77,50.87,-5315.0,114.0,-5287.01,51.53,-8485.87,53.93,233Np
14399.87,55.15,8332.19,50.41,6416.3,50.0,-7242.24,87.47,-1846.73,50.37,-11359.0,304.0,233Pu
15289.0,317.0,6939.0,114.0,7059.0,53.0,-9598.0,246.0,-1385.0,143.0,-11120.0,226.0,233Am
16118.0,308.0,5592.94,75.0,7473.5,50.0,,,1641.9,73.66,,,233Cm
,,4127.0,374.0,8286.0,206.0,,,2232.0,374.0,,,233Bk
9708.96,12.41,,,2458.0,196.0,6317.62,8.77,,,-2448.72,15.5,234Ra
10455.86,19.11,15809.58,19.76,2929.51,15.43,4502.27,14.56,-11367.83,24.04,-1961.84,14.04,234Ac
10976.41,2.57,14461.89,9.51,3671.79,10.62,2467.98,2.44,-11010.02,8.98,-4947.78,2.53,234Th
11750.35,8.58,13393.44,13.67,4075.62,16.36,384.05,9.23,-8258.08,13.67,-4651.57,4.45,234Pa
12607.14,1.57,11879.7,0.92,4857.52,0.68,-2204.95,6.81,-7875.66,0.93,-7874.88,50.97,234U
13547.0,100.0,10569.7,11.26,5356.35,8.81,-4506.0,159.0,-4823.57,8.36,-8168.22,51.04,234Np
14155.8,18.81,8837.5,6.9,6310.05,5.09,-6374.66,18.63,-3858.18,7.08,-10985.0,102.0,234Pu
15021.0,339.0,7476.0,187.0,6800.0,150.0,-8994.0,213.0,-776.0,167.0,-10904.0,174.0,234Am
15730.0,203.0,6216.45,24.69,7365.33,9.1,,,-616.11,53.25,-14208.0,225.0,234Cm
,,4462.0,332.0,8098.6,50.0,,,2903.0,175.0,,,234Bk
9347.0,300.0,,,2251.0,423.0,7112.0,300.0,,,-1783.0,300.0,235Ra
10093.51,19.11,16140.84,24.04,2851.66,15.97,5068.26,19.76,,,-1327.17,14.21,235Ac
10856.6,13.12,14894.25,15.62,3376.35,17.3,3098.9,13.09,-10201.85,15.5,-4392.49,13.67,235Th
11343.21,14.04,13597.08,19.11,4101.13,19.11,1245.79,14.04,-9841.26,19.76,-3927.45,14.02,235Pa
12142.96,2.0,12390.81,0.91,4678.04,0.69,-1263.56,20.5,-6983.13,2.43,-7107.34,8.32,235U
13048.12,50.97,11024.3,1.17,5193.79,1.47,-3582.32,52.2,-6584.78,4.08,-7378.18,6.86,235Np
14011.99,54.37,9314.71,20.59,5951.48,20.35,-5852.0,202.0,-3251.59,20.5,-10350.0,160.0,235Pu
14780.0,114.0,7901.1,72.94,6576.0,13.0,-8079.0,404.0,-2618.41,52.85,-10170.52,55.0,235Am
15403.0,214.0,6596.0,207.0,7300.0,200.0,,,395.0,201.0,-13493.0,246.0,235Cm
16300.0,459.0,5137.0,413.0,7869.0,500.0,,,954.0,431.0,,,235Bk
9762.83,40.67,,,2723.24,40.67,5887.04,40.67,,,-868.07,40.36,236Ac
10500.45,14.21,15253.37,16.29,3333.33,16.7,3810.55,14.02,-12163.0,300.0,-4105.02,19.76,236Th
11147.6,14.56,14085.18,19.76,3754.62,19.11,1955.77,52.32,-9312.18,19.76,-3656.21,14.02,236Pa
11843.02,0.33,12746.31,2.42,4572.94,0.87,-456.95,1.63,-8862.08,13.09,-6669.78,0.89,236U
12719.33,51.1,11538.68,50.57,5006.63,50.93,-2662.0,123.0,-6199.69,52.32,-6875.55,54.41,236Np
13591.01,6.9,9821.37,1.58,5867.15,0.08,-4953.45,18.38,-5306.22,1.59,-9795.15,52.21,236Pu
14563.0,194.0,8492.0,112.0,6256.2,50.0,-7502.0,416.0,-2291.0,112.0,-10065.0,230.0,236Am
15012.22,25.21,7072.87,19.49,7066.99,5.09,,,-1616.34,27.5,-12920.0,401.0,236Cm
16056.0,425.0,5497.0,431.0,7778.0,500.0,,,1628.0,404.0,,,236Bk
9480.0,400.0,,,2675.0,400.0,6493.0,400.0,,,-306.0,400.0,237Ac
10205.29,20.51,15753.0,300.0,3196.12,18.02,4564.9,15.88,,,-3450.18,21.12,237Th
10903.91,19.11,14407.48,19.11,3794.67,18.44,2655.96,13.09,-10982.34,40.36,-2988.34,13.09,237Pa
11671.29,0.53,13205.5,13.1,4233.56,0.99,298.47,1.38,-8153.97,14.02,-6059.3,50.42,237U
12314.08,0.91,11995.18,14.02,4957.27,0.74,-1698.0,59.0,-7751.26,14.02,-6101.25,1.64,237Np
13233.32,20.54,10405.07,1.32,5747.63,2.26,-4155.36,70.98,-4641.89,1.31,-9020.0,112.0,237Pu
14198.0,79.0,9051.0,59.0,6196.0,30.0,-6618.0,232.0,-4097.0,78.0,-9357.0,62.0,237Am
14929.0,213.0,7513.27,73.86,6770.4,50.0,-8691.84,112.48,-943.48,70.97,-12367.0,407.0,237Cm
15658.0,459.0,6015.0,230.0,7500.0,200.0,,,-141.0,251.0,,,237Bk
,,4673.0,219.0,8220.0,50.0,,,2794.91,89.17,,,237Cf
9873.0,284.0,,,3169.0,283.0,5217.0,283.0,,,-3074.0,284.0,238Th
10582.55,21.12,14904.9,41.34,3627.93,21.12,3439.38,15.88,-10415.0,400.0,-2567.47,15.88,238Pa
11279.5,1.18,13525.36,14.05,4269.86,2.12,1144.57,1.22,-9936.28,15.91,-5635.19,1.18,238U
12066.16,50.42,12457.23,14.02,4690.82,4.0,-966.83,50.69,-7361.93,13.09,-5708.38,1.31,238Np
12881.01,1.59,10859.37,0.36,5593.27,0.19,-3281.97,12.24,-6515.95,0.58,-8478.0,59.0,238Pu
13762.0,123.0,9534.63,71.49,6041.7,50.0,-5795.0,260.0,-3739.14,50.69,-8896.92,87.21,238Am
14552.49,21.98,8034.35,12.29,6670.3,10.17,-7832.0,298.0,-2935.51,12.31,-11814.0,225.0,238Cm
15469.0,475.0,6402.0,279.0,7330.0,200.0,,,357.0,262.0,-11794.0,270.0,238Bk
,,5155.0,299.0,8128.0,299.0,,,742.0,306.0,,,238Cf
9647.0,400.0,,,2896.0,500.0,5878.0,400.0,,,-2515.0,400.0,239Th
10333.0,196.0,15261.0,445.0,3555.0,196.0,4026.0,196.0,,,-2042.0,196.0,239Pa
10960.11,1.27,13960.32,15.91,4130.05,13.13,1984.44,1.2,-9241.0,283.0,-4953.26,1.21,239U
11703.24,0.97,12794.5,13.11,4597.24,14.03,-79.37,1.9,-8871.95,15.89,-4923.47,0.98,239Np
12646.07,1.32,11379.85,0.52,5244.52,0.21,-2558.74,54.04,-6008.47,1.19,-7904.52,50.69,239Pu
