N,Z,A,EL,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,Element_w_A
9,9,18,F,,873.113,0.46299999999999997,7631.638000000001,0.026000000000000002,-4444.501,0.589,18000937.325,0.49700000000000005,18F
8,10,18,Ne,,5317.6140000000005,0.363,7341.257,0.02,-19720.374,93.882,18005708.693,0.39,18Ne
7,11,18,Na,,25037.987999999998,93.881,6202.217,5.216,,,18026879.386,100.785,18Na
14,5,19,B,x,59770.244000000006,525.363,4719.634,27.651,27356.492,534.496,19064166.0,564.0,19B
13,6,19,C,-n,32413.752,98.389,6118.273,5.178,16557.471,99.74799999999999,19034797.596,105.625,19C
12,7,19,N,p-2n,15856.282,16.404,6948.543000000001,0.863,12523.424,16.614,19017022.419,17.61,19N
11,8,19,O,-n,3332.8579999999997,2.637,7566.495,0.139,4820.302,2.637,19003577.97,2.83,19O
10,9,19,F,,-1487.4442,0.00086,7779.018,0.0,-3239.494,0.16,18998403.16288,0.00093,19F
9,10,19,Ne,+3n,1752.05,0.16,7567.343000000001,0.008,-11177.34,10.536,19001880.903,0.171,19Ne
8,11,19,Na,,12929.39,10.535,6937.885,0.5539999999999999,-18898.998,51.099,19013880.272,11.309000000000001,19Na
7,12,19,Mg,-pp,31828.389,50.001000000000005,5902.025,2.6319999999999997,,,19034169.182,53.678000000000004,19Mg
15,5,20,B,x,68450.0,800.0,4453.0,40.0,30946.0,833.0,20073484.0,859.0,20B
14,6,20,C,x,37503.562999999995,230.625,5961.435,11.530999999999999,15737.067,243.74599999999998,20040261.732,247.585,20C
13,7,20,N,x,21766.496,78.89399999999999,6709.170999999999,3.945,17970.324,78.899,20023367.295,84.696,20N
12,8,20,O,-nn,3796.172,0.885,7568.57,0.044000000000000004,3813.635,0.885,20004075.358,0.95,20O
11,9,20,F,-n,-17.463,0.03,7720.134,0.002,7024.467,0.03,19999981.252,0.031,20F
10,10,20,Ne,,-7041.93055,0.00157,8032.24,0.0,-13892.535,1.114,19992440.17619,0.00168,20Ne
9,11,20,Na,,6850.604,1.114,7298.496,0.055999999999999994,-10627.088,2.171,20007354.426,1.195,20Na
8,12,20,Mg,+t,17477.692,1.8630000000000002,6728.025,0.09300000000000001,,,20018763.075,2.0,20Mg
16,5,21,B,x,77330.0,900.0,4203.0,43.0,31687.0,1079.0,21083017.0,966.0,21B
15,6,21,C,x,45643.0,596.0,5674.0,28.0,20411.0,611.0,21049000.0,640.0,21C
14,7,21,N,x,25231.912999999997,134.048,6609.015,6.382999999999999,17169.878,134.584,21027087.573,143.906,21N
13,8,21,O,-3n,8062.035,12.0,7389.374,0.5710000000000001,8109.64,12.134,21008654.95,12.882,21O
12,9,21,F,-nn,-47.605,1.8,7738.293000000001,0.086,5684.171,1.8,20999948.894,1.932,21F
11,10,21,Ne,,-5731.776,0.038,7971.713000000001,0.002,-3547.145,0.09,20993846.685,0.040999999999999995,21Ne
10,11,21,Na,,-2184.631,0.098,7765.547,0.005,-13088.48,0.7609999999999999,20997654.702,0.105,21Na
9,12,21,Mg,x,10903.85,0.755,7105.031,0.036000000000000004,-16086.0,596.0,21011705.764,0.81,21Mg
8,13,21,Al,x,26990.0,596.0,6302.0,28.0,,,21028975.0,640.0,21Al
16,6,22,C,-nn,53611.197,231.49,5421.076999999999,10.522,21846.396,311.063,22057553.99,248.515,22C
15,7,22,N,x,31764.801,207.77900000000002,6378.534000000001,9.445,22481.768,215.435,22034100.918,223.06,22N
14,8,22,O,-4n,9283.033000000001,56.92100000000001,7364.871,2.5869999999999997,6489.66,58.256,22009965.746,61.107,22O
13,9,22,F,+,2793.373,12.399000000000001,7624.295,0.564,10818.092,12.399000000000001,22002998.809,13.31,22F
12,10,22,Ne,,-8024.719,0.018000000000000002,8080.465,0.001,-2843.207,0.171,21991385.109,0.018000000000000002,22Ne
11,11,22,Na,,-5181.5109999999995,0.171,7915.6669999999995,0.008,-4781.578,0.321,21994437.418,0.183,22Na
10,12,22,Mg,,-399.93300000000005,0.313,7662.7609999999995,0.013999999999999999,-18601.0,401.0,21999570.654,0.335,22Mg
9,13,22,Al,x,18201.0,401.0,6782.0,18.0,-15137.0,643.0,22019540.0,430.0,22Al
8,14,22,Si,x,33338.0,503.0,6058.0,23.0,,,22035790.0,540.0,22Si
17,6,23,C,x,64171.0,997.0,5077.0,43.0,27450.0,1082.0,23068890.0,1070.0,23C
16,7,23,N,x,36720.425,420.57,6236.670999999999,18.285999999999998,22099.056,437.827,23039421.0,451.5,23N
