#       Excited-level deformation parameters
#  Z   A El        Ex     J  P L       beta  Reference   
#                [MeV]
#------------------------------------------------------  
  22  50 Ti   4.410000  3.0 -1 3   0.137789  Kibedi      
  23  48 V    0.308270  2.0  1 2   0.438551  ENSDF(Q)    
  23  50 V    0.226200  5.0  1 2   0.101226  ENSDF(BE2)  
  23  51 V    0.320083  2.5 -1 2   0.105659  ENSDF(BE2)  
  23  51 V    0.928660  1.5 -1 2   0.052023  ENSDF(BE2)  
  23  51 V    0.928660  1.5 -1 2   0.061002  ENSDF(BE2)  
  23  51 V    0.928700  1.5 -1 2   0.250000  JENDL-3.2   
  23  51 V    1.608900  5.5 -1 2   0.250000  JENDL-3.2   
  23  51 V    1.813100  4.5 -1 2   0.250000  JENDL-3.2   
  23  51 V    1.813240  4.5 -1 2   0.058163  ENSDF(BE2)  
  23  51 V    3.780000  3.5  1 3   0.150000  JENDL-3.2(p)
  23  51 V    3.830000  5.5 -1 2   0.150000  JENDL-3.2(p)
  23  51 V    3.880000  4.5 -1 2   0.150000  JENDL-3.2(p)
  24  48 Cr   0.752160  2.0  1 2   0.337000  Raman2      
  24  50 Cr   0.783300  2.0  1 2   0.275000  JENDL-3.2   
  24  50 Cr   0.783300  2.0  1 2   0.293000  Raman2      
  24  50 Cr   0.783300  2.0  1 2   0.336743  ENSDF(Q)    
  24  50 Cr   1.881300  4.0  1 2   0.070000  JENDL-3.2   
  24  50 Cr   2.924500  2.0  1 2   0.070000  JENDL-3.2   
  24  50 Cr   3.161100  2.0  1 2   0.070000  JENDL-3.2   
  24  50 Cr   4.052000  3.0 -1 3   0.116037  Kibedi      
  24  52 Cr   1.434090  2.0  1 2   0.223000  Raman2      
  24  52 Cr   1.434100  2.0  1 2   0.200000  JENDL-3.2   
  24  52 Cr   2.369600  4.0  1 2   0.077000  JENDL-3.2   
  24  52 Cr   2.767700  4.0  1 2   0.077000  JENDL-3.2   
  24  52 Cr   2.964800  2.0  1 2   0.075000  JENDL-3.2   
  24  52 Cr   3.113800  6.0  1 2   0.075000  JENDL-3.2   
  24  52 Cr   3.161700  2.0  1 2   0.069000  JENDL-3.2   
  24  52 Cr   3.161740  2.0  1 2   0.030635  ENSDF(BE2)  
  24  52 Cr   3.771720  2.0  1 2   0.086563  ENSDF(BE2)  
  24  52 Cr   4.563000  3.0 -1 3   0.135000  JENDL-3.2   
  24  52 Cr   4.563000  3.0 -1 3   0.156589  Kibedi      
  24  52 Cr   4.563000  3.0 -1 3   0.157798  ENSDF(BE3)  
  24  52 Cr   6.580000  3.0 -1 3   0.091105  ENSDF(BE3)  
  24  52 Cr   7.100000  3.0 -1 2   0.046035  ENSDF(BE2)  
  24  52 Cr   7.900001  3.0  1 3   0.102780  ENSDF(BE3)  
  24  52 Cr   8.600000  3.0 -1 3   0.091105  ENSDF(BE3)  
  24  53 Cr   0.564100  0.5 -1 2   0.100000  JENDL-3.2   
  24  53 Cr   1.006500  2.5 -1 2   0.160000  JENDL-3.2   
  24  53 Cr   1.289600  3.5 -1 2   0.300000  JENDL-3.2   
  24  53 Cr   1.536700  3.5 -1 2   0.094000  JENDL-3.2   
  24  53 Cr   1.973600  2.5 -1 2   0.220000  JENDL-3.2   
  24  54 Cr   0.834800  2.0  1 2   0.224000  JENDL-3.2   
  24  54 Cr   0.834855  2.0  1 2   0.250000  Raman2      
  24  54 Cr   1.823900  4.0  1 2   0.063000  JENDL-3.2   
  24  54 Cr   2.619600  2.0  1 2   0.063000  JENDL-3.2   
  24  54 Cr   3.073900  2.0  1 2   0.063000  JENDL-3.2   
  24  54 Cr   3.159300  4.0  1 2   0.063000  JENDL-3.2   
  25  55 Mn   0.125900  3.5 -1 2   0.300000  JENDL-3.2   
  25  55 Mn   0.984300  4.5 -1 2   0.220000  JENDL-3.2   
  25  55 Mn   1.884000  3.5 -1 2   0.160000  JENDL-3.2   
  25  55 Mn   2.252400  1.5 -1 2   0.120000  JENDL-3.2   
  25  55 Mn   2.365800  2.5 -1 2   0.120000  JENDL-3.2   
  25  55 Mn   2.398400  4.5 -1 2   0.070000  JENDL-3.2   
  25  55 Mn   2.563000  1.5 -1 2   0.070000  JENDL-3.2   
  25  55 Mn   2.822000  4.5 -1 2   0.070000  JENDL-3.2   
  25  55 Mn   3.050830  2.5  1 3   0.131928  ENSDF(BE3)  
  25  55 Mn   3.268000  2.5 -1 2   0.090000  JENDL-3.2   
  25  55 Mn   3.432000  0.5 -1 2   0.070000  JENDL-3.2   
  25  55 Mn   3.661000  2.5 -1 2   0.110000  JENDL-3.2   
  25  55 Mn   3.772000  2.5 -1 2   0.110000  JENDL-3.2   
  25  55 Mn   4.113000  2.5  1 3   0.140000  JENDL-3.2   
  25  55 Mn   4.234000  5.5  1 3   0.240000  JENDL-3.2   
  26  54 Fe   1.408190  2.0  1 2   0.195000  Raman2      
  26  54 Fe   1.408190  2.0  1 2   0.198577  ENSDF(BE2)  
  26  54 Fe   1.408200  2.0  1 2   0.180000  JENDL-3.2   
  26  54 Fe   2.538100  4.0  1 2   0.050000  JENDL-3.2   
  26  54 Fe   2.949100  6.0  1 2   0.020000  JENDL-3.2   
  26  54 Fe   2.959100  6.0  1 2   0.098000  JENDL-3.2   
  26  54 Fe   3.166000  2.0  1 2   0.052000  JENDL-3.2   
  26  54 Fe   3.295100  4.0  1 2   0.033000  JENDL-3.2   
  26  54 Fe   3.833200  4.0  1 2   0.052000  JENDL-3.2   
  26  54 Fe   4.047700  4.0  1 2   0.024000  JENDL-3.2   
  26  54 Fe   4.267800  4.0  1 2   0.045000  JENDL-3.2   
  26  54 Fe   4.578500  2.0  1 2   0.026000  JENDL-3.2   
  26  54 Fe   4.782000  3.0 -1 3   0.114520  Kibedi      
  26  56 Fe   0.846400  2.0  1 2   0.170000  JENDL-3.2   
  26  56 Fe   0.846776  2.0  1 2   0.156398  ENSDF(Q)    
  26  56 Fe   0.846776  2.0  1 2   0.188383  ENSDF(Q)    
  26  56 Fe   0.846776  2.0  1 2   0.239200  Raman2      
  26  56 Fe   2.085100  4.0  1 2   0.022000  JENDL-3.2   
  26  56 Fe   2.657500  2.0  1 2   0.045000  JENDL-3.2   
  26  56 Fe   2.959900  2.0  1 2   0.015000  JENDL-3.2   
  26  56 Fe   3.122900  4.0  1 2   0.065000  JENDL-3.2   
  26  56 Fe   3.369700  2.0  1 2   0.045000  JENDL-3.2   
  26  56 Fe   3.388500  6.0  1 2   0.028000  JENDL-3.2   
  26  56 Fe   3.601800  2.0  1 2   0.038000  JENDL-3.2   
  26  56 Fe   3.755000  6.0  1 2   0.030000  JENDL-3.2   
  26  56 Fe   3.832000  2.0  1 2   0.023000  JENDL-3.2   
  26  56 Fe   4.120000  4.0  1 2   0.034000  JENDL-3.2   
  26  56 Fe   4.298000  4.0  1 2   0.030000  JENDL-3.2   
  26  56 Fe   4.401000  2.0  1 2   0.038000  JENDL-3.2   
  26  56 Fe   4.510000  3.0 -1 3   0.075000  JENDL-3.2   
  26  56 Fe   4.510000  3.0 -1 3   0.196980  Kibedi      
  26  56 Fe   4.612000  4.0  1 2   0.041000  JENDL-3.2   
  26  56 Fe   4.740000  2.0  1 2   0.038000  JENDL-3.2   
  26  56 Fe   4.880000  2.0  1 2   0.038000  JENDL-3.2   
  26  57 Fe   0.014413  1.5 -1 2  -0.133073  ENSDF(Q)    
  26  57 Fe   0.706400  2.5 -1 2   0.170000  JENDL-3.2   
  26  57 Fe   1.007100  3.5 -1 2   0.170000  JENDL-3.2   
  26  57 Fe   1.197800  4.5 -1 2   0.170000  JENDL-3.2   
  26  58 Fe   0.810784  2.0  1 2   0.215138  ENSDF(Q)    
  26  58 Fe   0.810784  2.0  1 2   0.258600  Raman2      
  26  58 Fe   0.810800  2.0  1 2   0.260000  JENDL-3.2   
  26  58 Fe   3.860800  3.0 -1 3   0.189518  ENSDF(BE3)  
  26  58 Fe   3.861000  3.0 -1 3   0.189507  Kibedi      
  26  60 Fe   0.823630  2.0  1 2   0.225000  Raman2      
  27  59 Co   1.099300  1.5 -1 2   0.140000  JENDL-3.2   
  27  59 Co   1.190500  4.5 -1 2   0.200000  JENDL-3.2   
  27  59 Co   1.292000  1.5 -1 2   0.320000  JENDL-3.2   
  27  59 Co   1.459500  5.5 -1 2   0.100000  JENDL-3.2   
  27  59 Co   1.482000  2.5 -1 2   0.290000  JENDL-3.2   
  27  59 Co   1.745000  3.5 -1 2   0.250000  JENDL-3.2   
  27  59 Co   2.063000  3.5 -1 2   0.110000  JENDL-3.2   
  27  59 Co   2.088000  2.5 -1 2   0.063000  JENDL-3.2   
  27  59 Co   2.205000  2.5 -1 2   0.056000  JENDL-3.2   
  27  60 Co   0.614500  3.0  1 2   0.130000  JENDL-3.2   
  27  60 Co   0.785700  4.0  1 2   0.130000  JENDL-3.2   
  27  60 Co   1.005800  4.0  1 2   0.130000  JENDL-3.2   
  28  56 Ni   2.700600  2.0  1 2   0.173000  Raman2      
  28  58 Ni   1.454000  2.0  1 2   0.075621  ENSDF(Q)    
  28  58 Ni   1.454000  2.0  1 2   0.180000  JENDL-3.2   
  28  58 Ni   1.454000  2.0  1 2   0.182800  Raman2      
  28  58 Ni   2.459100  4.0  1 2   0.085000  JENDL-3.2   
  28  58 Ni   3.037600  2.0  1 2   0.050000  JENDL-3.2   
  28  58 Ni   3.524000  4.0  1 2   0.085000  JENDL-3.2   
  28  58 Ni   3.900000  2.0  1 2   0.085000  JENDL-3.2   
  28  58 Ni   4.475000  3.0 -1 3   0.120000  JENDL-3.2   
  28  58 Ni   4.475000  3.0 -1 3   0.198012  Kibedi      
  28  60 Ni   1.332500  2.0  1 2   0.180000  JENDL-3.2   
  28  60 Ni   1.332518  2.0  1 2  -0.022529  ENSDF(Q)    
  28  60 Ni   1.332518  2.0  1 2   0.207000  Raman2      
  28  60 Ni   2.505800  4.0  1 2   0.085000  JENDL-3.2   
  28  60 Ni   3.124000  2.0  1 2   0.050000  JENDL-3.2   
  28  60 Ni   3.395500  2.0  1 2   0.050000  JENDL-3.2   
  28  60 Ni   4.039000  3.0 -1 3   0.120000  JENDL-3.2   
  28  60 Ni   4.040000  3.0 -1 3   0.209084  Kibedi      
  28  61 Ni   0.067413  2.5 -1 2   0.267188  ENSDF(Q)    
  28  61 Ni   0.908600  2.5 -1 2   0.160000  JENDL-3.2   
  28  61 Ni   1.015200  3.5 -1 2   0.160000  JENDL-3.2   
  28  61 Ni   1.099600  1.5 -1 2   0.160000  JENDL-3.2   
  28  61 Ni   1.132300  2.5 -1 2   0.160000  JENDL-3.2   
  28  61 Ni   1.185200  1.5 -1 2   0.160000  JENDL-3.2   
  28  62 Ni   1.172900  2.0  1 2   0.200000  JENDL-3.2   
  28  62 Ni   1.172910  2.0  1 2   0.196735  ENSDF(BE2)  
  28  62 Ni   1.172910  2.0  1 2   0.197800  Raman2      
  28  62 Ni   3.756600  3.0 -1 3   0.140000  JENDL-3.2   
  28  62 Ni   3.757000  3.0 -1 3   0.197463  Kibedi      
  28  63 Ni   0.517600  1.5 -1 2   0.160000  JENDL-3.2   
  28  63 Ni   1.001100  0.5 -1 2   0.160000  JENDL-3.2   
  28  63 Ni   1.256000  2.5 -1 2   0.160000  JENDL-3.2   
  28  64 Ni   1.345750  2.0  1 2  -0.261830  ENSDF(Q)    
  28  64 Ni   1.345750  2.0  1 2   0.175432  ENSDF(BE2)  
  28  64 Ni   1.345750  2.0  1 2   0.179000  Raman2      
  28  64 Ni   3.275980  2.0  1 2   0.033108  ENSDF(BE2)  
  28  64 Ni   3.560000  3.0 -1 3   0.200629  Kibedi      
  28  64 Ni   3.560400  3.0 -1 3   0.238170  ENSDF(BE3)  
  28  64 Ni   4.573140  2.0  1 2   0.023411  ENSDF(BE2)  
  28  64 Ni   4.640670  2.0  1 2   0.036152  ENSDF(BE2)  
  28  64 Ni   4.991000  2.0  1 2   0.036152  ENSDF(BE2)  
  28  64 Ni   5.370000  3.0 -1 3   0.066269  ENSDF(BE3)  
  28  64 Ni   5.408000  2.0  1 2   0.039496  ENSDF(BE2)  
  28  64 Ni   5.484000  0.0 -1 3   0.038261  ENSDF(BE3)  
  28  64 Ni   5.817000  3.0 -1 3   0.039899  ENSDF(BE3)  
  28  64 Ni   6.018000  3.0 -1 3   0.050614  ENSDF(BE3)  
  28  64 Ni   6.116000  3.0 -1 3   0.050614  ENSDF(BE3)  
  28  66 Ni   1.425100  2.0  1 2   0.158000  Raman2      
  28  68 Ni   2.033200  2.0  1 2   0.100000  Raman2      
  29  63 Cu   0.669600  0.5 -1 2   0.200000  JENDL-3.2   
  29  63 Cu   0.962100  2.5 -1 2   0.220000  JENDL-3.2   
  29  63 Cu   1.327100  3.5 -1 2   0.200000  JENDL-3.2   
  29  63 Cu   1.412000  2.5 -1 2   0.090000  JENDL-3.2   
  29  63 Cu   2.505000  4.5  1 3   0.170000  JENDL-3.2   
  29  63 Cu   3.300000  3.5  1 3   0.180000  JENDL-3.2   
  29  63 Cu   3.480000  2.5  1 3   0.170000  JENDL-3.2   
  29  63 Cu   3.700000  1.5  1 3   0.170000  JENDL-3.2   
  29  65 Cu   0.770600  0.5 -1 2   0.200000  JENDL-3.2   
  29  65 Cu   1.116000  2.5 -1 2   0.220000  JENDL-3.2   
  29  65 Cu   1.482000  3.5 -1 2   0.190000  JENDL-3.2   
  29  65 Cu   1.623000  2.5 -1 2   0.080000  JENDL-3.2   
  29  65 Cu   2.534000  4.5  1 3   0.170000  JENDL-3.2   
  29  65 Cu   3.080000  3.5  1 3   0.180000  JENDL-3.2   
  29  65 Cu   3.350000  2.5  1 3   0.170000  JENDL-3.2   
  29  65 Cu   3.500000  1.5  1 3   0.170000  JENDL-3.2   
  29  70 Cu   0.140000  5.0 -1 3   0.069629  ENSDF(BE3)  
  29  70 Cu   0.140000  5.0 -1 3   0.072636  ENSDF(BE3)  
  30  62 Zn   0.954000  2.0  1 2   0.218000  Raman2      
  30  64 Zn   0.991500  2.0  1 2   0.230000  JENDL-3.2   
  30  64 Zn   0.991550  2.0  1 2   0.207200  ENSDF(Q)    
  30  64 Zn   0.991550  2.0  1 2   0.242000  Raman2      
  30  64 Zn   0.991550  2.0  1 2   0.243163  ENSDF(BE2)  
  30  64 Zn   0.991550  2.0  1 2   0.243917  ENSDF(BE2)  
  30  64 Zn   0.991550  2.0  1 2   0.248393  ENSDF(BE2)  
  30  64 Zn   0.991550  2.0  1 2   0.249867  ENSDF(BE2)  
  30  64 Zn   1.799350  2.0  1 2   0.024987  ENSDF(BE2)  
  30  64 Zn   2.998000  3.0 -1 3   0.232787  Kibedi      
  30  64 Zn   2.998380  3.0 -1 3   0.252507  ENSDF(BE3)  
  30  64 Zn   2.998600  3.0 -1 3   0.150000  JENDL-3.2   
  30  66 Zn   1.039390  2.0  1 2   0.218000  Raman2      
  30  66 Zn   1.039400  2.0  1 2   0.220000  JENDL-3.2   
  30  66 Zn   2.703500  3.0 -1 3   0.140000  JENDL-3.2   
  30  66 Zn   2.827000  3.0 -1 3   0.235481  Kibedi      
  30  66 Zn   4.075700  6.0 -1 2   0.037691  ENSDF(Q)    
  30  67 Zn   0.604490  4.5  1 2  -0.459335  ENSDF(Q)    
  30  67 Zn   0.814900  3.5 -1 2   0.280000  JENDL-3.2   
  30  67 Zn   0.870900  1.5 -1 2   0.280000  JENDL-3.2   
  30  67 Zn   0.887700  2.5 -1 2   0.280000  JENDL-3.2   
  30  67 Zn   2.000000  2.5  1 3   0.140000  JENDL-3.2(p)
  30  67 Zn   2.500000  4.5  1 3   0.140000  JENDL-3.2(p)
  30  67 Zn   3.000000  3.5  1 3   0.140000  JENDL-3.2(p)
  30  68 Zn   1.077370  2.0  1 2   0.205000  Raman2      
  30  68 Zn   1.077400  2.0  1 2   0.210000  JENDL-3.2   
  30  68 Zn   1.883140  2.0  1 2   0.039474  ENSDF(BE2)  
  30  68 Zn   2.750000  3.0 -1 3   0.231623  Kibedi      
  30  68 Zn   2.750380  3.0 -1 3   0.176249  ENSDF(BE3)  
  30  68 Zn   2.750700  3.0 -1 3   0.140000  JENDL-3.2   
  30  69 Zn   0.438640  4.5  1 2   0.224174  ENSDF(Q)    
  30  70 Zn   0.884800  2.0  1 2   0.143533  ENSDF(Q)    
  30  70 Zn   0.884800  2.0  1 2   0.228000  Raman2      
  30  70 Zn   0.884800  2.0  1 2   0.242201  ENSDF(BE2)  
  30  70 Zn   0.884900  2.0  1 2   0.230000  JENDL-3.2   
  30  70 Zn   1.759100  2.0  1 2   0.040367  ENSDF(BE2)  
  30  70 Zn   2.859000  3.0 -1 3   0.209680  Kibedi      
  30  70 Zn   2.859200  3.0 -1 3   0.140000  JENDL-3.2   
  31  66 Ga   1.464330  7.0  1 2  -0.364527  ENSDF(Q)    
  31  68 Ga   1.229870  7.0 -1 2  -0.347523  ENSDF(Q)    
  31  69 Ga   0.318690  0.5 -1 2   0.045996  ENSDF(BE2)  
  31  69 Ga   0.574210  2.5 -1 2   0.014967  ENSDF(BE2)  
