 47 |  3.366500 |  3.0|  1|  6.100E-13|  2| c|    |           |   (3+,4)  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  27|      0.401|  1.931E-01| | 1.947E-01  7.900E-03
    |           |     |   |           |   |  |   8|      1.072|  8.048E-01| | 8.053E-01  6.760E-04
 48 |  3.368100 |  7.0| -1|           |  2| u|    |           |     (7-)  |0|                                                                                                                                                                                                                              0.000000  1    
    |           |     |   |           |   |  |  15|      0.758|  6.659E-01| | 6.669E-01  1.590E-03
    |           |     |   |           |   |  |  11|      0.945|  3.329E-01| | 3.331E-01  3.880E-04
 49 |  3.371100 |  3.0|  1|  1.400E-13|  4| c|    |           |  (2,3,4)  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  27|      0.406|  2.741E-01| | 2.762E-01  7.700E-03
    |           |     |   |           |   |  |  13|      0.806|  3.071E-01| | 3.075E-01  1.290E-03
    |           |     |   |           |   |  |   6|      1.304|  8.586E-02| | 8.590E-02  4.700E-04
    |           |     |   |           |   |  |   3|      1.797|  3.302E-01| | 3.304E-01  4.320E-04
 50 |  3.376000 |  4.0|  1|           |  0| u|    |           |     (4+)  |0|                                                                                                                                                                                                                              0.000000       
 51 |  3.380000 |  3.0| -1|           |  0| n|    |           |           |0|                                                                                                                                                                                                                              0.000000       
 52 |  3.389400 |  5.0| -1|  4.900E-13|  1| u|    |           |     (5)-  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   8|      1.095|  9.998E-01| | 1.000E+00  2.500E-04
 53 |  3.398300 |  3.0|  1|  3.500E-14|  1| c|    |           |    (3,4)  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   3|      1.825|  9.996E-01| | 1.000E+00  4.370E-04
 54 |  3.400830 |  3.0| -1|  2.290E-14|  2| g|    |           |           |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   5|      1.537|  4.027E-02| | 4.028E-02  4.260E-04
