 89 |  7.387000 |  3.0| -1|           |  0|  |    |           |     (3-)  |0|                                                                                                                                                                                                                              0.000000       
 90 |  7.407000 | -1.0|  0|           |  0|  |    |           |   (2:5)+  |0|                                                                                                                                                                                                                              0.000000       
 91 |  7.447000 | -1.0|  0|           |  0|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
 92 |  7.471000 | -1.0|  0|           |  0|  |    |           |   (2:5)+  |0|                                                                                                                                                                                                                              0.000000       
 93 |  7.482920 |  2.0|  1|           |  1|  |    |           |     (2)+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   2|      5.929|  9.983E-01| | 1.000E+00  1.660E-03
 94 |  7.536000 |  3.0| -1|           |  0|  |    |           |     (3)-  |0|                                                                                                                                                                                                                              0.000000       
 95 |  7.539500 | -1.0|  0|           |  1|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  69|      0.770|  1.000E+00| | 1.000E+00  0.000E+00
 96 |  7.572500 | 10.0|  1|           |  1|  |    |           |    (10)+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  69|      0.802|  9.999E-01| | 1.000E+00  1.423E-04
 97 |  7.577000 | -1.0|  0|           |  0|  |    |           |    0+,1+  |0|                                                                                                                                                                                                                              0.000000       
 98 |  7.605000 |  3.0| -1|           |  0|  |    |           |       3-  |0|                                                                                                                                                                                                                              0.000000       
 99 |  7.631000 | -1.0|  0|           |  0|  |    |           |   (2:5)+  |0|                                                                                                                                                                                                                              0.000000       
100 |  7.667000 |  2.0|  1|           |  0|  |    |           |       2+  |0|                                                                                                                                                                                                                              0.000000       
101 |  7.699000 |  3.0| -1|           |  0|  |    |           |     (3)-  |0|                                                                                                                                                                                                                              0.000000       
102 |  7.734000 | -1.0|  0|           |  0|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
103 |  7.808000 |  0.0|  1|           |  0|  |    |           |     (0+)  |0|                                                                                                                                                                                                                              0.000000       
104 |  7.862000 | -1.0|  0|           |  0|  |    |           |    0+,1+  |0|                                                                                                                                                                                                                              0.000000       
105 |  7.925000 |  5.0| -1|           |  0|  |    |           |     (5)-  |0|                                                                                                                                                                                                                              0.000000       
106 |  7.941000 | -1.0|  0|           |  0|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
107 |  8.035000 |  4.0|  1|           |  0|  |    |           |     (4)+  |0|                                                                                                                                                                                                                              0.000000       
108 |  8.074000 |  1.0|  1|           |  0|  |    |           |     (1)+  |0|                                                                                                                                                                                                                              0.000000       
109 |  8.148000 | -1.0|  0|           |  0|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
110 |  8.205000 |  3.0| -1|           |  0|  |    |           |     (3)-  |0|                                                                                                                                                                                                                              0.000000       
111 |  8.238000 | -1.0|  0|           |  0|  |    |           |    0+,1+  |0|                                                                                                                                                                                                                              0.000000       
112 |  8.257700 | -1.0|  0|           |  1|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  60|      1.718|  1.000E+00| | 1.000E+00  0.000E+00
113 |  8.287000 |  3.0| -1|           |  0|  |    |           |     (3)-  |0|                                                                                                                                                                                                                              0.000000       
114 |  8.407000 | -1.0|  0|           |  0|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
115 |  8.444000 | -1.0|  0|           |  0|  |    |           |    0+,1+  |0|                                                                                                                                                                                                                              0.000000       
116 |  8.560000 |  1.0|  1|           |  0|  |    |           |       1+  |0|                                                                                                                                                                                                                              0.000000       
117 |  8.578000 |  3.0| -1|           |  0|  |    |           |     (3)-  |0|                                                                                                                                                                                                                              0.000000       
118 |  8.606000 |  1.0|  1|           |  0|  |    |           |     (1)+  |0|                                                                                                                                                                                                                              0.000000       
119 |  8.640000 |  2.0| -1|           |  0|  |    |           |       2-  |0|                                                                                                                                                                                                                              0.000000       
120 |  8.726000 |  2.0| -1|           |  0|  |    |           |     (2-)  |0|                                                                                                                                                                                                                              0.000000       
121 |  8.755000 | -1.0|  0|           |  0|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
122 |  8.793500 | 11.0|  1|           |  1|  |    |           |    (11+)  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  96|      1.221|  9.999E-01| | 1.000E+00  7.170E-05
123 |  8.810000 |  1.0|  1|           |  0|  |    |           |       1+  |0|                                                                                                                                                                                                                              0.000000       
124 |  8.815000 |  3.0| -1|           |  0|  |    |           |     (3)-  |0|                                                                                                                                                                                                                              0.000000       
125 |  8.870000 |  2.0|  1|           |  0|  |    |           |     (2+)  |0|                                                                                                                                                                                                                              0.000000       
126 |  8.881000 | -1.0|  0|           |  0|  |    |           |   (2,3)-  |0|                                                                                                                                                                                                                              0.000000       
127 |  8.971000 |  3.0| -1|           |  0|  |    |           |     (3)-  |0|                                                                                                                                                                                                                              0.000000       
128 |  9.030000 |  1.0|  1|           |  0|  |    |           |     (1)+  |0|                                                                                                                                                                                                                              0.000000       
129 |  9.050000 |  2.0| -1|           |  0|  |    |           |       2-  |0|                                                                                                                                                                                                                              0.000000       
